"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Manipur",1967,1,"SAGOLMANG","GEN",14925
"Manipur",1967,2,"KHURAI","GEN",15887
"Manipur",1967,3,"WANGKHEI","GEN",17299
"Manipur",1967,4,"THOGJU","GEN",15437
"Manipur",1967,5,"TOP CHINGTHA","GEN",19203
"Manipur",1967,6,"MAYANG INPHAL","GEN",15539
"Manipur",1967,7,"SINGJAMEI","GEN",18616
"Manipur",1967,8,"SAGOLBAND","GEN",16203
"Manipur",1967,9,"KEISAMTHONG","GEN",17363
"Manipur",1967,10,"URIPOK THANGMEIBAND","GEN",17899
"Manipur",1967,11,"KONTHOUJAM","GEN",14636
"Manipur",1967,12,"SEKMAI LAMSANG","GEN",13148
"Manipur",1967,13,"NAMOOL","GEN",16765
"Manipur",1967,14,"BISHENPUR","GEN",17343
"Manipur",1967,15,"THANGA","GEN",16954
"Manipur",1967,16,"LILONG","GEN",15985
"Manipur",1967,17,"THOUBAL","GEN",16120
"Manipur",1967,18,"KHANGABOK","GEN",16845
"Manipur",1967,19,"KAKCHING","GEN",17889
"Manipur",1967,20,"HIYANGLAM SUGNOO","GEN",18467
"Manipur",1967,21,"TENGNOUPAL","ST",17917
"Manipur",1967,22,"PHUNGYAR PHAISHA","ST",10615
"Manipur",1967,23,"UKHRUL","ST",11148
"Manipur",1967,24,"MAO EAST","ST",14450
"Manipur",1967,25,"MAO WEST","ST",13054
"Manipur",1967,26,"TAMEI","ST",12433
"Manipur",1967,27,"TAMENGLONG","ST",15246
"Manipur",1967,28,"JIRIBAM","GEN",16965
"Manipur",1967,29,"THANLON","ST",19191
"Manipur",1967,30,"CHURACHANDPUR","ST",18219
"Manipur",1972,1,"SAGOLMANG","GEN",9448
"Manipur",1972,2,"KHUNDRAKPAM","GEN",8512
"Manipur",1972,3,"KONTHA","GEN",8099
"Manipur",1972,4,"KHURAI","GEN",10750
"Manipur",1972,5,"WANGKHEI","GEN",10154
"Manipur",1972,6,"KHERGAO","GEN",10575
"Manipur",1972,7,"THUNGJU","GEN",10828
"Manipur",1972,8,"KEIRAO","GEN",9291
"Manipur",1972,9,"LAMLAI","GEN",11954
"Manipur",1972,10,"TOMCHINGTHA","GEN",12558
"Manipur",1972,11,"MAYANG IMPHA","GEN",9848
"Manipur",1972,12,"WANGOI","GEN",9261
"Manipur",1972,13,"LILONG CHAJI","GEN",10686
"Manipur",1972,14,"SINGJAMEI","GEN",10686
"Manipur",1972,15,"SAGOLBAND","GEN",6822
"Manipur",1972,16,"LAMJAOTONGBA","GEN",9430
"Manipur",1972,17,"KEISAMTHONG","GEN",10736
"Manipur",1972,18,"MALOM HIYANGHANG","GEN",9983
"Manipur",1972,19,"URIPOK","GEN",8217
"Manipur",1972,20,"THANGMEIBAND","GEN",11060
"Manipur",1972,21,"LAMSANG","GEN",9587
"Manipur",1972,22,"SEKMAI","SC",7933
"Manipur",1972,23,"KONTHOUJAM","GEN",9234
"Manipur",1972,24,"PATSOI","GEN",8056
"Manipur",1972,25,"NAMBOL","GEN",11243
"Manipur",1972,26,"OINAM","GEN",9763
"Manipur",1972,27,"BISHENPUR","GEN",11586
"Manipur",1972,28,"THANGA","GEN",8802
"Manipur",1972,29,"KUMBI","GEN",12796
"Manipur",1972,30,"MOIRANG","GEN",9630
"Manipur",1972,31,"LILONG","GEN",8961
"Manipur",1972,32,"KHEKMAN","GEN",9490
"Manipur",1972,33,"THOUBAL","GEN",9249
"Manipur",1972,34,"ATHOKPAM","GEN",8535
"Manipur",1972,35,"KHANGABOX","GEN",9375
"Manipur",1972,36,"HEIPOK","GEN",10609
"Manipur",1972,37,"WANGJING TENTHA","GEN",9791
"Manipur",1972,38,"KAKCHING","GEN",11479
"Manipur",1972,39,"HIYANGLAM","GEN",11560
"Manipur",1972,40,"SUGNOO","GEN",11513
"Manipur",1972,41,"CHANDEL","ST",13597
"Manipur",1972,42,"TENGNOUPAL","ST",9504
"Manipur",1972,43,"PHUNGYAR","ST",6711
"Manipur",1972,44,"KANJONG","ST",9029
"Manipur",1972,45,"CHINGAI","ST",8154
"Manipur",1972,46,"UKHRUL","ST",9345
"Manipur",1972,47,"SAIKUL","ST",12465
"Manipur",1972,48,"LIYAI","ST",11094
"Manipur",1972,49,"MAO","ST",9787
"Manipur",1972,50,"KARONG","ST",15586
"Manipur",1972,51,"SAITU","ST",11700
"Manipur",1972,52,"TAMEI","ST",8768
"Manipur",1972,53,"TAMENGLONG","ST",7294
"Manipur",1972,54,"NUNGBA","ST",7032
"Manipur",1972,55,"JIRIBAM","GEN",12492
"Manipur",1972,56,"TIPAIMUKH","ST",9496
"Manipur",1972,57,"THANLON","ST",8187
"Manipur",1972,58,"HENGLEP","ST",13086
"Manipur",1972,59,"SINGHAT","ST",14045
"Manipur",1972,60,"CHURACHANDPUR","ST",12941
"Manipur",1974,1,"KHUNDRAKPAM","GEN",11138
"Manipur",1974,2,"HEINGANJ","GEN",11356
"Manipur",1974,3,"KHURAI","GEN",11894
"Manipur",1974,4,"KHETRIGAO","GEN",12075
"Manipur",1974,5,"THONGJU","GEN",12129
"Manipur",1974,6,"KEIRAO","GEN",10663
"Manipur",1974,7,"ANDRO","GEN",13575
"Manipur",1974,8,"LAMLAI","GEN",11479
"Manipur",1974,9,"THANGMEIBAND","GEN",11537
"Manipur",1974,10,"URIPOK","GEN",9014
