"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Manipur",4,1,"KHUNDRAKPAM","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,2,"HEINGANG","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,3,"KHURAI","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,4,"KSHETRIGAO","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,5,"THONGJU","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,6,"KEIRAO","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,7,"ANDRO","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,8,"LAMLAI","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,9,"THANGMEIBAND","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,10,"URIPOK","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,11,"SAGOLBAND","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,12,"KEISHAMTHONG","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,13,"SINGJAMEI","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,14,"YAISKUL","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,15,"WANGKHEI","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,16,"SEKMAI","SC","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,17,"LAMSANG","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,18,"KONTHOUJAM","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,19,"PATSOI","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,20,"LANGTHABAL","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,21,"NAORIYA PAKHANGLAKPA","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,22,"WANGOI","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,23,"MAYANG IMPHAL","GEN","IMPHAL WEST","PLAINS","Team3 ELM"
"Manipur",4,24,"NAMBOL","GEN","BISHNUPUR","PLAINS","Team3 ELM"
"Manipur",4,25,"OINAM","GEN","BISHNUPUR","PLAINS","Team3 ELM"
"Manipur",4,26,"BISHNUPUR","GEN","BISHNUPUR","PLAINS","Team3 ELM"
"Manipur",4,27,"MOIRANG","GEN","BISHNUPUR","PLAINS","Team3 ELM"
"Manipur",4,28,"THANGA","GEN","BISHNUPUR","PLAINS","Team3 ELM"
"Manipur",4,29,"KUMBI","GEN","BISHNUPUR","PLAINS","Team3 ELM"
"Manipur",4,30,"LILONG","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,31,"THOUBAL","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,32,"WANGKHEM","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,33,"HEIROK","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,34,"WANGJING TENTHA","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,35,"KHANGABOK","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,36,"WABGAI","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,37,"KAKCHING","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,38,"HIYANGLAM","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,39,"SUGNU","GEN","THOUBAL","PLAINS","Team3 ELM"
"Manipur",4,40,"JIRIBAM","GEN","IMPHAL EAST","PLAINS","Team3 ELM"
"Manipur",4,41,"CHANDEL","ST","CHANDEL","HILLS","Team3 ELM"
"Manipur",4,42,"TENGNOUPAL","ST","CHANDEL","HILLS","Team3 ELM"
"Manipur",4,43,"PHUNGYAR","ST","UKHRUL","HILLS","Team3 ELM"
"Manipur",4,44,"UKHRUL","ST","UKHRUL","HILLS","Team3 ELM"
"Manipur",4,45,"CHINGAI","ST","UKHRUL","HILLS","Team3 ELM"
"Manipur",4,46,"SAIKUL","ST","SENAPATI","HILLS","Team3 ELM"
"Manipur",4,47,"KARONG","ST","SENAPATI","HILLS","Team3 ELM"
"Manipur",4,48,"MAO","ST","SENAPATI","HILLS","Team3 ELM"
"Manipur",4,49,"TADUBI","ST","SENAPATI","HILLS","Team3 ELM"
"Manipur",4,50,"KANGPOKPI","GEN","SENAPATI","HILLS","Team3 ELM"
"Manipur",4,51,"SAITU","ST","SENAPATI","HILLS","Team3 ELM"
"Manipur",4,52,"TAMEI","ST","TAMENGLONG","HILLS","Team3 ELM"
"Manipur",4,53,"TAMENGLONG","ST","TAMENGLONG","HILLS","Team3 ELM"
"Manipur",4,54,"NUNGBA","ST","TAMENGLONG","HILLS","Team3 ELM"
"Manipur",4,55,"TIPAIMUKH","ST","CHURACHANDPUR","HILLS","Team3 ELM"
"Manipur",4,56,"THANLON","ST","CHURACHANDPUR","HILLS","Team3 ELM"
"Manipur",4,57,"HENGLEP","ST","CHURACHANDPUR","HILLS","Team3 ELM"
"Manipur",4,58,"CHURACHANDPUR","ST","CHURACHANDPUR","HILLS","Team3 ELM"
"Manipur",4,59,"SAIKOT","ST","CHURACHANDPUR","HILLS","Team3 ELM"
"Manipur",4,60,"SINGHAT","ST","CHURACHANDPUR","HILLS","Team3 ELM"
