"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Meghalaya",1,1972,2,1,"JOWAI",71.86,49.14,"ST",8233,1165,5,1,"Male","AHL",2907,"B. B. SHALLAM",19.69,"GORDON D. PDE","INC","M",NA
"Meghalaya",1,1972,2,2,"NONGTALANG",65.02,38.1,"ST",9793,98,4,1,"Male","IND",2426,"ENOWELL POHSHNA",1.54,"JOHNDENG POHRMEN","AHL","M",NA
"Meghalaya",1,1972,2,3,"RYMBAI",72.06,56.6,"ST",8716,829,2,1,"Male","IND",3555,"LEWIS BAREH",13.2,"NIHON KSIH","AHL","M",NA
"Meghalaya",1,1972,2,4,"SUTNGA",70.14,39.55,"ST",8691,549,3,1,"Male","IND",2411,"ONWARDLEYS WELL NONGTFD",9.01,"BERYL SUTNGA","AHL","M",NA
"Meghalaya",1,1972,2,5,"NARTIANG",73.86,50.76,"ST",10376,953,3,1,"Male","AHL",3890,"EDWINGSON BAREH",12.43,"OLBIN LAMARE","IND","M",NA
"Meghalaya",1,1972,2,6,"MYNSORALIANG",74.07,53.18,"ST",9230,435,2,1,"Male","IND",3636,"HUMPHREY HADEM",6.36,"JERUEYLIWIN GAROD","AHL","M",NA
"Meghalaya",1,1972,2,7,"MAWLAI",62.96,56.1,"ST",8013,615,2,1,"Male","IND",2830,"STANLINGTON KHONGWIR",12.19,"E. BREMLY LYNGDOH","AHL","M",NA
"Meghalaya",1,1972,2,8,"MAWKHAR",58.17,33.11,"General",7654,195,5,1,"Male","AHL",1474,"ALEXANDER WARJRI",4.38,"AJRA KHONGPHAI","IND","M",NA
"Meghalaya",1,1972,2,9,"JAIAW",57.03,50.7,"ST",8608,458,3,1,"Male","AHL",2489,"P. RIPPLE KYNDIAH",9.33,"GANOLDMASSAR","IND","M",NA
"Meghalaya",1,1972,2,10,"MAWPREM",62.29,69.67,"General",7378,1808,2,1,"Male","INC",3202,"MAHAM SINGH",39.34,"JOKENDRO LANONG","IND","M",NA
"Meghalaya",1,1972,2,11,"SHILLONG CANTT",69.8,69.78,"General",2593,910,4,1,"Male","INC",1263,"DHRUBANATH JOSHI",50.28,"DRINGSON E. SHALAM","IND","M",NA
