"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Meghalaya",1972,1,"JOWAI","ST","B. B. SHALLAM","AHL",2907,1,49.14
"Meghalaya",1972,1,"JOWAI","ST","GORDON D. PDE","INC",1742,2,29.45
"Meghalaya",1972,1,"JOWAI","ST","BNEIN BAREH","IND",758,3,12.81
"Meghalaya",1972,1,"JOWAI","ST","DEVILIN TALANG","IND",361,4,6.1
"Meghalaya",1972,1,"JOWAI","ST","INDRO PARIAT","IND",148,5,2.5
"Meghalaya",1972,2,"NONGTALANG","ST","ENOWELL POHSHNA","IND",2426,1,38.1
"Meghalaya",1972,2,"NONGTALANG","ST","JOHNDENG POHRMEN","AHL",2328,2,36.56
"Meghalaya",1972,2,"NONGTALANG","ST","QHIWOT KHONGLAH","IND",1570,3,24.66
"Meghalaya",1972,2,"NONGTALANG","ST","THOMAS MON KHONGLAH","IND",43,4,0.68
"Meghalaya",1972,3,"RYMBAI","ST","LEWIS BAREH","IND",3555,1,56.6
"Meghalaya",1972,3,"RYMBAI","ST","NIHON KSIH","AHL",2726,2,43.4
"Meghalaya",1972,4,"SUTNGA","ST","ONWARDLEYS WELL NONGTFD","IND",2411,1,39.55
"Meghalaya",1972,4,"SUTNGA","ST","BERYL SUTNGA","AHL",1862,2,30.54
"Meghalaya",1972,4,"SUTNGA","ST","ROLBERT LW","INC",1823,3,29.9
"Meghalaya",1972,5,"NARTIANG","ST","EDWINGSON BAREH","AHL",3890,1,50.76
"Meghalaya",1972,5,"NARTIANG","ST","OLBIN LAMARE","IND",2937,2,38.32
"Meghalaya",1972,5,"NARTIANG","ST","BRITAINWAR DAN","IND",837,3,10.92
"Meghalaya",1972,6,"MYNSORALIANG","ST","HUMPHREY HADEM","IND",3636,1,53.18
"Meghalaya",1972,6,"MYNSORALIANG","ST","JERUEYLIWIN GAROD","AHL",3201,2,46.82
"Meghalaya",1972,7,"MAWLAI","ST","STANLINGTON KHONGWIR","IND",2830,1,56.1
"Meghalaya",1972,7,"MAWLAI","ST","E. BREMLY LYNGDOH","AHL",2215,2,43.9
"Meghalaya",1972,8,"MAWKHAR","GEN","ALEXANDER WARJRI","AHL",1474,1,33.11
"Meghalaya",1972,8,"MAWKHAR","GEN","AJRA KHONGPHAI","IND",1279,2,28.73
"Meghalaya",1972,8,"MAWKHAR","GEN","GILBERT SHULLAI","IND",1212,3,27.22
"Meghalaya",1972,8,"MAWKHAR","GEN","STANLIN RAJEE","IND",290,4,6.51
"Meghalaya",1972,8,"MAWKHAR","GEN","SILVERINE SWER","IND",197,5,4.42
"Meghalaya",1972,9,"JAIAW","ST","P. RIPPLE KYNDIAH","AHL",2489,1,50.7
"Meghalaya",1972,9,"JAIAW","ST","GANOLDMASSAR","IND",2031,2,41.37
"Meghalaya",1972,9,"JAIAW","ST","AMBROSE B. M. ROY","IND",389,3,7.92
"Meghalaya",1972,10,"MAWPREM","GEN","MAHAM SINGH","INC",3202,1,69.67
"Meghalaya",1972,10,"MAWPREM","GEN","JOKENDRO LANONG","IND",1394,2,30.33
"Meghalaya",1972,11,"SHILLONG CANTT","GEN","DHRUBANATH JOSHI","INC",1263,1,69.78
"Meghalaya",1972,11,"SHILLONG CANTT","GEN","DRINGSON E. SHALAM","IND",353,2,19.5
"Meghalaya",1972,11,"SHILLONG CANTT","GEN","HASTING KHARKONGOR","IND",116,3,6.41
"Meghalaya",1972,11,"SHILLONG CANTT","GEN","MARKAN LYNDEM","IND",78,4,4.31
"Meghalaya",1972,12,"LABAN","GEN","PARSVANATH CHOUDHURY","INC",1708,1,41.39
"Meghalaya",1972,12,"LABAN","GEN","MURIEL SELMA DUNN","IND",1183,2,28.66
"Meghalaya",1972,12,"LABAN","GEN","DR. SUBRATA DAS","IND",746,3,18.08
"Meghalaya",1972,12,"LABAN","GEN","HASTING KHARKONGOR","IND",490,4,11.87
"Meghalaya",1972,13,"MALKI","GEN","UPSTAR KHARBULI","IND",2346,1,58.04
"Meghalaya",1972,13,"MALKI","GEN","BINOY LAHIRI","CPI",715,2,17.69
"Meghalaya",1972,13,"MALKI","GEN","KIRAN PAL CHOUDHURY","IND",513,3,12.69
"Meghalaya",1972,13,"MALKI","GEN","GEORGE HAMILTON","IND",238,4,5.89
"Meghalaya",1972,13,"MALKI","GEN","DEVA KAMAL BHUYAN","IND",230,5,5.69
"Meghalaya",1972,14,"LAITUMKHRAH","GEN","PETERGARNETT MARBANIANG","AHL",3059,1,67.9
"Meghalaya",1972,14,"LAITUMKHRAH","GEN","PRANESH CHANDRA BISWAS","IND",1446,2,32.1
"Meghalaya",1972,15,"NONGTHYMMAI","ST","BRINGTON BUHAI LYNGDOH","AHL",1269,1,31.03
"Meghalaya",1972,15,"NONGTHYMMAI","ST","GOILAS MARBANIANG","IND",1070,2,26.16
"Meghalaya",1972,15,"NONGTHYMMAI","ST","EMLYN M. ROY","IND",820,3,20.05
"Meghalaya",1972,15,"NONGTHYMMAI","ST","PLISSIBON MARBANIANG","IND",514,4,12.57
"Meghalaya",1972,15,"NONGTHYMMAI","ST","EKESTIEMSHAN KHARKONGOR","IND",417,5,10.2
"Meghalaya",1972,16,"NONGKHLAW","ST","HOOVER HYNNIEWTA","IND",1077,1,40.98
"Meghalaya",1972,16,"NONGKHLAW","ST","SNOMICK KALWING","AHL",1047,2,39.84
"Meghalaya",1972,16,"NONGKHLAW","ST","OSCA AWAHLANG","IND",504,3,19.18
"Meghalaya",1972,17,"NONGPOH","ST","D. DETHWELSON LAPANG","IND",1166,1,30.75
"Meghalaya",1972,17,"NONGPOH","ST","A. ALLEY","IND",772,2,20.36
"Meghalaya",1972,17,"NONGPOH","ST","HOREN JONES ROTAN","AHL",743,3,19.59
"Meghalaya",1972,17,"NONGPOH","ST","MARKUS LYNGDOH","IND",503,4,13.26
"Meghalaya",1972,17,"NONGPOH","ST","LEBANON KHARKONBOR","IND",406,5,10.71
"Meghalaya",1972,17,"NONGPOH","ST","J. RYNSHON","IND",202,6,5.33
"Meghalaya",1972,18,"MAWHATI","ST","MARTIN NARAYAN MAJAW","IND",1521,1,34.4
"Meghalaya",1972,18,"MAWHATI","ST","SEN ROY MOKSHA","IND",876,2,19.81
"Meghalaya",1972,18,"MAWHATI","ST","WALTER ROY MARNG","AHL",801,3,18.12
"Meghalaya",1972,18,"MAWHATI","ST","NILIP SHADAP","IND",536,4,12.12
"Meghalaya",1972,18,"MAWHATI","ST","MIN SHALLAM","IND",295,5,6.67
"Meghalaya",1972,18,"MAWHATI","ST","ODWYS KHYNDEIT","IND",199,6,4.5
"Meghalaya",1972,18,"MAWHATI","ST","LINSHON ROY LAPANG","IND",102,7,2.31
"Meghalaya",1972,18,"MAWHATI","ST","R. JESPRITER SHULLAI","IND",53,8,1.2
"Meghalaya",1972,18,"MAWHATI","ST","EBM LAMARE","IND",38,9,0.86
"Meghalaya",1972,19,"SOHRYNGKHAM","ST","G. NILLIEMNCAP","IND",1412,1,37.88
"Meghalaya",1972,19,"SOHRYNGKHAM","ST","DLEIN KHARUMNUID","IND",821,2,22.02
"Meghalaya",1972,19,"SOHRYNGKHAM","ST","FIRSTER NONGKYNRIH","IND",683,3,18.32
"Meghalaya",1972,19,"SOHRYNGKHAM","ST","ROKENDRO DKHAR","AHL",620,4,16.63
"Meghalaya",1972,19,"SOHRYNGKHAM","ST","BENDRO NAJIAT","IND",192,5,5.15
"Meghalaya",1972,20,"NONGKREM","ST","RADHON SINGH LYNGDOH","AHL",2916,1,82.14
"Meghalaya",1972,20,"NONGKREM","ST","RESIDA SOHTUN","IND",532,2,14.99
"Meghalaya",1972,20,"NONGKREM","ST","DOMINI ROBLIN NONGKYNRIH","IND",102,3,2.87
"Meghalaya",1972,21,"DIENGLIENG","ST","BETERSON KHARKONGOR","AHL",1153,1,40.54
"Meghalaya",1972,21,"DIENGLIENG","ST","JUNGAI KHONGJOH","IND",1033,2,36.32
