"state","year","month","party","seats"
"Meghalaya",1972,2,"AHL","53.33"
"Meghalaya",1978,2,"AHL","26.67"
"Meghalaya",1983,2,"AHL","25"
"Meghalaya",1972,2,"IND","31.67"
"Meghalaya",1978,2,"IND","16.67"
"Meghalaya",1983,2,"IND","5"
"Meghalaya",1988,2,"IND","15"
"Meghalaya",1993,2,"IND","16.67"
"Meghalaya",1998,2,"IND","8.33"
"Meghalaya",2003,2,"IND","8.33"
"Meghalaya",2008,2,"IND","8.33"
"Meghalaya",2013,2,"IND","3.5"
"Meghalaya",1972,2,"INC","15"
"Meghalaya",1978,2,"INC","33.33"
"Meghalaya",1983,2,"INC","41.67"
"Meghalaya",1988,2,"INC","36.67"
"Meghalaya",1993,2,"INC","40"
"Meghalaya",1998,2,"INC","41.67"
"Meghalaya",2003,2,"INC","36.67"
"Meghalaya",2008,2,"INC","41.67"
"Meghalaya",2013,2,"INC","10.5"
"Meghalaya",1978,2,"HPD","23.33"
"Meghalaya",1983,2,"HPD","25"
"Meghalaya",1988,2,"HPD","10"
"Meghalaya",1983,2,"PDC","3.33"
"Meghalaya",1988,2,"PDC","3.33"
"Meghalaya",1988,2,"HPU","31.67"
"Meghalaya",1993,2,"HPU","18.33"
"Meghalaya",1988,2,"AHL(A)","3.33"
"Meghalaya",1993,2,"AHLC(AM)","5"
"Meghalaya",1993,2,"HPSD","13.33"
"Meghalaya",1993,2,"BJP","0"
"Meghalaya",1998,2,"BJP","5"
"Meghalaya",2003,2,"BJP","3.33"
"Meghalaya",2008,2,"BJP","1.67"
"Meghalaya",2013,2,"BJP","81.5"
"Meghalaya",1998,2,"HPDP","5"
"Meghalaya",2003,2,"HPDP","3.33"
"Meghalaya",1998,2,"UDP","33.33"
"Meghalaya",2003,2,"UDP","15"
"Meghalaya",2008,2,"UDP","18.33"
"Meghalaya",2003,2,"MDP","6.67"
"Meghalaya",2008,2,"MDP","0"
"Meghalaya",2003,2,"NCP","23.33"
"Meghalaya",2008,2,"NCP","25"
"Meghalaya",2013,2,"NCP","0"
"Meghalaya",2008,2,"HSPDP","3.33"
"Meghalaya",2013,2,"NPEP","2"
"Meghalaya",2013,2,"BSP","1.5"
