"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Meghalaya",1972,2,1,2,1,1,"B. B. SHALLAM","M","AHL",2907,NA,NA,5916,8233,"JOWAI","ST",NA,NA,5,71.86,49.14,"no",1165,19.69,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,1,2,"GORDON D. PDE","M","INC",1742,NA,NA,5916,8233,"JOWAI","ST",NA,NA,5,71.86,29.45,"no",984,16.63,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,1,3,"BNEIN BAREH","M","IND",758,NA,NA,5916,8233,"JOWAI","ST",NA,NA,5,71.86,12.81,"no",397,6.71,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,1,4,"DEVILIN TALANG","M","IND",361,NA,NA,5916,8233,"JOWAI","ST",NA,NA,5,71.86,6.1,"no",213,3.6,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,1,5,"INDRO PARIAT","M","IND",148,NA,NA,5916,8233,"JOWAI","ST",NA,NA,5,71.86,2.5,"no",0,0,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,2,1,"ENOWELL POHSHNA","M","IND",2426,NA,NA,6367,9793,"NONGTALANG","ST",NA,NA,4,65.02,38.1,"no",98,1.54,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,2,2,"JOHNDENG POHRMEN","M","AHL",2328,NA,NA,6367,9793,"NONGTALANG","ST",NA,NA,4,65.02,36.56,"no",758,11.91,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,2,3,"QHIWOT KHONGLAH","M","IND",1570,NA,NA,6367,9793,"NONGTALANG","ST",NA,NA,4,65.02,24.66,"no",1527,23.98,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,2,4,"THOMAS MON KHONGLAH","M","IND",43,NA,NA,6367,9793,"NONGTALANG","ST",NA,NA,4,65.02,0.68,"no",0,0,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,3,1,"LEWIS BAREH","M","IND",3555,NA,NA,6281,8716,"RYMBAI","ST",NA,NA,2,72.06,56.6,"no",829,13.2,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,2,3,2,"NIHON KSIH","M","AHL",2726,NA,NA,6281,8716,"RYMBAI","ST",NA,NA,2,72.06,43.4,"no",0,0,NA,NA,NA,NA,NA
