"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Meghalaya",1972,1,1,"JOWAI","B. B. SHALLAM",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,1,2,"JOWAI","GORDON D. PDE",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,1,3,"JOWAI","BNEIN BAREH",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,1,4,"JOWAI","DEVILIN TALANG",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,1,5,"JOWAI","INDRO PARIAT",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,2,1,"NONGTALANG","ENOWELL POHSHNA",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,2,2,"NONGTALANG","JOHNDENG POHRMEN",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,2,3,"NONGTALANG","QHIWOT KHONGLAH",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,2,4,"NONGTALANG","THOMAS MON KHONGLAH",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,3,1,"RYMBAI","LEWIS BAREH",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,3,2,"RYMBAI","NIHON KSIH",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,4,1,"SUTNGA","ONWARDLEYS WELL NONGTFD",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,4,2,"SUTNGA","BERYL SUTNGA",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,4,3,"SUTNGA","ROLBERT LW",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,5,1,"NARTIANG","EDWINGSON BAREH",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,5,2,"NARTIANG","OLBIN LAMARE",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,5,3,"NARTIANG","BRITAINWAR DAN",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,6,1,"MYNSORALIANG","HUMPHREY HADEM",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,6,2,"MYNSORALIANG","JERUEYLIWIN GAROD",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,7,1,"MAWLAI","STANLINGTON KHONGWIR",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,7,2,"MAWLAI","E. BREMLY LYNGDOH",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,8,1,"MAWKHAR","ALEXANDER WARJRI",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,8,2,"MAWKHAR","AJRA KHONGPHAI",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,8,3,"MAWKHAR","GILBERT SHULLAI",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,8,4,"MAWKHAR","STANLIN RAJEE",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,8,5,"MAWKHAR","SILVERINE SWER",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,9,1,"JAIAW","P. RIPPLE KYNDIAH",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,9,2,"JAIAW","GANOLDMASSAR",NA,NA,NA,NA,NA,NA
"Meghalaya",1972,9,3,"JAIAW","AMBROSE B. M. ROY",NA,NA,NA,NA,NA,NA
