"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Meghalaya",1972,1,"B. B. SHALLAM","M","AHL",2907,NA,NA,1
"Meghalaya",1972,1,"GORDON D. PDE","M","INC",1742,NA,NA,2
"Meghalaya",1972,1,"BNEIN BAREH","M","IND",758,NA,NA,3
"Meghalaya",1972,1,"DEVILIN TALANG","M","IND",361,NA,NA,4
"Meghalaya",1972,1,"INDRO PARIAT","M","IND",148,NA,NA,5
"Meghalaya",1972,2,"ENOWELL POHSHNA","M","IND",2426,NA,NA,1
"Meghalaya",1972,2,"JOHNDENG POHRMEN","M","AHL",2328,NA,NA,2
"Meghalaya",1972,2,"QHIWOT KHONGLAH","M","IND",1570,NA,NA,3
"Meghalaya",1972,2,"THOMAS MON KHONGLAH","M","IND",43,NA,NA,4
"Meghalaya",1972,3,"LEWIS BAREH","M","IND",3555,NA,NA,1
"Meghalaya",1972,3,"NIHON KSIH","M","AHL",2726,NA,NA,2
"Meghalaya",1972,4,"ONWARDLEYS WELL NONGTFD","M","IND",2411,NA,NA,1
"Meghalaya",1972,4,"BERYL SUTNGA","M","AHL",1862,NA,NA,2
"Meghalaya",1972,4,"ROLBERT LW","M","INC",1823,NA,NA,3
"Meghalaya",1972,5,"EDWINGSON BAREH","M","AHL",3890,NA,NA,1
"Meghalaya",1972,5,"OLBIN LAMARE","M","IND",2937,NA,NA,2
"Meghalaya",1972,5,"BRITAINWAR DAN","M","IND",837,NA,NA,3
"Meghalaya",1972,6,"HUMPHREY HADEM","M","IND",3636,NA,NA,1
"Meghalaya",1972,6,"JERUEYLIWIN GAROD","M","AHL",3201,NA,NA,2
"Meghalaya",1972,7,"STANLINGTON KHONGWIR","M","IND",2830,NA,NA,1
"Meghalaya",1972,7,"E. BREMLY LYNGDOH","M","AHL",2215,NA,NA,2
"Meghalaya",1972,8,"ALEXANDER WARJRI","M","AHL",1474,NA,NA,1
"Meghalaya",1972,8,"AJRA KHONGPHAI","M","IND",1279,NA,NA,2
"Meghalaya",1972,8,"GILBERT SHULLAI","M","IND",1212,NA,NA,3
"Meghalaya",1972,8,"STANLIN RAJEE","M","IND",290,NA,NA,4
"Meghalaya",1972,8,"SILVERINE SWER","M","IND",197,NA,NA,5
"Meghalaya",1972,9,"P. RIPPLE KYNDIAH","M","AHL",2489,NA,NA,1
"Meghalaya",1972,9,"GANOLDMASSAR","M","IND",2031,NA,NA,2
"Meghalaya",1972,9,"AMBROSE B. M. ROY","M","IND",389,NA,NA,3
"Meghalaya",1972,10,"MAHAM SINGH","M","INC",3202,NA,NA,1
"Meghalaya",1972,10,"JOKENDRO LANONG","M","IND",1394,NA,NA,2
"Meghalaya",1972,11,"DHRUBANATH JOSHI","M","INC",1263,NA,NA,1
"Meghalaya",1972,11,"DRINGSON E. SHALAM","M","IND",353,NA,NA,2
"Meghalaya",1972,11,"HASTING KHARKONGOR","M","IND",116,NA,NA,3
"Meghalaya",1972,11,"MARKAN LYNDEM","M","IND",78,NA,NA,4
"Meghalaya",1972,12,"PARSVANATH CHOUDHURY","M","INC",1708,NA,NA,1
"Meghalaya",1972,12,"MURIEL SELMA DUNN","M","IND",1183,NA,NA,2
"Meghalaya",1972,12,"DR. SUBRATA DAS","M","IND",746,NA,NA,3
"Meghalaya",1972,12,"HASTING KHARKONGOR","M","IND",490,NA,NA,4
"Meghalaya",1972,13,"UPSTAR KHARBULI","M","IND",2346,NA,NA,1
"Meghalaya",1972,13,"BINOY LAHIRI","M","CPI",715,NA,NA,2
"Meghalaya",1972,13,"KIRAN PAL CHOUDHURY","M","IND",513,NA,NA,3
"Meghalaya",1972,13,"GEORGE HAMILTON","M","IND",238,NA,NA,4
"Meghalaya",1972,13,"DEVA KAMAL BHUYAN","M","IND",230,NA,NA,5
"Meghalaya",1972,14,"PETERGARNETT MARBANIANG","M","AHL",3059,NA,NA,1
"Meghalaya",1972,14,"PRANESH CHANDRA BISWAS","M","IND",1446,NA,NA,2
"Meghalaya",1972,15,"BRINGTON BUHAI LYNGDOH","M","AHL",1269,NA,NA,1
"Meghalaya",1972,15,"GOILAS MARBANIANG","M","IND",1070,NA,NA,2
"Meghalaya",1972,15,"EMLYN M. ROY","M","IND",820,NA,NA,3
"Meghalaya",1972,15,"PLISSIBON MARBANIANG","M","IND",514,NA,NA,4
"Meghalaya",1972,15,"EKESTIEMSHAN KHARKONGOR","M","IND",417,NA,NA,5
"Meghalaya",1972,16,"HOOVER HYNNIEWTA","M","IND",1077,NA,NA,1
"Meghalaya",1972,16,"SNOMICK KALWING","M","AHL",1047,NA,NA,2
"Meghalaya",1972,16,"OSCA AWAHLANG","M","IND",504,NA,NA,3
"Meghalaya",1972,17,"D. DETHWELSON LAPANG","M","IND",1166,NA,NA,1
"Meghalaya",1972,17,"A. ALLEY","M","IND",772,NA,NA,2
"Meghalaya",1972,17,"HOREN JONES ROTAN","M","AHL",743,NA,NA,3
"Meghalaya",1972,17,"MARKUS LYNGDOH","M","IND",503,NA,NA,4
"Meghalaya",1972,17,"LEBANON KHARKONBOR","M","IND",406,NA,NA,5
"Meghalaya",1972,17,"J. RYNSHON","M","IND",202,NA,NA,6
"Meghalaya",1972,18,"MARTIN NARAYAN MAJAW","M","IND",1521,NA,NA,1
"Meghalaya",1972,18,"SEN ROY MOKSHA","M","IND",876,NA,NA,2
"Meghalaya",1972,18,"WALTER ROY MARNG","M","AHL",801,NA,NA,3
"Meghalaya",1972,18,"NILIP SHADAP","M","IND",536,NA,NA,4
"Meghalaya",1972,18,"MIN SHALLAM","M","IND",295,NA,NA,5
"Meghalaya",1972,18,"ODWYS KHYNDEIT","M","IND",199,NA,NA,6
"Meghalaya",1972,18,"LINSHON ROY LAPANG","M","IND",102,NA,NA,7
"Meghalaya",1972,18,"R. JESPRITER SHULLAI","M","IND",53,NA,NA,8
"Meghalaya",1972,18,"EBM LAMARE","M","IND",38,NA,NA,9
"Meghalaya",1972,19,"G. NILLIEMNCAP","M","IND",1412,NA,NA,1
