"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Meghalaya",1972,1,"JOWAI","ST",8233
"Meghalaya",1972,2,"NONGTALANG","ST",9793
"Meghalaya",1972,3,"RYMBAI","ST",8716
"Meghalaya",1972,4,"SUTNGA","ST",8691
"Meghalaya",1972,5,"NARTIANG","ST",10376
"Meghalaya",1972,6,"MYNSORALIANG","ST",9230
"Meghalaya",1972,7,"MAWLAI","ST",8013
"Meghalaya",1972,8,"MAWKHAR","GEN",7654
"Meghalaya",1972,9,"JAIAW","ST",8608
"Meghalaya",1972,10,"MAWPREM","GEN",7378
"Meghalaya",1972,11,"SHILLONG CANTT","GEN",2593
"Meghalaya",1972,12,"LABAN","GEN",7579
"Meghalaya",1972,13,"MALKI","GEN",6211
"Meghalaya",1972,14,"LAITUMKHRAH","GEN",7347
"Meghalaya",1972,15,"NONGTHYMMAI","ST",8442
"Meghalaya",1972,16,"NONGKHLAW","ST",7051
"Meghalaya",1972,17,"NONGPOH","ST",8042
"Meghalaya",1972,18,"MAWHATI","ST",8819
"Meghalaya",1972,19,"SOHRYNGKHAM","ST",6710
"Meghalaya",1972,20,"NONGKREM","ST",6671
"Meghalaya",1972,21,"DIENGLIENG","ST",6171
"Meghalaya",1972,22,"UMROI","ST",7197
"Meghalaya",1972,23,"MYLLIEM","ST",7821
"Meghalaya",1972,24,"SOHIONG","ST",7469
"Meghalaya",1972,25,"NONGSPUNG","ST",6573
"Meghalaya",1972,26,"MAIRANG","ST",6279
"Meghalaya",1972,27,"PARIONG","ST",6442
"Meghalaya",1972,28,"NONGSTOIN","ST",7428
"Meghalaya",1972,29,"MAWTHENGKUT","ST",6768
"Meghalaya",1972,30,"LANGRIN","ST",6707
"Meghalaya",1972,31,"MAWKYRWAT","ST",5682
"Meghalaya",1972,32,"MAWSYNRAM","ST",8258
"Meghalaya",1972,33,"SHELLA","ST",8452
"Meghalaya",1972,34,"SOHRA","ST",7335
"Meghalaya",1972,35,"NONGSHKEN","ST",8109
"Meghalaya",1972,36,"LYNGKYRDEM","ST",7359
"Meghalaya",1972,37,"MAHENDRAGANJ","GEN",6965
"Meghalaya",1972,38,"DALU","ST",5720
"Meghalaya",1972,39,"DAMBUK AGA","ST",6297
"Meghalaya",1972,40,"CHOKPOT","ST",5975
"Meghalaya",1972,41,"SIJU","ST",5499
"Meghalaya",1972,42,"RONGRENGGIRI","ST",7196
"Meghalaya",1972,43,"RONGJENG","ST",4615
"Meghalaya",1972,44,"KHARKUTTA","ST",4959
"Meghalaya",1972,45,"SONGSAK","ST",4996
"Meghalaya",1972,46,"RESUBELAPARA","ST",6722
"Meghalaya",1972,47,"MENDIPATHAR","GEN",5466
"Meghalaya",1972,48,"TIKRIKILLA","GEN",7336
"Meghalaya",1972,49,"PHULBARI","GEN",5959
"Meghalaya",1972,50,"RONGCHU GIRI","ST",5508
"Meghalaya",1972,51,"BAJENGDOBA","ST",5614
"Meghalaya",1972,52,"DADENGIRI","ST",5969
"Meghalaya",1972,53,"RONGRAM","ST",7279
"Meghalaya",1972,54,"SELSELLA","ST",8007
"Meghalaya",1972,55,"AMPATIGIRI","ST",7351
"Meghalaya",1972,56,"RANGSAKONA","ST",5722
"Meghalaya",1972,57,"TURA","ST",6791
"Meghalaya",1972,58,"KHERAPARA","ST",5888
"Meghalaya",1972,59,"DALAMGIRI","ST",5931
"Meghalaya",1972,60,"SALMANPARA","ST",6321
"Meghalaya",1978,1,"WAR-JAINTIA","ST",12393
"Meghalaya",1978,2,"RYMBAI","ST",12129
"Meghalaya",1978,3,"SUTNGA-SHANGPUNG","ST",10092
"Meghalaya",1978,4,"RALIANG","ST",13674
"Meghalaya",1978,5,"NARTIANG","ST",11773
"Meghalaya",1978,6,"NONGBAH-WAHIAJER","ST",10416
"Meghalaya",1978,7,"JOWAI","ST",8925
"Meghalaya",1978,8,"MAWHATI","ST",9791
"Meghalaya",1978,9,"UMROI","ST",10372
"Meghalaya",1978,10,"NONGPOH","ST",10261
"Meghalaya",1978,11,"JIRANG","ST",9234
"Meghalaya",1978,12,"MAIRANG","ST",11246
"Meghalaya",1978,13,"NONGSPUNG","ST",10876
"Meghalaya",1978,14,"SOHIONG","ST",12013
"Meghalaya",1978,15,"MYLLIEM","ST",9546
"Meghalaya",1978,16,"MALKI-NONGTHYMMAI","ST",10138
"Meghalaya",1978,17,"LAITUMKHARAH","ST",9156
"Meghalaya",1978,18,"PYNTHORUMKHRAH","GEN",8851
"Meghalaya",1978,19,"JAIAW","ST",13860
"Meghalaya",1978,20,"MAWKHAR","ST",8456
"Meghalaya",1978,21,"MAWPREM","GEN",7553
