"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Meghalaya",3,1,"NARTIANG","ST","WEST JAINTIA HILLS","JAINTIA HILLS","Team3 ELM"
"Meghalaya",3,2,"JOWAI","ST","WEST JAINTIA HILLS","JAINTIA HILLS","Team3 ELM"
"Meghalaya",3,3,"RALIANG","ST","WEST JAINTIA HILLS","JAINTIA HILLS","Team3 ELM"
"Meghalaya",3,4,"MOWKAIAW","ST","WEST JAINTIA HILLS","JAINTIA HILLS","Team3 ELM"
"Meghalaya",3,5,"SUTNGA SAIPUNG","ST","EAST JAINTIA HILLS","JAINTIA HILLS","Team3 ELM"
"Meghalaya",3,6,"KHLIEHRIAT","ST","EAST JAINTIA HILLS","JAINTIA HILLS","Team3 ELM"
"Meghalaya",3,7,"AMLAREM","ST","WEST JAINTIA HILLS","JAINTIA HILLS","Team3 ELM"
"Meghalaya",3,8,"MAWHATI","ST","RI BHOI","KHASI HILLS","Team3 ELM"
"Meghalaya",3,9,"NONGPOH","ST","RI BHOI","KHASI HILLS","Team3 ELM"
"Meghalaya",3,10,"JIRANG","ST","RI BHOI","KHASI HILLS","Team3 ELM"
"Meghalaya",3,11,"UMSNING","ST","RI BHOI","KHASI HILLS","Team3 ELM"
"Meghalaya",3,12,"UMROI","ST","RI BHOI","KHASI HILLS","Team3 ELM"
"Meghalaya",3,13,"MAWRYNGKNENG","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,14,"PYNTHORUMKHRAH","GEN","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,15,"MAWLAI","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,16,"EAST SHILLONG","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,17,"NORTH SHILLONG","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,18,"WEST SHILLONG","GEN","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,19,"SOUTH SHILLONG","GEN","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,20,"MYLLIEM","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,21,"NONGTHYMMAI","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,22,"NONGKREM","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,23,"SOHIONG","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,24,"MAWPHLANG","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,25,"MAWSYNRAM","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,26,"SHELLA","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,27,"PYNURSLA","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,28,"SOHRA","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
"Meghalaya",3,29,"MAWKYNREW","ST","EAST KHASI HILLS","KHASI HILLS","Team3 ELM"
