"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Mizoram",1,1972,2,1,"TUIPANG",81.14,39.53,"General",4337,278,3,1,"Male","IND",1391,"HIPHEI",7.9,"MALAI HLYCHO","IND","M",NA
"Mizoram",1,1972,2,2,"SANGAU",76.73,23.7,"General",5522,184,8,1,"Male","IND",1004,"SANGCHHUN",4.34,"UKMA GI","IND","M",NA
"Mizoram",1,1972,2,3,"SAIHA",75.42,49.03,"General",3759,122,3,1,"Male","IND",1390,"SAPLIANA VANDIR",4.3,"L. CHINZAH","INC","M",NA
"Mizoram",1,1972,2,4,"CHAWNGTE",53.76,37.82,"General",8017,1038,9,1,"Male","INC",1630,"SATIO PRIO",24.08,"ARUN BIKASH","IND","M",NA
"Mizoram",1,1972,2,5,"DEMAGIRI",59.94,89.29,"General",3972,1871,2,1,"Male","INC",2126,"HARI KRISTO CHAKMA",78.58,"A. MIDIA","IND","M",NA
"Mizoram",1,1972,2,6,"BUARPUI",70.51,29.23,"General",3872,204,6,1,"Male","IND",798,"P. B. NIKHUMA",7.47,"H. LAL ZAWTA","IND","M",NA
"Mizoram",1,1972,2,7,"LUNGLEH",70.69,36.38,"General",5561,554,6,1,"Male","IND",1430,"K. L. ROCHAMA",14.09,"SANGHLIRA COLBERT","INC","M",NA
"Mizoram",1,1972,2,8,"SOUTH VANLAIPHAI",66.58,36.48,"General",6117,33,4,1,"Male","IND",1486,"SAITLAWMA",0.81,"F. LALLAWMA","INC","M",NA
"Mizoram",1,1972,2,9,"HNAHTHIAL",76.36,52.06,"General",5521,505,4,1,"Male","IND",2195,"THANGZIKA",11.98,"THANCHUNGNUNGA","INC","M",NA
"Mizoram",1,1972,2,10,"NORTH VANLAIPHAI",70.48,27.05,"General",5397,125,8,1,"Male","IND",1029,"R. DOTINAIA",3.29,"H. HRANGDAWLA","INC","M",NA
"Mizoram",1,1972,2,11,"KHAWBUNG",58.01,30.89,"General",5782,301,8,1,"Male","IND",1036,"FHRANGVELA",8.97,"P. C. SAPNELA","INC","M",NA
"Mizoram",1,1972,2,12,"CHAMPHAI",72.71,49.35,"General",5259,384,4,1,"Male","IND",1887,"LALHLIRA",10.04,"A. ROHNUNA","INC","M",NA
