"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Mizoram",1972,1,"TUIPANG","GEN","HIPHEI","IND",1391,1,39.53
"Mizoram",1972,1,"TUIPANG","GEN","MALAI HLYCHO","IND",1113,2,31.63
"Mizoram",1972,1,"TUIPANG","GEN","S. HIATO","IND",1015,3,28.84
"Mizoram",1972,2,"SANGAU","GEN","SANGCHHUN","IND",1004,1,23.7
"Mizoram",1972,2,"SANGAU","GEN","UKMA GI","IND",820,2,19.35
"Mizoram",1972,2,"SANGAU","GEN","YADYU","IND",814,3,19.21
"Mizoram",1972,2,"SANGAU","GEN","THAWNGCHINA","IND",745,4,17.58
"Mizoram",1972,2,"SANGAU","GEN","B. SANGCHEMA","INC",316,5,7.46
"Mizoram",1972,2,"SANGAU","GEN","LIANUPA","IND",238,6,5.62
"Mizoram",1972,2,"SANGAU","GEN","LACHMUNGA","IND",199,7,4.7
"Mizoram",1972,2,"SANGAU","GEN","SIATO","IND",101,8,2.38
"Mizoram",1972,3,"SAIHA","GEN","SAPLIANA VANDIR","IND",1390,1,49.03
"Mizoram",1972,3,"SAIHA","GEN","L. CHINZAH","INC",1268,2,44.73
"Mizoram",1972,3,"SAIHA","GEN","ZOLIAM","IND",177,3,6.24
"Mizoram",1972,4,"CHAWNGTE","GEN","SATIO PRIO","INC",1630,1,37.82
"Mizoram",1972,4,"CHAWNGTE","GEN","ARUN BIKASH","IND",592,2,13.74
"Mizoram",1972,4,"CHAWNGTE","GEN","ROLIANA","IND",549,3,12.74
"Mizoram",1972,4,"CHAWNGTE","GEN","LALKHUMLIANA","IND",535,4,12.41
"Mizoram",1972,4,"CHAWNGTE","GEN","CHANDRA MOHAN","IND",410,5,9.51
"Mizoram",1972,4,"CHAWNGTE","GEN","RAMKHUMA","IND",298,6,6.91
"Mizoram",1972,4,"CHAWNGTE","GEN","NILMONI","IND",191,7,4.43
"Mizoram",1972,4,"CHAWNGTE","GEN","KALI PRASAD","IND",69,8,1.6
"Mizoram",1972,4,"CHAWNGTE","GEN","THANTLUANGA","IND",36,9,0.84
"Mizoram",1972,5,"DEMAGIRI","GEN","HARI KRISTO CHAKMA","INC",2126,1,89.29
"Mizoram",1972,5,"DEMAGIRI","GEN","A. MIDIA","IND",255,2,10.71
"Mizoram",1972,6,"BUARPUI","GEN","P. B. NIKHUMA","IND",798,1,29.23
"Mizoram",1972,6,"BUARPUI","GEN","H. LAL ZAWTA","IND",594,2,21.76
"Mizoram",1972,6,"BUARPUI","GEN","SANGLIANA","IND",513,3,18.79
"Mizoram",1972,6,"BUARPUI","GEN","LIANCHHUNGA","IND",360,4,13.19
"Mizoram",1972,6,"BUARPUI","GEN","THANSIAMA KHIANGTE","INC",305,5,11.17
"Mizoram",1972,6,"BUARPUI","GEN","F. SANGLIANA","IND",160,6,5.86
"Mizoram",1972,7,"LUNGLEH","GEN","K. L. ROCHAMA","IND",1430,1,36.38
"Mizoram",1972,7,"LUNGLEH","GEN","SANGHLIRA COLBERT","INC",876,2,22.28
"Mizoram",1972,7,"LUNGLEH","GEN","H. KIAVTUMA","IND",655,3,16.66
"Mizoram",1972,7,"LUNGLEH","GEN","LAL RILA","IND",484,4,12.31
"Mizoram",1972,7,"LUNGLEH","GEN","LAL BUANGA","IND",385,5,9.79
"Mizoram",1972,7,"LUNGLEH","GEN","DR. H. K. THANGLURA","IND",101,6,2.57
"Mizoram",1972,8,"SOUTH VANLAIPHAI","GEN","SAITLAWMA","IND",1486,1,36.48
"Mizoram",1972,8,"SOUTH VANLAIPHAI","GEN","F. LALLAWMA","INC",1453,2,35.67
"Mizoram",1972,8,"SOUTH VANLAIPHAI","GEN","H. NGUNHULHA","IND",687,3,16.87
"Mizoram",1972,8,"SOUTH VANLAIPHAI","GEN","THANGOHVAILOVA","IND",447,4,10.97
"Mizoram",1972,9,"HNAHTHIAL","GEN","THANGZIKA","IND",2195,1,52.06
"Mizoram",1972,9,"HNAHTHIAL","GEN","THANCHUNGNUNGA","INC",1690,2,40.09
"Mizoram",1972,9,"HNAHTHIAL","GEN","SANGCHUNGA","IND",183,3,4.34
"Mizoram",1972,9,"HNAHTHIAL","GEN","ZOTHUAMA","IND",148,4,3.51
"Mizoram",1972,10,"NORTH VANLAIPHAI","GEN","R. DOTINAIA","IND",1029,1,27.05
