"state","year","month","party","seats"
"Mizoram",1972,2,"INC","20"
"Mizoram",1984,2,"INC","66.67"
"Mizoram",1987,2,"INC","32.5"
"Mizoram",1989,2,"INC","57.5"
"Mizoram",1993,2,"INC","40"
"Mizoram",1998,2,"INC","15"
"Mizoram",2003,2,"INC","30"
"Mizoram",2008,2,"INC","80"
"Mizoram",2013,2,"INC","85"
"Mizoram",1972,2,"IND","80"
"Mizoram",1978,2,"IND","26.67"
"Mizoram",1979,2,"IND","16.67"
"Mizoram",1984,2,"IND","6.67"
"Mizoram",1987,2,"IND","60"
"Mizoram",1989,2,"IND","5"
"Mizoram",1993,2,"IND","25"
"Mizoram",1998,2,"IND","2.5"
"Mizoram",2003,2,"IND","0"
"Mizoram",2008,2,"IND","0"
"Mizoram",2013,2,"IND","0"
"Mizoram",1978,2,"PPC","73.33"
"Mizoram",1979,2,"PPC","60"
"Mizoram",1987,2,"PPC","7.5"
"Mizoram",1989,2,"PPC","2.5"
"Mizoram",1979,2,"JNP","6.67"
"Mizoram",1979,2,"INC(I)","16.67"
"Mizoram",1984,2,"PC","26.67"
"Mizoram",1989,2,"MNF","35"
"Mizoram",1993,2,"MNF","35"
"Mizoram",1998,2,"MNF","52.5"
"Mizoram",2003,2,"MNF","52.5"
"Mizoram",2008,2,"MNF","7.5"
"Mizoram",2013,2,"MNF","12.5"
"Mizoram",1998,2,"MZPC","30"
"Mizoram",2003,2,"MZPC","7.5"
"Mizoram",2003,2,"HPC","2.5"
"Mizoram",2003,2,"ZNP","5"
"Mizoram",2008,2,"ZNP","5"
"Mizoram",2013,2,"ZNP","0"
"Mizoram",1998,2,"MDF","0"
"Mizoram",2003,2,"MDF","2.5"
"Mizoram",2008,2,"MDF","2.5"
"Mizoram",2013,2,"MDF","0"
"Mizoram",2008,2,"MPC","5"
"Mizoram",2013,2,"MPC","2.5"
