"state","year","month","party","votes"
"Mizoram",1972,2,"INC","30.91"
"Mizoram",1984,2,"INC","39.81"
"Mizoram",1987,2,"INC","32.99"
"Mizoram",1989,2,"INC","34.85"
"Mizoram",1993,2,"INC","33.1"
"Mizoram",1998,2,"INC","29.77"
"Mizoram",2003,2,"INC","30.06"
"Mizoram",2008,2,"INC","38.89"
"Mizoram",2013,2,"INC","44.63"
"Mizoram",1972,2,"SOP","1.54"
"Mizoram",1972,2,"IND","67.55"
"Mizoram",1978,2,"IND","62.53"
"Mizoram",1979,2,"IND","30.27"
"Mizoram",1984,2,"IND","24.65"
"Mizoram",1987,2,"IND","43.31"
"Mizoram",1989,2,"IND","10.19"
"Mizoram",1993,2,"IND","23.38"
"Mizoram",1998,2,"IND","9.82"
"Mizoram",2003,2,"IND","2.53"
"Mizoram",2008,2,"IND","7.69"
"Mizoram",2013,2,"IND","0.31"
"Mizoram",1978,2,"PPC","37.47"
"Mizoram",1979,2,"PPC","32.71"
"Mizoram",1987,2,"PPC","23.7"
"Mizoram",1989,2,"PPC","19.67"
"Mizoram",1979,2,"INC(I)","23.91"
"Mizoram",1979,2,"JNP","13.1"
"Mizoram",1984,2,"PC","35.54"
"Mizoram",1989,2,"MNF","35.29"
"Mizoram",1993,2,"MNF","40.41"
"Mizoram",1998,2,"MNF","24.99"
"Mizoram",2003,2,"MNF","31.69"
"Mizoram",2008,2,"MNF","30.65"
"Mizoram",2013,2,"MNF","28.65"
"Mizoram",1993,2,"BJP","3.11"
"Mizoram",1998,2,"BJP","2.5"
"Mizoram",2003,2,"BJP","1.87"
"Mizoram",2008,2,"BJP","0.44"
"Mizoram",2013,2,"BJP","0.37"
"Mizoram",1998,2,"MNF(N)","9.23"
"Mizoram",1998,2,"MZPC","20.44"
"Mizoram",2003,2,"MZPC","16.16"
"Mizoram",1998,2,"MDF","2.28"
"Mizoram",2003,2,"MDF","1.95"
"Mizoram",2008,2,"MDF","0.84"
"Mizoram",2013,2,"MDF","0.95"
"Mizoram",2003,2,"ZNP","14.7"
"Mizoram",2008,2,"ZNP","10.22"
"Mizoram",2013,2,"ZNP","17.42"
"Mizoram",2008,2,"MPC","10.38"
"Mizoram",2013,2,"MPC","6.15"
"Mizoram",2008,2,"NCP","0.11"
"Mizoram",2013,2,"NCP","0.84"
