"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Mizoram",1972,2,1,2,1,1,"HIPHEI","M","IND",1391,NA,NA,3519,4337,"TUIPANG","GEN",NA,NA,3,81.14,39.53,"no",278,7.9,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,1,2,"MALAI HLYCHO","M","IND",1113,NA,NA,3519,4337,"TUIPANG","GEN",NA,NA,3,81.14,31.63,"no",98,2.78,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,1,3,"S. HIATO","M","IND",1015,NA,NA,3519,4337,"TUIPANG","GEN",NA,NA,3,81.14,28.84,"no",0,0,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,2,1,"SANGCHHUN","M","IND",1004,NA,NA,4237,5522,"SANGAU","GEN",NA,NA,8,76.73,23.7,"no",184,4.34,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,2,2,"UKMA GI","M","IND",820,NA,NA,4237,5522,"SANGAU","GEN",NA,NA,8,76.73,19.35,"no",6,0.14,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,2,3,"YADYU","M","IND",814,NA,NA,4237,5522,"SANGAU","GEN",NA,NA,8,76.73,19.21,"no",69,1.63,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,2,4,"THAWNGCHINA","M","IND",745,NA,NA,4237,5522,"SANGAU","GEN",NA,NA,8,76.73,17.58,"no",429,10.13,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,2,5,"B. SANGCHEMA","M","INC",316,NA,NA,4237,5522,"SANGAU","GEN",NA,NA,8,76.73,7.46,"no",78,1.84,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,2,6,"LIANUPA","M","IND",238,NA,NA,4237,5522,"SANGAU","GEN",NA,NA,8,76.73,5.62,"no",39,0.92,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,2,2,7,"LACHMUNGA","M","IND",199,NA,NA,4237,5522,"SANGAU","GEN",NA,NA,8,76.73,4.7,"no",98,2.31,NA,NA,NA,NA,NA
