"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Mizoram",1972,1,1,"TUIPANG","HIPHEI",NA,NA,NA,NA,NA,NA
"Mizoram",1972,1,2,"TUIPANG","MALAI HLYCHO",NA,NA,NA,NA,NA,NA
"Mizoram",1972,1,3,"TUIPANG","S. HIATO",NA,NA,NA,NA,NA,NA
"Mizoram",1972,2,1,"SANGAU","SANGCHHUN",NA,NA,NA,NA,NA,NA
"Mizoram",1972,2,2,"SANGAU","UKMA GI",NA,NA,NA,NA,NA,NA
"Mizoram",1972,2,3,"SANGAU","YADYU",NA,NA,NA,NA,NA,NA
"Mizoram",1972,2,4,"SANGAU","THAWNGCHINA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,2,5,"SANGAU","B. SANGCHEMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,2,6,"SANGAU","LIANUPA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,2,7,"SANGAU","LACHMUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,2,8,"SANGAU","SIATO",NA,NA,NA,NA,NA,NA
"Mizoram",1972,3,1,"SAIHA","SAPLIANA VANDIR",NA,NA,NA,NA,NA,NA
"Mizoram",1972,3,2,"SAIHA","L. CHINZAH",NA,NA,NA,NA,NA,NA
"Mizoram",1972,3,3,"SAIHA","ZOLIAM",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,1,"CHAWNGTE","SATIO PRIO",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,2,"CHAWNGTE","ARUN BIKASH",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,3,"CHAWNGTE","ROLIANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,4,"CHAWNGTE","LALKHUMLIANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,5,"CHAWNGTE","CHANDRA MOHAN",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,6,"CHAWNGTE","RAMKHUMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,7,"CHAWNGTE","NILMONI",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,8,"CHAWNGTE","KALI PRASAD",NA,NA,NA,NA,NA,NA
"Mizoram",1972,4,9,"CHAWNGTE","THANTLUANGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,5,1,"DEMAGIRI","HARI KRISTO CHAKMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,5,2,"DEMAGIRI","A. MIDIA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,6,1,"BUARPUI","P. B. NIKHUMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,6,2,"BUARPUI","H. LAL ZAWTA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,6,3,"BUARPUI","SANGLIANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,6,4,"BUARPUI","LIANCHHUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,6,5,"BUARPUI","THANSIAMA KHIANGTE",NA,NA,NA,NA,NA,NA
"Mizoram",1972,6,6,"BUARPUI","F. SANGLIANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,7,1,"LUNGLEH","K. L. ROCHAMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,7,2,"LUNGLEH","SANGHLIRA COLBERT",NA,NA,NA,NA,NA,NA
"Mizoram",1972,7,3,"LUNGLEH","H. KIAVTUMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,7,4,"LUNGLEH","LAL RILA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,7,5,"LUNGLEH","LAL BUANGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,7,6,"LUNGLEH","DR. H. K. THANGLURA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,8,1,"SOUTH VANLAIPHAI","SAITLAWMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,8,2,"SOUTH VANLAIPHAI","F. LALLAWMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,8,3,"SOUTH VANLAIPHAI","H. NGUNHULHA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,8,4,"SOUTH VANLAIPHAI","THANGOHVAILOVA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,9,1,"HNAHTHIAL","THANGZIKA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,9,2,"HNAHTHIAL","THANCHUNGNUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,9,3,"HNAHTHIAL","SANGCHUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,9,4,"HNAHTHIAL","ZOTHUAMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,10,1,"NORTH VANLAIPHAI","R. DOTINAIA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,10,2,"NORTH VANLAIPHAI","H. HRANGDAWLA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,10,3,"NORTH VANLAIPHAI","K. L. LIANCHIA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,10,4,"NORTH VANLAIPHAI","THANGLIANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,10,5,"NORTH VANLAIPHAI","BIAKLIANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,10,6,"NORTH VANLAIPHAI","KAPREHLOVA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,10,7,"NORTH VANLAIPHAI","THANGTHUAMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,10,8,"NORTH VANLAIPHAI","RENGLUTI",NA,NA,NA,NA,NA,NA
"Mizoram",1972,11,1,"KHAWBUNG","FHRANGVELA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,11,2,"KHAWBUNG","P. C. SAPNELA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,11,3,"KHAWBUNG","HMING THANCHHUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,11,4,"KHAWBUNG","LALRIKUMA SAILO",NA,NA,NA,NA,NA,NA
"Mizoram",1972,11,5,"KHAWBUNG","LALRUATA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,11,6,"KHAWBUNG","KAPRUMVUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,11,7,"KHAWBUNG","LAL CHUNGNUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,11,8,"KHAWBUNG","BIAK THUAMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,12,1,"CHAMPHAI","LALHLIRA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,12,2,"CHAMPHAI","A. ROHNUNA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,12,3,"CHAMPHAI","CHNWNGHNUNA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,12,4,"CHAMPHAI","R. T. THANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,13,1,"KHAW ZAWL","VANLALHRUATA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,13,2,"KHAW ZAWL","V. LALTHANZAUVA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,13,3,"KHAW ZAWL","K. LALHNVNA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,13,4,"KHAW ZAWL","V. L. BIAKENGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,13,5,"KHAW ZAWL","VANLALCHHUANGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,14,1,"RATU","SANGKHUMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,14,2,"RATU","J. THANKUNGH",NA,NA,NA,NA,NA,NA
"Mizoram",1972,14,3,"RATU","PACHHUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,14,4,"RATU","H. SAPHELA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,14,5,"RATU","R. DOVA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,14,6,"RATU","H. LIANDAWLA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,15,1,"SUANGPUILWAN","H. THANSANGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,15,2,"SUANGPUILWAN","C. LA. MAWIA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,15,3,"SUANGPUILWAN","F. LAWMKIMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,15,4,"SUANGPUILWAN","KHIANGTE THANGHUNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,15,5,"SUANGPUILWAN","K. CHALTHUAMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,16,1,"SAITUAL","KHAWTINKHUMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,16,2,"SAITUAL","THANGMAWIA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,16,3,"SAITUAL","SAINGHAKA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,16,4,"SAITUAL","K. SANGLIANCHHUNGI",NA,NA,NA,NA,NA,NA
"Mizoram",1972,16,5,"SAITUAL","CHALTHNGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,16,6,"SAITUAL","B. LAL RUATA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,16,7,"SAITUAL","LALHMING THANGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,17,1,"ILUNGVEL","HRANGAIA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,17,2,"ILUNGVEL","BAWITLUANGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,17,3,"ILUNGVEL","C. PAHLIRA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,17,4,"ILUNGVEL","ZATHANGI",NA,NA,NA,NA,NA,NA
"Mizoram",1972,18,1,"KHAWHAI","J. THANGHDAMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,18,2,"KHAWHAI","LAL TINBIAKA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,18,3,"KHAWHAI","J.H. ROTHUAMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,18,4,"KHAWHAI","THANGRIDEMA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,19,1,"LUNGPHO","C LALRUATA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,19,2,"LUNGPHO","C CHHUNBURA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,19,3,"LUNGPHO","R. ROMAWIA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,19,4,"LUNGPHO","HMARLIANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,20,1,"SERCHHIP","VAIVENGA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,20,2,"SERCHHIP","Z.V LALMAWIA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,20,3,"SERCHHIP","LALHMUAKLIANA SAILO",NA,NA,NA,NA,NA,NA
"Mizoram",1972,20,4,"SERCHHIP","LALLIANA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,20,5,"SERCHHIP","SAPCHHAWNNGURA",NA,NA,NA,NA,NA,NA
"Mizoram",1972,20,6,"SERCHHIP","RAIZATAWNA",NA,NA,NA,NA,NA,NA
