"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Mizoram",1972,1,"HIPHEI","M","IND",1391,NA,NA,1
"Mizoram",1972,1,"MALAI HLYCHO","M","IND",1113,NA,NA,2
"Mizoram",1972,1,"S. HIATO","M","IND",1015,NA,NA,3
"Mizoram",1972,2,"SANGCHHUN","M","IND",1004,NA,NA,1
"Mizoram",1972,2,"UKMA GI","M","IND",820,NA,NA,2
"Mizoram",1972,2,"YADYU","M","IND",814,NA,NA,3
"Mizoram",1972,2,"THAWNGCHINA","M","IND",745,NA,NA,4
"Mizoram",1972,2,"B. SANGCHEMA","M","INC",316,NA,NA,5
"Mizoram",1972,2,"LIANUPA","M","IND",238,NA,NA,6
"Mizoram",1972,2,"LACHMUNGA","M","IND",199,NA,NA,7
"Mizoram",1972,2,"SIATO","M","IND",101,NA,NA,8
"Mizoram",1972,3,"SAPLIANA VANDIR","M","IND",1390,NA,NA,1
"Mizoram",1972,3,"L. CHINZAH","M","INC",1268,NA,NA,2
"Mizoram",1972,3,"ZOLIAM","M","IND",177,NA,NA,3
"Mizoram",1972,4,"SATIO PRIO","M","INC",1630,NA,NA,1
"Mizoram",1972,4,"ARUN BIKASH","M","IND",592,NA,NA,2
"Mizoram",1972,4,"ROLIANA","M","IND",549,NA,NA,3
"Mizoram",1972,4,"LALKHUMLIANA","M","IND",535,NA,NA,4
"Mizoram",1972,4,"CHANDRA MOHAN","M","IND",410,NA,NA,5
"Mizoram",1972,4,"RAMKHUMA","M","IND",298,NA,NA,6
"Mizoram",1972,4,"NILMONI","M","IND",191,NA,NA,7
"Mizoram",1972,4,"KALI PRASAD","M","IND",69,NA,NA,8
"Mizoram",1972,4,"THANTLUANGA","M","IND",36,NA,NA,9
"Mizoram",1972,5,"HARI KRISTO CHAKMA","M","INC",2126,NA,NA,1
"Mizoram",1972,5,"A. MIDIA","M","IND",255,NA,NA,2
"Mizoram",1972,6,"P. B. NIKHUMA","M","IND",798,NA,NA,1
"Mizoram",1972,6,"H. LAL ZAWTA","M","IND",594,NA,NA,2
"Mizoram",1972,6,"SANGLIANA","M","IND",513,NA,NA,3
"Mizoram",1972,6,"LIANCHHUNGA","M","IND",360,NA,NA,4
"Mizoram",1972,6,"THANSIAMA KHIANGTE","M","INC",305,NA,NA,5
"Mizoram",1972,6,"F. SANGLIANA","M","IND",160,NA,NA,6
"Mizoram",1972,7,"K. L. ROCHAMA","M","IND",1430,NA,NA,1
"Mizoram",1972,7,"SANGHLIRA COLBERT","M","INC",876,NA,NA,2
"Mizoram",1972,7,"H. KIAVTUMA","M","IND",655,NA,NA,3
"Mizoram",1972,7,"LAL RILA","M","IND",484,NA,NA,4
"Mizoram",1972,7,"LAL BUANGA","M","IND",385,NA,NA,5
"Mizoram",1972,7,"DR. H. K. THANGLURA","M","IND",101,NA,NA,6
"Mizoram",1972,8,"SAITLAWMA","M","IND",1486,NA,NA,1
"Mizoram",1972,8,"F. LALLAWMA","M","INC",1453,NA,NA,2
"Mizoram",1972,8,"H. NGUNHULHA","M","IND",687,NA,NA,3
"Mizoram",1972,8,"THANGOHVAILOVA","M","IND",447,NA,NA,4
"Mizoram",1972,9,"THANGZIKA","M","IND",2195,NA,NA,1
"Mizoram",1972,9,"THANCHUNGNUNGA","M","INC",1690,NA,NA,2
"Mizoram",1972,9,"SANGCHUNGA","M","IND",183,NA,NA,3
"Mizoram",1972,9,"ZOTHUAMA","M","IND",148,NA,NA,4
"Mizoram",1972,10,"R. DOTINAIA","M","IND",1029,NA,NA,1
"Mizoram",1972,10,"H. HRANGDAWLA","M","INC",904,NA,NA,2
"Mizoram",1972,10,"K. L. LIANCHIA","M","IND",719,NA,NA,3
"Mizoram",1972,10,"THANGLIANA","M","IND",500,NA,NA,4
"Mizoram",1972,10,"BIAKLIANA","M","IND",324,NA,NA,5
"Mizoram",1972,10,"KAPREHLOVA","M","IND",149,NA,NA,6
"Mizoram",1972,10,"THANGTHUAMA","M","SOP",130,NA,NA,7
"Mizoram",1972,10,"RENGLUTI","M","IND",49,NA,NA,8
"Mizoram",1972,11,"FHRANGVELA","M","IND",1036,NA,NA,1
"Mizoram",1972,11,"P. C. SAPNELA","M","INC",735,NA,NA,2
"Mizoram",1972,11,"HMING THANCHHUNGA","M","IND",478,NA,NA,3
"Mizoram",1972,11,"LALRIKUMA SAILO","M","IND",369,NA,NA,4
"Mizoram",1972,11,"LALRUATA","M","IND",290,NA,NA,5
"Mizoram",1972,11,"KAPRUMVUNGA","M","IND",230,NA,NA,6
"Mizoram",1972,11,"BIAK THUAMA","M","IND",108,NA,NA,7
"Mizoram",1972,11,"LAL CHUNGNUNGA","M","SOP",108,NA,NA,8
"Mizoram",1972,12,"LALHLIRA","M","IND",1887,NA,NA,1
"Mizoram",1972,12,"A. ROHNUNA","M","INC",1503,NA,NA,2
"Mizoram",1972,12,"CHNWNGHNUNA","M","IND",233,NA,NA,3
"Mizoram",1972,12,"R. T. THANA","M","IND",201,NA,NA,4
"Mizoram",1972,13,"VANLALHRUATA","M","IND",2127,NA,NA,1
"Mizoram",1972,13,"V. LALTHANZAUVA","M","INC",961,NA,NA,2
"Mizoram",1972,13,"K. LALHNVNA","M","IND",738,NA,NA,3
"Mizoram",1972,13,"V. L. BIAKENGA","M","IND",337,NA,NA,4
"Mizoram",1972,13,"VANLALCHHUANGA","M","SOP",37,NA,NA,5
"Mizoram",1972,14,"SANGKHUMA","M","IND",1979,NA,NA,1
"Mizoram",1972,14,"J. THANKUNGH","M","IND",1322,NA,NA,2
"Mizoram",1972,14,"PACHHUNGA","M","INC",776,NA,NA,3
"Mizoram",1972,14,"H. SAPHELA","M","SOP",133,NA,NA,4
"Mizoram",1972,14,"R. DOVA","M","IND",43,NA,NA,5
"Mizoram",1972,14,"H. LIANDAWLA","M","IND",41,NA,NA,6
"Mizoram",1972,15,"H. THANSANGA","M","IND",1630,NA,NA,1
"Mizoram",1972,15,"C. LA. MAWIA","M","INC",1180,NA,NA,2
"Mizoram",1972,15,"F. LAWMKIMA","M","IND",1092,NA,NA,3
