"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Mizoram",1972,1,"TUIPANG","GEN",4337
"Mizoram",1972,2,"SANGAU","GEN",5522
"Mizoram",1972,3,"SAIHA","GEN",3759
"Mizoram",1972,4,"CHAWNGTE","GEN",8017
"Mizoram",1972,5,"DEMAGIRI","GEN",3972
"Mizoram",1972,6,"BUARPUI","GEN",3872
"Mizoram",1972,7,"LUNGLEH","GEN",5561
"Mizoram",1972,8,"SOUTH VANLAIPHAI","GEN",6117
"Mizoram",1972,9,"HNAHTHIAL","GEN",5521
"Mizoram",1972,10,"NORTH VANLAIPHAI","GEN",5397
"Mizoram",1972,11,"KHAWBUNG","GEN",5782
"Mizoram",1972,12,"CHAMPHAI","GEN",5259
"Mizoram",1972,13,"KHAW ZAWL","GEN",5841
"Mizoram",1972,14,"RATU","GEN",5668
"Mizoram",1972,15,"SUANGPUILWAN","GEN",5171
"Mizoram",1972,16,"SAITUAL","GEN",4124
"Mizoram",1972,17,"ILUNGVEL","GEN",5701
"Mizoram",1972,18,"KHAWHAI","GEN",4647
"Mizoram",1972,19,"LUNGPHO","GEN",5152
"Mizoram",1972,20,"SERCHHIP","GEN",5272
"Mizoram",1972,21,"PHULDUNGSEI","GEN",3787
"Mizoram",1972,22,"SATEEK","GEN",5225
"Mizoram",1972,23,"AIZAWL SOUTH","GEN",4517
"Mizoram",1972,24,"AIZAWL CENTRAL","GEN",3862
"Mizoram",1972,25,"AIZAWAL NORTH","GEN",8970
"Mizoram",1972,26,"KAWNPUI","GEN",6624
"Mizoram",1972,27,"KOLASIB","GEN",6945
"Mizoram",1972,28,"SAIRANG","GEN",4306
"Mizoram",1972,29,"MAMIT","GEN",4154
"Mizoram",1972,30,"RENGUIL","GEN",3819
"Mizoram",1978,1,"TUIPANG","ST",6671
"Mizoram",1978,2,"SANGAU","ST",5497
"Mizoram",1978,3,"SAIHA","ST",8670
"Mizoram",1978,4,"CHAWNGTE","ST",8514
"Mizoram",1978,5,"DEMAGIRI","GEN",6174
"Mizoram",1978,6,"BUARPUI","ST",5059
"Mizoram",1978,7,"LUNGLEI","ST",9065
"Mizoram",1978,8,"TAWI PUI","ST",6169
"Mizoram",1978,9,"HNAHTHIAL","ST",9581
"Mizoram",1978,10,"N. VANLAIPHAI","GEN",5437
"Mizoram",1978,11,"KHAWBUNG","ST",7048
"Mizoram",1978,12,"CHAMPHAI","ST",7281
"Mizoram",1978,13,"KHAWHAI","ST",6077
"Mizoram",1978,14,"SAITUAL","ST",8579
"Mizoram",1978,15,"NGOPA","ST",7601
"Mizoram",1978,16,"SUANGPUILAWN","ST",6585
"Mizoram",1978,17,"RATU","ST",7519
"Mizoram",1978,18,"AAWNTUI","ST",9259
"Mizoram",1978,19,"KOLASIT","ST",8726
"Mizoram",1978,20,"KAWRTHAH","ST",9503
"Mizoram",1978,21,"SAIRANG","ST",7561
"Mizoram",1978,22,"PHULDUNGSEI","GEN",6861
"Mizoram",1978,23,"SATEEK","ST",6616
"Mizoram",1978,24,"SERCHHIP","ST",6416
"Mizoram",1978,25,"LUNGPHO","ST",5737
"Mizoram",1978,26,"TLUNGVEL","ST",6175
"Mizoram",1978,27,"AIZAWL NORTH","ST",9035
"Mizoram",1978,28,"AIZAWL EAST","ST",8732
"Mizoram",1978,29,"AIZAWL WEST","ST",8789
"Mizoram",1978,30,"AIZAWL SOUTH","ST",9999
"Mizoram",1979,1,"TUIPANG","GEN",6893
"Mizoram",1979,2,"SANGAU","GEN",5534
"Mizoram",1979,3,"SAIHA","GEN",8917
"Mizoram",1979,4,"CHAWNGTE","GEN",8771
"Mizoram",1979,5,"DEMAGIRI","GEN",6405
"Mizoram",1979,6,"BUARPUI","GEN",5155
"Mizoram",1979,7,"LUNGLEI","GEN",9597
"Mizoram",1979,8,"TAWIPUI","GEN",6707
"Mizoram",1979,9,"HNAHTHIAAL","GEN",10305
"Mizoram",1979,10,"N. VANLAIPHAI","GEN",5519
"Mizoram",1979,11,"KHAWBUNG","GEN",7252
"Mizoram",1979,12,"CHAMPHAI","GEN",8364
"Mizoram",1979,13,"KHAWHAI","GEN",6383
"Mizoram",1979,14,"SAITUAL","GEN",8901
"Mizoram",1979,15,"NGOPA","GEN",7786
"Mizoram",1979,16,"SUANPUILAWN","GEN",8232
"Mizoram",1979,17,"RATU","GEN",7875
"Mizoram",1979,18,"KAWNPUI","GEN",9950
"Mizoram",1979,19,"KOLASIB","GEN",9408
"Mizoram",1979,20,"KAWRTHAH","GEN",9920
"Mizoram",1979,21,"SAISANG","GEN",8083
"Mizoram",1979,22,"PHULDUNGSEI","GEN",6110
"Mizoram",1979,23,"SATEEK","GEN",6915
"Mizoram",1979,24,"SERCHHIP","GEN",7687
"Mizoram",1979,25,"LUNGPO","GEN",6290
"Mizoram",1979,26,"TLUNGVEL","GEN",6874
"Mizoram",1979,27,"AIZAWL NORTH","GEN",10515
"Mizoram",1979,28,"AIZAWL EAST","GEN",10052
"Mizoram",1979,29,"AIZAWL WEST","GEN",10034
"Mizoram",1979,30,"AIZAWL SOUTH","GEN",11510
"Mizoram",1984,1,"TUIPANG","GEN",7981
"Mizoram",1984,2,"SANGAU","GEN",6368
"Mizoram",1984,3,"SAIHA","GEN",14044
"Mizoram",1984,4,"CHAWNGTEA","GEN",11711
"Mizoram",1984,5,"DEMAGIRI","GEN",7768
"Mizoram",1984,6,"BUARPUI","GEN",6423
"Mizoram",1984,7,"LUNGLEI","GEN",10942
"Mizoram",1984,8,"TAWIPUI","GEN",7163
"Mizoram",1984,9,"HNAHTHIAL","GEN",9734
"Mizoram",1984,10,"NIVANLAIPHAI","GEN",5796
"Mizoram",1984,11,"KHAWBUNG","GEN",7574
"Mizoram",1984,12,"CHAMPHAI","GEN",8720
"Mizoram",1984,13,"KHAWHAI","GEN",5678
"Mizoram",1984,14,"SAITUAL","GEN",9119
"Mizoram",1984,15,"NGOPA","GEN",7981
"Mizoram",1984,16,"SUANGPUILAWN","GEN",7096
"Mizoram",1984,17,"RATU","GEN",8003
"Mizoram",1984,18,"KAWNPUI","GEN",7597
"Mizoram",1984,19,"KOLASIB","GEN",10657
"Mizoram",1984,20,"KAWRTHAH","GEN",9749
"Mizoram",1984,21,"SAIRANG","GEN",7914
"Mizoram",1984,22,"PHULDUNGSEI","GEN",7570
"Mizoram",1984,23,"SATEEK","GEN",6248
"Mizoram",1984,24,"SERCHHIP","GEN",6636
"Mizoram",1984,25,"LUNGPHO","GEN",5168
"Mizoram",1984,26,"TLUNGVEL","GEN",5711
"Mizoram",1984,27,"AIZAWAL NORTH","GEN",11293
"Mizoram",1984,28,"AIZAWAL EAST","GEN",11782
"Mizoram",1984,29,"AIZAWAL WEST","GEN",11217
"Mizoram",1984,30,"AIZAWAL SOUTH","GEN",12887
"Mizoram",1987,1,"TUIPANG","ST",6935
"Mizoram",1987,2,"SAIHA","ST",8843
"Mizoram",1987,3,"SANGAU","ST",6624
"Mizoram",1987,4,"LAWNGTLAI","ST",12337
"Mizoram",1987,5,"CHAWNGTE","ST",9835
"Mizoram",1987,6,"TLABUNG","ST",8544
"Mizoram",1987,7,"BUARPUI","ST",7078
"Mizoram",1987,8,"LUNGLEI SOUTH","GEN",7486
"Mizoram",1987,9,"LUNGLEI NORTH","ST",7736
"Mizoram",1987,10,"TAWIPUI","ST",8073
"Mizoram",1987,11,"VANVA","ST",5742
"Mizoram",1987,12,"HNAHTHIAL","ST",6937
"Mizoram",1987,13,"NORTH VANLAIPHAI","ST",6539
"Mizoram",1987,14,"KHAWBUNG","ST",8963
"Mizoram",1987,15,"CHAMPHAI","ST",11254
"Mizoram",1987,16,"KHAWHAI","ST",5746
"Mizoram",1987,17,"SAITUAL","ST",5347
"Mizoram",1987,18,"KHAWZAWL","ST",6911
"Mizoram",1987,19,"NGOPA","ST",9786
"Mizoram",1987,20,"SUANGPUILAWN","ST",6310
"Mizoram",1987,21,"RATU","ST",9665
"Mizoram",1987,22,"KAWNPUI","ST",9422
"Mizoram",1987,23,"KOLASIB","ST",7735
"Mizoram",1987,24,"BILKHAWTHLIR","ST",5237
"Mizoram",1987,25,"LOKICHERRA","GEN",6097
"Mizoram",1987,26,"KAWRTHAH","ST",5511
"Mizoram",1987,27,"MAMIT","ST",7313
"Mizoram",1987,28,"PHULDUNGSEI","ST",8627
"Mizoram",1987,29,"SATEEK","ST",7122
"Mizoram",1987,30,"SERCHHIP","ST",8763
"Mizoram",1987,31,"LUNGPHO","ST",7625
"Mizoram",1987,32,"TLUNGVEL","ST",5825
"Mizoram",1987,33,"AIZAWL NORTH-I","ST",7723
"Mizoram",1987,34,"AIZAWL NORTH II","ST",9386
"Mizoram",1987,35,"AIZAWL EAST-I","ST",10161
"Mizoram",1987,36,"AIZAWL EAST-II","ST",8204
"Mizoram",1987,37,"AIZAWL WEST I","ST",11203
"Mizoram",1987,38,"AIZAWL WEST-II","ST",9345
"Mizoram",1987,39,"AIZAWL SOUTH - I","ST",10011
"Mizoram",1987,40,"AIZAWL SOUTH - II","ST",10065
"Mizoram",1989,1,"TUIPANG","ST",7544
"Mizoram",1989,2,"SAIHA","ST",10091
"Mizoram",1989,3,"SANGAU","ST",6549
"Mizoram",1989,4,"LAWNGTLAI","ST",13993
"Mizoram",1989,5,"CHAWNGTE","ST",11145
"Mizoram",1989,6,"TLABUNG","ST",8290
"Mizoram",1989,7,"BUARPUI","ST",7774
"Mizoram",1989,8,"LUNGLEI SOUTH","GEN",8849
"Mizoram",1989,9,"LUNGLEI NORTH","ST",9011
"Mizoram",1989,10,"TAWIPUI","ST",8483
"Mizoram",1989,11,"VANVA","ST",5336
"Mizoram",1989,12,"HNAHTHIAL","ST",7181
"Mizoram",1989,13,"NORTH VANLAIPHAI","ST",6944
"Mizoram",1989,14,"KHAWBUNG","ST",8298
"Mizoram",1989,15,"CHAMPHAI","ST",11803
"Mizoram",1989,16,"KHAWHAI","ST",5915
"Mizoram",1989,17,"SAITUAL","ST",6457
"Mizoram",1989,18,"KHAWZAWL","ST",7396
"Mizoram",1989,19,"NGOPA","ST",9052
"Mizoram",1989,20,"SUANGPUILAWN","ST",6072
"Mizoram",1989,21,"RATU","ST",10106
"Mizoram",1989,22,"KAWNPUI","ST",9029
"Mizoram",1989,23,"KOLASIB","ST",8974
"Mizoram",1989,24,"BILKHAWTHLIR","ST",7115
"Mizoram",1989,25,"LOKICHERRA","ST",6815
"Mizoram",1989,26,"KAWRTHAH","ST",6332
"Mizoram",1989,27,"MAMIT","ST",8097
"Mizoram",1989,28,"PHULDUNGSEI","ST",9899
"Mizoram",1989,29,"SATEEK","ST",8195
"Mizoram",1989,30,"SERCHHIP","ST",9468
"Mizoram",1989,31,"LUNGPHO","ST",7306
"Mizoram",1989,32,"TLUNGVEL","ST",5779
"Mizoram",1989,33,"AIZAWL NORTH-I","ST",7866
"Mizoram",1989,34,"AIZAWL NORTH II","ST",9161
"Mizoram",1989,35,"AIZAWL EAST-I","ST",8423
"Mizoram",1989,36,"AIZAWL EAST-II","ST",7291
"Mizoram",1989,37,"AIZAWL WEST I","ST",10490
"Mizoram",1989,38,"AIZAWL WEST-II","ST",9160
"Mizoram",1989,39,"AIZAWL SOUTH - I","ST",8730
"Mizoram",1989,40,"AIZAWL SOUTH - II","ST",9314
"Mizoram",1993,1,"TUIPANG","ST",8718
"Mizoram",1993,2,"SAIHA","ST",11758
"Mizoram",1993,3,"SANGAU","ST",6711
"Mizoram",1993,4,"LAWNGTLAI","ST",17153
"Mizoram",1993,5,"CHAWNGTE","ST",15093
"Mizoram",1993,6,"TLABUNG","ST",12322
"Mizoram",1993,7,"BUARPUI","ST",9145
"Mizoram",1993,8,"LUNGLEI SOUTH","GEN",9082
"Mizoram",1993,9,"LUNGLEI NORTH","ST",9664
"Mizoram",1993,10,"TAWIPUI","ST",8984
"Mizoram",1993,11,"VANVA","ST",5961
"Mizoram",1993,12,"HNAHTHIAL","ST",7620
"Mizoram",1993,13,"NORTH VANLAIPHAI","ST",7279
"Mizoram",1993,14,"KHAWBUNG","ST",8882
"Mizoram",1993,15,"CHAMPHAI","ST",13911
"Mizoram",1993,16,"KHAWHAI","ST",5784
"Mizoram",1993,17,"SAITUAL","ST",7748
