"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Mizoram",4,1,"HACHHEK","ST","MAMIT",NA,"Team3 ELM"
"Mizoram",4,2,"DAMPA","ST","MAMIT",NA,"Team3 ELM"
"Mizoram",4,3,"MAMIT","ST","MAMIT",NA,"Team3 ELM"
"Mizoram",4,4,"TUIRIAL","ST","KOLASIB",NA,"Team3 ELM"
"Mizoram",4,5,"KOLASIB","ST","KOLASIB",NA,"Team3 ELM"
"Mizoram",4,6,"SERLUI","ST","KOLASIB",NA,"Team3 ELM"
"Mizoram",4,7,"TUIVAWL","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,8,"CHALFILH","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,9,"TAWI","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,10,"AIZAWL NORTH - I","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,11,"AIZAWL NORTH - II","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,12,"AIZAWL NORTH-III","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,13,"AIZAWL EAST - I","GEN","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,14,"AIZAWL EAST II","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,15,"AIZAWL WEST I","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,16,"AIZAWL WEST II","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,17,"AIZAWL WEST III","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,18,"AIZAWL SOUTH I","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,19,"AIZAWL SOUTH II","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,20,"AIZAWL SOUTH-III","ST","TUIVAWL",NA,"Team3 ELM"
"Mizoram",4,21,"LENGTENG","ST","CHAMPHAI",NA,"Team3 ELM"
"Mizoram",4,22,"TUICHANG","ST","CHAMPHAI",NA,"Team3 ELM"
"Mizoram",4,23,"CHAMPHAI NORTH","ST","CHAMPHAI",NA,"Team3 ELM"
"Mizoram",4,24,"CHAMPHAI SOUTH","ST","CHAMPHAI",NA,"Team3 ELM"
"Mizoram",4,25,"EAST TUIPUI","ST","CHAMPHAI",NA,"Team3 ELM"
"Mizoram",4,26,"SERCHHIP","ST","SERCHHIP",NA,"Team3 ELM"
"Mizoram",4,27,"TUIKUM","ST","SERCHHIP",NA,"Team3 ELM"
"Mizoram",4,28,"HRANGTURZO","ST","SERCHHIP",NA,"Team3 ELM"
"Mizoram",4,29,"SOUTH TUIPUI","ST","LUNGLEI",NA,"Team3 ELM"
"Mizoram",4,30,"LUNGLEI NORTH","ST","LUNGLEI",NA,"Team3 ELM"
"Mizoram",4,31,"LUNGLEI EAST","ST","LUNGLEI",NA,"Team3 ELM"
"Mizoram",4,32,"LUNGLEI WEST","ST","LUNGLEI",NA,"Team3 ELM"
"Mizoram",4,33,"LUNGLEI SOUTH","ST","LUNGLEI",NA,"Team3 ELM"
"Mizoram",4,34,"THORANG","ST","LUNGLEI",NA,"Team3 ELM"
"Mizoram",4,35,"WEST TUIPUI","ST","LUNGLEI",NA,"Team3 ELM"
"Mizoram",4,36,"TUICHAWNG","ST","LAWNGTLAI",NA,"Team3 ELM"
"Mizoram",4,37,"LAWNGTLAI WEST","ST","LAWNGTLAI",NA,"Team3 ELM"
"Mizoram",4,38,"LAWNGTLAI EAST","ST","LAWNGTLAI",NA,"Team3 ELM"
"Mizoram",4,39,"SAIHA","ST","SAIHA",NA,"Team3 ELM"
"Mizoram",4,40,"PALAK","ST","SAIHA",NA,"Team3 ELM"
