"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Mysore",2,1962,2,1,"SANTPUR",32.98,47.82,"SC",57685,1205,3,1,"Male","INC",9098,"PRABHOO RAO DHONDIBA",6.33,"G. VITHAL RAO KAMBLE","REP","M",NA
"Mysore",2,1962,2,2,"BHALKI",50.51,48.34,"General",49610,5537,3,1,"Male","PSP",12114,"BHIMANNA SHIVLINGAPPA",22.09,"YESHWANT RAO KESHAV RAO","IND","M",NA
"Mysore",2,1962,2,3,"BIDAR",40.35,67.85,"General",52145,8116,3,1,"Male","INC",14277,"MAQSOOD ALIKHAN",38.57,"R. V. BIDAP","PSP","M",NA
"Mysore",2,1962,2,4,"HULSUR",56.51,43.09,"General",55127,38,3,1,"Male","IND",13424,"BAPU RAO",0.12,"SUBHADRA BAI","INC","F",NA
"Mysore",2,1962,2,5,"KALYANI",45.3,52.11,"General",54512,6387,3,1,"Female","INC",12868,"ANNAPURNA BAI",25.87,"KRISHNAJI SHASTRY","IND","M",NA
"Mysore",2,1962,2,6,"HUMNABAD",47.57,50.61,"General",47670,275,2,1,"Male","INC",11476,"GOPAL RAO MUDBI",1.21,"VISHWANATH","CPI","M",NA
"Mysore",2,1962,2,7,"CHINCHOLI",44.82,56.4,"General",52980,3038,2,1,"Male","INC",13391,"VEERENDRA PATIL",12.79,"SHARANGOWDA SIDRAMAYYA","SWA","M",NA
"Mysore",2,1962,2,8,"KAMALAPUR",41.36,69.6,"General",50318,10535,3,1,"Female","INC",14484,"LALITHABAI CHANDRASHEKHAR",50.62,"HANMANTHA RAO SHARNAPPA","PSP","M",NA
"Mysore",2,1962,2,9,"ALAND",36.05,65.11,"SC",49554,7490,3,1,"Male","INC",11631,"DEVAPPA SHAMANNA",41.93,"B. SHAMSUNDER","PSP","M",NA
"Mysore",2,1962,2,10,"GULBARGA",50.07,53.72,"General",52823,3288,4,1,"Male","CPI",14208,"GANGADHAR NAMOSHI",12.43,"MOHAMAD ALI","INC","M",NA
"Mysore",2,1962,2,11,"AFZALPUR",32.85,86.52,"General",49525,12667,3,1,"Male","INC",14078,"ANNA RAO BASAPPA GANAMUKHI",77.85,"SHARNAPPA RUKKAPPA","REP","M",NA
"Mysore",2,1962,2,12,"KALGI",35.66,60.49,"General",49184,6829,4,1,"Male","INC",10608,"S. RUDRAPPA",38.94,"SHARANGOWDA SIDDARAMAYYA","SWA","M",NA
"Mysore",2,1962,2,13,"CHITTAPUR",40.64,53.01,"General",52431,5129,3,1,"Female","INC",11296,"VIJAYA DEVI RAGHAVENDER RAO",24.07,"SHANTMALLAPPA ANNA RAO BHANKUR","SWA","M",NA
"Mysore",2,1962,2,14,"SERUM",37.77,58.92,"SC",44993,3031,2,1,"Male","INC",10012,"JAMADANDA SARWESH",17.84,"DEVENDRA KUMAR","SWA","M",NA
"Mysore",2,1962,2,15,"GURMITKAL",48.06,67.18,"General",60019,9909,2,1,"Male","SWA",19378,"VIDYADHAR GURUJI SAYANNA",34.35,"MALLAPPA LINGAPPA KOLLUR","INC","M",NA
"Mysore",2,1962,2,16,"JEWARGI",46.68,51.38,"General",51084,656,2,1,"Male","INC",12251,"NILKANTHAPPA SHARNAPPA",2.75,"K. CHANNABASAPPA DANDAPPA","SWA","M",NA
"Mysore",2,1962,2,17,"YADGIR",50.92,53.51,"General",58250,2084,2,1,"Male","LSS",15872,"BHOJ RAJ",7.03,"KONAPPA RUDRAPPA NADAGOUDA","INC","M",NA
"Mysore",2,1962,2,18,"SHAHPUR",35.39,59.55,"General",56540,3821,2,1,"Male","SWA",11915,"MAHANTSWAMI VERUPAKSHAYA",19.1,"VIRUPAKSHAPPA","INC","M",NA
"Mysore",2,1962,2,19,"SHORAPUR",47.52,70.64,"General",56121,11011,2,1,"Male","SWA",18841,"RAJA PIDNAIK RAJA KRISHTAPPA NAIK",41.28,"DHARMRAO SHARNAPPA","INC","M",NA
"Mysore",2,1962,2,20,"BADAMI",57.48,58.93,"General",51878,5988,3,1,"Male","INC",17573,"VENKANAGOUDA HANUMANTAGOUDA PATIL",20.08,"SHANKARAPPA SHANKARAPPA PATTANSHETTI","SWA","M",NA
"Mysore",2,1962,2,21,"GULEDGUD",55.4,61.24,"General",53535,6664,2,1,"Male","INC",18160,"MADIVALAPPA RUDRAPPA PATTANSHETTI",22.47,"SHRINIVAS RAMJIVAN KASTA","JS","M",NA
"Mysore",2,1962,2,22,"HUGUND",57.98,66.71,"General",51733,11583,4,1,"Male","INC",20010,"SHIVALINGAPPA RUDRAPPA KANTHI",38.61,"GAIGAYYA PADADAPPAYYA NANJAYANMATH ALIAS","IND","M",NA
"Mysore",2,1962,2,23,"BAGALKOT",51.62,78.28,"General",57441,16773,2,1,"Male","INC",23212,"BASAPPA TAMMANNA MURNAL",56.57,"GANAPAT DATTATRAY KAMBLE","JS","M",NA
"Mysore",2,1962,2,24,"MUDHOL",64.55,52.78,"General",57458,2470,3,1,"Male","INC",19575,"NINGAPPA KALLAPPA NAIK",6.66,"KRISHTAPPA PANDAPPA NADAGOUDA","SWA","M",NA
"Mysore",2,1962,2,25,"BILGI",56.23,74.32,"General",55413,18799,4,1,"Male","INC",23158,"RACHAPPA MALLAPPA DESAI",60.33,"GURUPADAYYA GURUACHAYYA ADVIMATH","SWA","M",NA
"Mysore",2,1962,2,26,"JAMKHANDI",65.49,63.71,"General",54586,10932,3,1,"Male","INC",22776,"BASAPPA DANAPPA JATTI",30.58,"MAHADEVAPPA SHIVAPPA MURAGOD","LSS","M",NA
