"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Mysore",1962,1,"SANTPUR","SC","PRABHOO RAO DHONDIBA","INC",9098,1,47.82
"Mysore",1962,1,"SANTPUR","SC","G. VITHAL RAO KAMBLE","REP",7893,2,41.49
"Mysore",1962,1,"SANTPUR","SC","B. SHAMSUNDER","PSP",2034,3,10.69
"Mysore",1962,2,"BHALKI","GEN","BHIMANNA SHIVLINGAPPA","PSP",12114,1,48.34
"Mysore",1962,2,"BHALKI","GEN","YESHWANT RAO KESHAV RAO","IND",6577,2,26.25
"Mysore",1962,2,"BHALKI","GEN","NEELKANTHAYYA MAHADAYYA","INC",6369,3,25.42
"Mysore",1962,3,"BIDAR","GEN","MAQSOOD ALIKHAN","INC",14277,1,67.85
"Mysore",1962,3,"BIDAR","GEN","R. V. BIDAP","PSP",6161,2,29.28
"Mysore",1962,3,"BIDAR","GEN","SHIVRAM MAROTHI","REP",605,3,2.88
"Mysore",1962,4,"HULSUR","GEN","BAPU RAO","IND",13424,1,43.09
"Mysore",1962,4,"HULSUR","GEN","SUBHADRA BAI","INC",13386,2,42.97
"Mysore",1962,4,"HULSUR","GEN","MANIKAPPA","PSP",4344,3,13.94
"Mysore",1962,5,"KALYANI","GEN","ANNAPURNA BAI","INC",12868,1,52.11
"Mysore",1962,5,"KALYANI","GEN","KRISHNAJI SHASTRY","IND",6481,2,26.25
"Mysore",1962,5,"KALYANI","GEN","BHIMRAO PATWARDHAN","PSP",5343,3,21.64
"Mysore",1962,6,"HUMNABAD","GEN","GOPAL RAO MUDBI","INC",11476,1,50.61
"Mysore",1962,6,"HUMNABAD","GEN","VISHWANATH","CPI",11201,2,49.39
"Mysore",1962,7,"CHINCHOLI","GEN","VEERENDRA PATIL","INC",13391,1,56.4
"Mysore",1962,7,"CHINCHOLI","GEN","SHARANGOWDA SIDRAMAYYA","SWA",10353,2,43.6
"Mysore",1962,8,"KAMALAPUR","GEN","LALITHABAI CHANDRASHEKHAR","INC",14484,1,69.6
"Mysore",1962,8,"KAMALAPUR","GEN","HANMANTHA RAO SHARNAPPA","PSP",3949,2,18.98
"Mysore",1962,8,"KAMALAPUR","GEN","LAXMAN RAO LAKKAPPA","REP",2377,3,11.42
"Mysore",1962,9,"ALAND","SC","DEVAPPA SHAMANNA","INC",11631,1,65.11
"Mysore",1962,9,"ALAND","SC","B. SHAMSUNDER","PSP",4141,2,23.18
"Mysore",1962,9,"ALAND","SC","SHIVARAM SAMBU","REP",2092,3,11.71
"Mysore",1962,10,"GULBARGA","GEN","GANGADHAR NAMOSHI","CPI",14208,1,53.72
"Mysore",1962,10,"GULBARGA","GEN","MOHAMAD ALI","INC",10920,2,41.29
"Mysore",1962,10,"GULBARGA","GEN","MALLESHAYYA SWAMY SHIVALINGAYYA","PSP",1003,3,3.79
"Mysore",1962,10,"GULBARGA","GEN","VEERANNA CHANNAMALLAPPA","SOC",318,4,1.2
"Mysore",1962,11,"AFZALPUR","GEN","ANNA RAO BASAPPA GANAMUKHI","INC",14078,1,86.52
"Mysore",1962,11,"AFZALPUR","GEN","SHARNAPPA RUKKAPPA","REP",1411,2,8.67
"Mysore",1962,11,"AFZALPUR","GEN","NEELKANTH LAXMAN RAO KULKARNI","PSP",782,3,4.81
"Mysore",1962,12,"KALGI","GEN","S. RUDRAPPA","INC",10608,1,60.49
"Mysore",1962,12,"KALGI","GEN","SHARANGOWDA SIDDARAMAYYA","SWA",3779,2,21.55
"Mysore",1962,12,"KALGI","GEN","ABDUL KAREEM","CPI",2285,3,13.03
"Mysore",1962,12,"KALGI","GEN","DAVID RAO","IND",866,4,4.94
"Mysore",1962,13,"CHITTAPUR","GEN","VIJAYA DEVI RAGHAVENDER RAO","INC",11296,1,53.01
"Mysore",1962,13,"CHITTAPUR","GEN","SHANTMALLAPPA ANNA RAO BHANKUR","SWA",6167,2,28.94
"Mysore",1962,13,"CHITTAPUR","GEN","SRINIVAS RAO GUDI","CPI",3847,3,18.05
"Mysore",1962,14,"SERUM","SC","JAMADANDA SARWESH","INC",10012,1,58.92
"Mysore",1962,14,"SERUM","SC","DEVENDRA KUMAR","SWA",6981,2,41.08
"Mysore",1962,15,"GURMITKAL","GEN","VIDYADHAR GURUJI SAYANNA","SWA",19378,1,67.18
