"state","year","month","party","seats"
"Mysore",1962,2,"PSP","9.62"
"Mysore",1967,2,"PSP","9.26"
"Mysore",1962,2,"INC","66.35"
"Mysore",1967,2,"INC","58.33"
"Mysore",1972,2,"INC","76.39"
"Mysore",1962,2,"IND","12.98"
"Mysore",1967,2,"IND","18.98"
"Mysore",1972,2,"IND","9.26"
"Mysore",1962,2,"MES","2.88"
"Mysore",1962,2,"SWA","4.33"
"Mysore",1967,2,"SWA","7.41"
"Mysore",1972,2,"SWA","0"
"Mysore",1967,2,"SSP","2.78"
"Mysore",1962,2,"CPI","1.44"
"Mysore",1967,2,"CPI","0.46"
"Mysore",1972,2,"CPI","1.39"
"Mysore",1972,2,"SOP","1.39"
"Mysore",1972,2,"NCO","11.11"
