"state","year","month","party","votes"
"Mysore",1962,2,"INC","50.22"
"Mysore",1967,2,"INC","48.43"
"Mysore",1972,2,"INC","52.17"
"Mysore",1962,2,"IND","17.31"
"Mysore",1967,2,"IND","28.36"
"Mysore",1972,2,"IND","12.87"
"Mysore",1962,2,"LSS","2.53"
"Mysore",1962,2,"JS","2.29"
"Mysore",1962,2,"PSP","14.08"
"Mysore",1967,2,"PSP","8.88"
"Mysore",1962,2,"SWA","7.15"
"Mysore",1967,2,"SWA","6.62"
"Mysore",1972,2,"SWA","0.57"
"Mysore",1967,2,"BJS","2.82"
"Mysore",1972,2,"BJS","4.3"
"Mysore",1967,2,"SSP","2.47"
"Mysore",1967,2,"CPM","1.1"
"Mysore",1972,2,"CPM","1.03"
"Mysore",1972,2,"NCO","26.22"
"Mysore",1972,2,"SOP","1.69"
