"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Mysore",1962,2,2,1,1,1,"PRABHOO RAO DHONDIBA","M","INC",9098,NA,NA,19025,57685,"SANTPUR","SC",NA,NA,3,32.98,47.82,"no",1205,6.33,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,1,2,"G. VITHAL RAO KAMBLE","M","REP",7893,NA,NA,19025,57685,"SANTPUR","SC",NA,NA,3,32.98,41.49,"no",5859,30.8,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,1,3,"B. SHAMSUNDER","M","PSP",2034,NA,NA,19025,57685,"SANTPUR","SC",NA,NA,3,32.98,10.69,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,2,1,"BHIMANNA SHIVLINGAPPA","M","PSP",12114,NA,NA,25060,49610,"BHALKI","GEN",NA,NA,3,50.51,48.34,"no",5537,22.09,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,2,2,"YESHWANT RAO KESHAV RAO","M","IND",6577,NA,NA,25060,49610,"BHALKI","GEN",NA,NA,3,50.51,26.25,"no",208,0.83,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,2,3,"NEELKANTHAYYA MAHADAYYA","M","INC",6369,NA,NA,25060,49610,"BHALKI","GEN",NA,NA,3,50.51,25.42,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,3,1,"MAQSOOD ALIKHAN","M","INC",14277,NA,NA,21043,52145,"BIDAR","GEN",NA,NA,3,40.35,67.85,"no",8116,38.57,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,3,2,"R. V. BIDAP","M","PSP",6161,NA,NA,21043,52145,"BIDAR","GEN",NA,NA,3,40.35,29.28,"no",5556,26.4,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,3,3,"SHIVRAM MAROTHI","M","REP",605,NA,NA,21043,52145,"BIDAR","GEN",NA,NA,3,40.35,2.88,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,4,1,"BAPU RAO","M","IND",13424,NA,NA,31154,55127,"HULSUR","GEN",NA,NA,3,56.51,43.09,"no",38,0.12,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,4,2,"SUBHADRA BAI","F","INC",13386,NA,NA,31154,55127,"HULSUR","GEN",NA,NA,3,56.51,42.97,"no",9042,29.02,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,4,3,"MANIKAPPA","M","PSP",4344,NA,NA,31154,55127,"HULSUR","GEN",NA,NA,3,56.51,13.94,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,5,1,"ANNAPURNA BAI","F","INC",12868,NA,NA,24692,54512,"KALYANI","GEN",NA,NA,3,45.3,52.11,"no",6387,25.87,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,5,2,"KRISHNAJI SHASTRY","M","IND",6481,NA,NA,24692,54512,"KALYANI","GEN",NA,NA,3,45.3,26.25,"no",1138,4.61,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,5,3,"BHIMRAO PATWARDHAN","M","PSP",5343,NA,NA,24692,54512,"KALYANI","GEN",NA,NA,3,45.3,21.64,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,6,1,"GOPAL RAO MUDBI","M","INC",11476,NA,NA,22677,47670,"HUMNABAD","GEN",NA,NA,2,47.57,50.61,"no",275,1.21,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,6,2,"VISHWANATH","M","CPI",11201,NA,NA,22677,47670,"HUMNABAD","GEN",NA,NA,2,47.57,49.39,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,7,1,"VEERENDRA PATIL","M","INC",13391,NA,NA,23744,52980,"CHINCHOLI","GEN",NA,NA,2,44.82,56.4,"no",3038,12.79,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,7,2,"SHARANGOWDA SIDRAMAYYA","M","SWA",10353,NA,NA,23744,52980,"CHINCHOLI","GEN",NA,NA,2,44.82,43.6,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,8,1,"LALITHABAI CHANDRASHEKHAR","F","INC",14484,NA,NA,20810,50318,"KAMALAPUR","GEN",NA,NA,3,41.36,69.6,"no",10535,50.62,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,8,2,"HANMANTHA RAO SHARNAPPA","M","PSP",3949,NA,NA,20810,50318,"KAMALAPUR","GEN",NA,NA,3,41.36,18.98,"no",1572,7.55,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,8,3,"LAXMAN RAO LAKKAPPA","M","REP",2377,NA,NA,20810,50318,"KAMALAPUR","GEN",NA,NA,3,41.36,11.42,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,9,1,"DEVAPPA SHAMANNA","M","INC",11631,NA,NA,17864,49554,"ALAND","SC",NA,NA,3,36.05,65.11,"no",7490,41.93,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,9,2,"B. SHAMSUNDER","M","PSP",4141,NA,NA,17864,49554,"ALAND","SC",NA,NA,3,36.05,23.18,"no",2049,11.47,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,9,3,"SHIVARAM SAMBU","M","REP",2092,NA,NA,17864,49554,"ALAND","SC",NA,NA,3,36.05,11.71,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,10,1,"GANGADHAR NAMOSHI","M","CPI",14208,NA,NA,26449,52823,"GULBARGA","GEN",NA,NA,4,50.07,53.72,"no",3288,12.43,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,10,2,"MOHAMAD ALI","M","INC",10920,NA,NA,26449,52823,"GULBARGA","GEN",NA,NA,4,50.07,41.29,"no",9917,37.49,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,10,3,"MALLESHAYYA SWAMY SHIVALINGAYYA","M","PSP",1003,NA,NA,26449,52823,"GULBARGA","GEN",NA,NA,4,50.07,3.79,"no",685,2.59,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,10,4,"VEERANNA CHANNAMALLAPPA","M","SOC",318,NA,NA,26449,52823,"GULBARGA","GEN",NA,NA,4,50.07,1.2,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,11,1,"ANNA RAO BASAPPA GANAMUKHI","M","INC",14078,NA,NA,16271,49525,"AFZALPUR","GEN",NA,NA,3,32.85,86.52,"no",12667,77.85,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,11,2,"SHARNAPPA RUKKAPPA","M","REP",1411,NA,NA,16271,49525,"AFZALPUR","GEN",NA,NA,3,32.85,8.67,"no",629,3.87,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,11,3,"NEELKANTH LAXMAN RAO KULKARNI","M","PSP",782,NA,NA,16271,49525,"AFZALPUR","GEN",NA,NA,3,32.85,4.81,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,12,1,"S. RUDRAPPA","M","INC",10608,NA,NA,17538,49184,"KALGI","GEN",NA,NA,4,35.66,60.49,"no",6829,38.94,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,12,2,"SHARANGOWDA SIDDARAMAYYA","M","SWA",3779,NA,NA,17538,49184,"KALGI","GEN",NA,NA,4,35.66,21.55,"no",1494,8.52,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,12,3,"ABDUL KAREEM","M","CPI",2285,NA,NA,17538,49184,"KALGI","GEN",NA,NA,4,35.66,13.03,"no",1419,8.09,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,12,4,"DAVID RAO","M","IND",866,NA,NA,17538,49184,"KALGI","GEN",NA,NA,4,35.66,4.94,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,13,1,"VIJAYA DEVI RAGHAVENDER RAO","F","INC",11296,NA,NA,21310,52431,"CHITTAPUR","GEN",NA,NA,3,40.64,53.01,"no",5129,24.07,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,13,2,"SHANTMALLAPPA ANNA RAO BHANKUR","M","SWA",6167,NA,NA,21310,52431,"CHITTAPUR","GEN",NA,NA,3,40.64,28.94,"no",2320,10.89,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,13,3,"SRINIVAS RAO GUDI","M","CPI",3847,NA,NA,21310,52431,"CHITTAPUR","GEN",NA,NA,3,40.64,18.05,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,14,1,"JAMADANDA SARWESH","M","INC",10012,NA,NA,16993,44993,"SERUM","SC",NA,NA,2,37.77,58.92,"no",3031,17.84,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,14,2,"DEVENDRA KUMAR","M","SWA",6981,NA,NA,16993,44993,"SERUM","SC",NA,NA,2,37.77,41.08,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,15,1,"VIDYADHAR GURUJI SAYANNA","M","SWA",19378,NA,NA,28847,60019,"GURMITKAL","GEN",NA,NA,2,48.06,67.18,"no",9909,34.35,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,15,2,"MALLAPPA LINGAPPA KOLLUR","M","INC",9469,NA,NA,28847,60019,"GURMITKAL","GEN",NA,NA,2,48.06,32.82,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,16,1,"NILKANTHAPPA SHARNAPPA","M","INC",12251,NA,NA,23846,51084,"JEWARGI","GEN",NA,NA,2,46.68,51.38,"no",656,2.75,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,16,2,"K. CHANNABASAPPA DANDAPPA","M","SWA",11595,NA,NA,23846,51084,"JEWARGI","GEN",NA,NA,2,46.68,48.62,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,17,1,"BHOJ RAJ","M","LSS",15872,NA,NA,29660,58250,"YADGIR","GEN",NA,NA,2,50.92,53.51,"no",2084,7.03,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,17,2,"KONAPPA RUDRAPPA NADAGOUDA","M","INC",13788,NA,NA,29660,58250,"YADGIR","GEN",NA,NA,2,50.92,46.49,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,18,1,"MAHANTSWAMI VERUPAKSHAYA","M","SWA",11915,NA,NA,20009,56540,"SHAHPUR","GEN",NA,NA,2,35.39,59.55,"no",3821,19.1,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,18,2,"VIRUPAKSHAPPA","M","INC",8094,NA,NA,20009,56540,"SHAHPUR","GEN",NA,NA,2,35.39,40.45,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,19,1,"RAJA PIDNAIK RAJA KRISHTAPPA NAIK","M","SWA",18841,NA,NA,26671,56121,"SHORAPUR","GEN",NA,NA,2,47.52,70.64,"no",11011,41.28,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,19,2,"DHARMRAO SHARNAPPA","M","INC",7830,NA,NA,26671,56121,"SHORAPUR","GEN",NA,NA,2,47.52,29.36,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,20,1,"VENKANAGOUDA HANUMANTAGOUDA PATIL","M","INC",17573,NA,NA,29821,51878,"BADAMI","GEN",NA,NA,3,57.48,58.93,"no",5988,20.08,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,20,2,"SHANKARAPPA SHANKARAPPA PATTANSHETTI","M","SWA",11585,NA,NA,29821,51878,"BADAMI","GEN",NA,NA,3,57.48,38.85,"no",10922,36.63,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,20,3,"MRUTYUNJAYA NEELKANTHAYYA HIREMATH","M","JS",663,NA,NA,29821,51878,"BADAMI","GEN",NA,NA,3,57.48,2.22,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,21,1,"MADIVALAPPA RUDRAPPA PATTANSHETTI","M","INC",18160,NA,NA,29656,53535,"GULEDGUD","GEN",NA,NA,2,55.4,61.24,"no",6664,22.47,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,21,2,"SHRINIVAS RAMJIVAN KASTA","M","JS",11496,NA,NA,29656,53535,"GULEDGUD","GEN",NA,NA,2,55.4,38.76,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,22,1,"SHIVALINGAPPA RUDRAPPA KANTHI","M","INC",20010,NA,NA,29997,51733,"HUGUND","GEN",NA,NA,4,57.98,66.71,"no",11583,38.61,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,22,2,"GAIGAYYA PADADAPPAYYA NANJAYANMATH ALIAS","M","IND",8427,NA,NA,29997,51733,"HUGUND","GEN",NA,NA,4,57.98,28.09,"no",7403,24.68,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,22,3,"SARDAR BASAVARAJ KARBASAPPA NAGUR","M","LSS",1024,NA,NA,29997,51733,"HUGUND","GEN",NA,NA,4,57.98,3.41,"no",488,1.63,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,22,4,"TUKARAMAPPA GOVINDAPPA BHANDARI","M","JS",536,NA,NA,29997,51733,"HUGUND","GEN",NA,NA,4,57.98,1.79,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,23,1,"BASAPPA TAMMANNA MURNAL","M","INC",23212,NA,NA,29651,57441,"BAGALKOT","GEN",NA,NA,2,51.62,78.28,"no",16773,56.57,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,23,2,"GANAPAT DATTATRAY KAMBLE","M","JS",6439,NA,NA,29651,57441,"BAGALKOT","GEN",NA,NA,2,51.62,21.72,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,24,1,"NINGAPPA KALLAPPA NAIK","M","INC",19575,NA,NA,37090,57458,"MUDHOL","GEN",NA,NA,3,64.55,52.78,"no",2470,6.66,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,24,2,"KRISHTAPPA PANDAPPA NADAGOUDA","M","SWA",17105,NA,NA,37090,57458,"MUDHOL","GEN",NA,NA,3,64.55,46.12,"no",16695,45.01,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,24,3,"IRAPPA BASAPPA GANGANNAVAR","M","JS",410,NA,NA,37090,57458,"MUDHOL","GEN",NA,NA,3,64.55,1.11,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,25,1,"RACHAPPA MALLAPPA DESAI","M","INC",23158,NA,NA,31161,55413,"BILGI","GEN",NA,NA,4,56.23,74.32,"no",18799,60.33,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,25,2,"GURUPADAYYA GURUACHAYYA ADVIMATH","M","SWA",4359,NA,NA,31161,55413,"BILGI","GEN",NA,NA,4,56.23,13.99,"no",1468,4.71,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,25,3,"KALYAN KRISHNAJI KERUR","M","JS",2891,NA,NA,31161,55413,"BILGI","GEN",NA,NA,4,56.23,9.28,"no",2138,6.86,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,25,4,"MALLAPPA CHANABASAPPA GUGGARI","M","IND",753,NA,NA,31161,55413,"BILGI","GEN",NA,NA,4,56.23,2.42,"no",0,0,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,26,1,"BASAPPA DANAPPA JATTI","M","INC",22776,NA,NA,35747,54586,"JAMKHANDI","GEN",NA,NA,3,65.49,63.71,"no",10932,30.58,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,26,2,"MAHADEVAPPA SHIVAPPA MURAGOD","M","LSS",11844,NA,NA,35747,54586,"JAMKHANDI","GEN",NA,NA,3,65.49,33.13,"no",10717,29.98,NA,NA,NA,NA,NA
"Mysore",1962,2,2,1,26,3,"GURUSANGAPPA CHANDRAMAPPA MALAGAR","M","JS",1127,NA,NA,35747,54586,"JAMKHANDI","GEN",NA,NA,3,65.49,3.15,"no",0,0,NA,NA,NA,NA,NA
