"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Mysore",1962,1,1,"SANTPUR","PRABHOO RAO DHONDIBA",NA,NA,NA,NA,NA,NA
"Mysore",1962,1,2,"SANTPUR","G. VITHAL RAO KAMBLE",NA,NA,NA,NA,NA,NA
"Mysore",1962,1,3,"SANTPUR","B. SHAMSUNDER",NA,NA,NA,NA,NA,NA
"Mysore",1962,2,1,"BHALKI","BHIMANNA SHIVLINGAPPA",NA,NA,NA,NA,NA,NA
"Mysore",1962,2,2,"BHALKI","YESHWANT RAO KESHAV RAO",NA,NA,NA,NA,NA,NA
"Mysore",1962,2,3,"BHALKI","NEELKANTHAYYA MAHADAYYA",NA,NA,NA,NA,NA,NA
"Mysore",1962,3,1,"BIDAR","MAQSOOD ALIKHAN",NA,NA,NA,NA,NA,NA
"Mysore",1962,3,2,"BIDAR","R. V. BIDAP",NA,NA,NA,NA,NA,NA
"Mysore",1962,3,3,"BIDAR","SHIVRAM MAROTHI",NA,NA,NA,NA,NA,NA
"Mysore",1962,4,1,"HULSUR","BAPU RAO",NA,NA,NA,NA,NA,NA
"Mysore",1962,4,2,"HULSUR","SUBHADRA BAI",NA,NA,NA,NA,NA,NA
"Mysore",1962,4,3,"HULSUR","MANIKAPPA",NA,NA,NA,NA,NA,NA
"Mysore",1962,5,1,"KALYANI","ANNAPURNA BAI",NA,NA,NA,NA,NA,NA
"Mysore",1962,5,2,"KALYANI","KRISHNAJI SHASTRY",NA,NA,NA,NA,NA,NA
"Mysore",1962,5,3,"KALYANI","BHIMRAO PATWARDHAN",NA,NA,NA,NA,NA,NA
"Mysore",1962,6,1,"HUMNABAD","GOPAL RAO MUDBI",NA,NA,NA,NA,NA,NA
"Mysore",1962,6,2,"HUMNABAD","VISHWANATH",NA,NA,NA,NA,NA,NA
"Mysore",1962,7,1,"CHINCHOLI","VEERENDRA PATIL",NA,NA,NA,NA,NA,NA
"Mysore",1962,7,2,"CHINCHOLI","SHARANGOWDA SIDRAMAYYA",NA,NA,NA,NA,NA,NA
"Mysore",1962,8,1,"KAMALAPUR","LALITHABAI CHANDRASHEKHAR",NA,NA,NA,NA,NA,NA
"Mysore",1962,8,2,"KAMALAPUR","HANMANTHA RAO SHARNAPPA",NA,NA,NA,NA,NA,NA
"Mysore",1962,8,3,"KAMALAPUR","LAXMAN RAO LAKKAPPA",NA,NA,NA,NA,NA,NA
"Mysore",1962,9,1,"ALAND","DEVAPPA SHAMANNA",NA,NA,NA,NA,NA,NA
"Mysore",1962,9,2,"ALAND","B. SHAMSUNDER",NA,NA,NA,NA,NA,NA
"Mysore",1962,9,3,"ALAND","SHIVARAM SAMBU",NA,NA,NA,NA,NA,NA
"Mysore",1962,10,1,"GULBARGA","GANGADHAR NAMOSHI",NA,NA,NA,NA,NA,NA
"Mysore",1962,10,2,"GULBARGA","MOHAMAD ALI",NA,NA,NA,NA,NA,NA
"Mysore",1962,10,3,"GULBARGA","MALLESHAYYA SWAMY SHIVALINGAYYA",NA,NA,NA,NA,NA,NA
"Mysore",1962,10,4,"GULBARGA","VEERANNA CHANNAMALLAPPA",NA,NA,NA,NA,NA,NA
"Mysore",1962,11,1,"AFZALPUR","ANNA RAO BASAPPA GANAMUKHI",NA,NA,NA,NA,NA,NA
"Mysore",1962,11,2,"AFZALPUR","SHARNAPPA RUKKAPPA",NA,NA,NA,NA,NA,NA
"Mysore",1962,11,3,"AFZALPUR","NEELKANTH LAXMAN RAO KULKARNI",NA,NA,NA,NA,NA,NA
"Mysore",1962,12,1,"KALGI","S. RUDRAPPA",NA,NA,NA,NA,NA,NA
"Mysore",1962,12,2,"KALGI","SHARANGOWDA SIDDARAMAYYA",NA,NA,NA,NA,NA,NA
"Mysore",1962,12,3,"KALGI","ABDUL KAREEM",NA,NA,NA,NA,NA,NA
"Mysore",1962,12,4,"KALGI","DAVID RAO",NA,NA,NA,NA,NA,NA
"Mysore",1962,13,1,"CHITTAPUR","VIJAYA DEVI RAGHAVENDER RAO",NA,NA,NA,NA,NA,NA
"Mysore",1962,13,2,"CHITTAPUR","SHANTMALLAPPA ANNA RAO BHANKUR",NA,NA,NA,NA,NA,NA
"Mysore",1962,13,3,"CHITTAPUR","SRINIVAS RAO GUDI",NA,NA,NA,NA,NA,NA
"Mysore",1962,14,1,"SERUM","JAMADANDA SARWESH",NA,NA,NA,NA,NA,NA
