"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Mysore",1962,1,"PRABHOO RAO DHONDIBA","M","INC",9098,NA,NA,1
"Mysore",1962,1,"G. VITHAL RAO KAMBLE","M","REP",7893,NA,NA,2
"Mysore",1962,1,"B. SHAMSUNDER","M","PSP",2034,NA,NA,3
"Mysore",1962,2,"BHIMANNA SHIVLINGAPPA","M","PSP",12114,NA,NA,1
"Mysore",1962,2,"YESHWANT RAO KESHAV RAO","M","IND",6577,NA,NA,2
"Mysore",1962,2,"NEELKANTHAYYA MAHADAYYA","M","INC",6369,NA,NA,3
"Mysore",1962,3,"MAQSOOD ALIKHAN","M","INC",14277,NA,NA,1
"Mysore",1962,3,"R. V. BIDAP","M","PSP",6161,NA,NA,2
"Mysore",1962,3,"SHIVRAM MAROTHI","M","REP",605,NA,NA,3
"Mysore",1962,4,"BAPU RAO","M","IND",13424,NA,NA,1
"Mysore",1962,4,"SUBHADRA BAI","F","INC",13386,NA,NA,2
"Mysore",1962,4,"MANIKAPPA","M","PSP",4344,NA,NA,3
"Mysore",1962,5,"ANNAPURNA BAI","F","INC",12868,NA,NA,1
"Mysore",1962,5,"KRISHNAJI SHASTRY","M","IND",6481,NA,NA,2
"Mysore",1962,5,"BHIMRAO PATWARDHAN","M","PSP",5343,NA,NA,3
"Mysore",1962,6,"GOPAL RAO MUDBI","M","INC",11476,NA,NA,1
"Mysore",1962,6,"VISHWANATH","M","CPI",11201,NA,NA,2
"Mysore",1962,7,"VEERENDRA PATIL","M","INC",13391,NA,NA,1
"Mysore",1962,7,"SHARANGOWDA SIDRAMAYYA","M","SWA",10353,NA,NA,2
"Mysore",1962,8,"LALITHABAI CHANDRASHEKHAR","F","INC",14484,NA,NA,1
"Mysore",1962,8,"HANMANTHA RAO SHARNAPPA","M","PSP",3949,NA,NA,2
"Mysore",1962,8,"LAXMAN RAO LAKKAPPA","M","REP",2377,NA,NA,3
"Mysore",1962,9,"DEVAPPA SHAMANNA","M","INC",11631,NA,NA,1
"Mysore",1962,9,"B. SHAMSUNDER","M","PSP",4141,NA,NA,2
"Mysore",1962,9,"SHIVARAM SAMBU","M","REP",2092,NA,NA,3
"Mysore",1962,10,"GANGADHAR NAMOSHI","M","CPI",14208,NA,NA,1
"Mysore",1962,10,"MOHAMAD ALI","M","INC",10920,NA,NA,2
"Mysore",1962,10,"MALLESHAYYA SWAMY SHIVALINGAYYA","M","PSP",1003,NA,NA,3
"Mysore",1962,10,"VEERANNA CHANNAMALLAPPA","M","SOC",318,NA,NA,4
"Mysore",1962,11,"ANNA RAO BASAPPA GANAMUKHI","M","INC",14078,NA,NA,1
"Mysore",1962,11,"SHARNAPPA RUKKAPPA","M","REP",1411,NA,NA,2
"Mysore",1962,11,"NEELKANTH LAXMAN RAO KULKARNI","M","PSP",782,NA,NA,3
"Mysore",1962,12,"S. RUDRAPPA","M","INC",10608,NA,NA,1
"Mysore",1962,12,"SHARANGOWDA SIDDARAMAYYA","M","SWA",3779,NA,NA,2
"Mysore",1962,12,"ABDUL KAREEM","M","CPI",2285,NA,NA,3
"Mysore",1962,12,"DAVID RAO","M","IND",866,NA,NA,4
"Mysore",1962,13,"VIJAYA DEVI RAGHAVENDER RAO","F","INC",11296,NA,NA,1
"Mysore",1962,13,"SHANTMALLAPPA ANNA RAO BHANKUR","M","SWA",6167,NA,NA,2
"Mysore",1962,13,"SRINIVAS RAO GUDI","M","CPI",3847,NA,NA,3
"Mysore",1962,14,"JAMADANDA SARWESH","M","INC",10012,NA,NA,1
"Mysore",1962,14,"DEVENDRA KUMAR","M","SWA",6981,NA,NA,2
"Mysore",1962,15,"VIDYADHAR GURUJI SAYANNA","M","SWA",19378,NA,NA,1
"Mysore",1962,15,"MALLAPPA LINGAPPA KOLLUR","M","INC",9469,NA,NA,2
"Mysore",1962,16,"NILKANTHAPPA SHARNAPPA","M","INC",12251,NA,NA,1
"Mysore",1962,16,"K. CHANNABASAPPA DANDAPPA","M","SWA",11595,NA,NA,2
"Mysore",1962,17,"BHOJ RAJ","M","LSS",15872,NA,NA,1
"Mysore",1962,17,"KONAPPA RUDRAPPA NADAGOUDA","M","INC",13788,NA,NA,2
"Mysore",1962,18,"MAHANTSWAMI VERUPAKSHAYA","M","SWA",11915,NA,NA,1
