"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Mysore",1962,1,"SANTPUR","SC",57685
"Mysore",1962,2,"BHALKI","GEN",49610
"Mysore",1962,3,"BIDAR","GEN",52145
"Mysore",1962,4,"HULSUR","GEN",55127
"Mysore",1962,5,"KALYANI","GEN",54512
"Mysore",1962,6,"HUMNABAD","GEN",47670
"Mysore",1962,7,"CHINCHOLI","GEN",52980
"Mysore",1962,8,"KAMALAPUR","GEN",50318
"Mysore",1962,9,"ALAND","SC",49554
"Mysore",1962,10,"GULBARGA","GEN",52823
"Mysore",1962,11,"AFZALPUR","GEN",49525
"Mysore",1962,12,"KALGI","GEN",49184
"Mysore",1962,13,"CHITTAPUR","GEN",52431
"Mysore",1962,14,"SERUM","SC",44993
"Mysore",1962,15,"GURMITKAL","GEN",60019
"Mysore",1962,16,"JEWARGI","GEN",51084
"Mysore",1962,17,"YADGIR","GEN",58250
"Mysore",1962,18,"SHAHPUR","GEN",56540
"Mysore",1962,19,"SHORAPUR","GEN",56121
"Mysore",1962,20,"BADAMI","GEN",51878
"Mysore",1962,21,"GULEDGUD","GEN",53535
"Mysore",1962,22,"HUGUND","GEN",51733
"Mysore",1962,23,"BAGALKOT","GEN",57441
"Mysore",1962,24,"MUDHOL","GEN",57458
"Mysore",1962,25,"BILGI","GEN",55413
"Mysore",1962,26,"JAMKHANDI","GEN",54586
"Mysore",1962,27,"TIKOTA","GEN",49249
"Mysore",1962,28,"BIJAPUR","GEN",50357
"Mysore",1962,29,"BAGEWADI","GEN",49030
"Mysore",1962,30,"MUDDEBIHAL","GEN",47500
"Mysore",1962,31,"TALIKOT","GEN",48825
"Mysore",1962,32,"INDI","GEN",50120
"Mysore",1962,33,"BARADOL","SC",48229
"Mysore",1962,34,"SINDGI","GEN",49936
"Mysore",1962,35,"ATHANI","GEN",50559
"Mysore",1962,36,"KAGAWAD","GEN",50782
"Mysore",1962,37,"RAIBAG","SC",50493
"Mysore",1962,38,"CHIKODI","GEN",50022
"Mysore",1962,39,"SADALGA","GEN",52725
"Mysore",1962,40,"NIPANI","GEN",51894
"Mysore",1962,41,"SANKESHWAR","SC",44178
"Mysore",1962,42,"HUKERI","GEN",46068
"Mysore",1962,43,"BELGAUM CITY","GEN",57351
"Mysore",1962,44,"BELGAUM I","GEN",50824
"Mysore",1962,45,"BELGAUM I I","GEN",53297
"Mysore",1962,46,"GOKAK I","GEN",51786
"Mysore",1962,47,"GOKAK I I","GEN",49259
"Mysore",1962,48,"RAMADURG","GEN",54636
"Mysore",1962,49,"PARASGAD","GEN",53010
"Mysore",1962,50,"SAMPAGAON I","GEN",50869
"Mysore",1962,51,"SAMPAGAON I I","GEN",49924
"Mysore",1962,52,"KHANAPUR","GEN",60208
"Mysore",1962,53,"KARWAR","GEN",59930
"Mysore",1962,54,"ANKOLA","GEN",65856
"Mysore",1962,55,"KUMTA","GEN",58767
"Mysore",1962,56,"HONAWAR","GEN",58598
"Mysore",1962,57,"SIRSI","GEN",55823
"Mysore",1962,58,"HIREKERUR","GEN",54628
"Mysore",1962,59,"RANIBENNUR","SC",50932
"Mysore",1962,60,"BYADGI","GEN",52885
"Mysore",1962,61,"HANGAL","GEN",52569
"Mysore",1962,62,"SHIGGAON","GEN",53934
"Mysore",1962,63,"HAVERI","GEN",51471
"Mysore",1962,64,"SHIRAHATTI","GEN",50869
"Mysore",1962,65,"KUNDGOL","GEN",51904
"Mysore",1962,66,"HUBLI CITY","GEN",58501
"Mysore",1962,67,"HUBLI","GEN",56006
"Mysore",1962,68,"KALGHATGI","GEN",56060
"Mysore",1962,69,"DHARWAR","GEN",47714
"Mysore",1962,70,"NAVALGUND","GEN",55196
"Mysore",1962,71,"NARGUND","GEN",59186
"Mysore",1962,72,"GADAG","GEN",51001
"Mysore",1962,73,"MUNDARGI","GEN",54383
"Mysore",1962,74,"RON","GEN",48203
"Mysore",1962,75,"RAICHUR","GEN",55958
"Mysore",1962,76,"KALMALA","SC",50584
"Mysore",1962,77,"DEODURG","GEN",56309
"Mysore",1962,78,"MANVI","GEN",56729
"Mysore",1962,79,"LINGSUGUR","GEN",48044
"Mysore",1962,80,"SINDHANOOR","GEN",62651
"Mysore",1962,81,"KUSHTAGI","GEN",57425
"Mysore",1962,82,"YELBURGA","GEN",63708
"Mysore",1962,83,"KOPPAL","GEN",44452
"Mysore",1962,84,"GANGAVATI","GEN",58337
"Mysore",1962,85,"HADAGALLI","GEN",64622
"Mysore",1962,86,"HOSPET","GEN",50001
"Mysore",1962,87,"SHIRUGUPPA","GEN",58566
"Mysore",1962,88,"KURUGODU","GEN",50167
"Mysore",1962,89,"BELLARY","GEN",66161
"Mysore",1962,90,"SANDUR","GEN",62687
"Mysore",1962,91,"HARAPANAHALLI","GEN",66160
"Mysore",1962,92,"KUDLIGI","SC",55280
"Mysore",1962,93,"MOLAKALMURU","GEN",58104
"Mysore",1962,94,"CHALLAKERE","GEN",65477
"Mysore",1962,95,"JAGALUR","SC",57899
"Mysore",1962,96,"DAVANGERE","GEN",67956
"Mysore",1962,97,"HARIHAR","GEN",63401
"Mysore",1962,98,"CHITRADURGA","GEN",59453
"Mysore",1962,99,"HOLALKERE","SC",54292
"Mysore",1962,100,"HIRIYUR","GEN",72361
"Mysore",1962,101,"HOSADURGA","GEN",54048
"Mysore",1962,102,"CHANNAGIRI","GEN",59935
"Mysore",1962,103,"BHADRAVATHI","GEN",70714
"Mysore",1962,104,"SHIMOGA","GEN",62931
"Mysore",1962,105,"HONNALI","GEN",55123
"Mysore",1962,106,"SHIKARIPUR","SC",66518
"Mysore",1962,107,"SAGAR","GEN",79194
"Mysore",1962,108,"THIRTHAHALLI","GEN",59133
"Mysore",1962,109,"SULLIA","ST",51231
"Mysore",1962,110,"PUTTUR","GEN",55730
"Mysore",1962,111,"BELTHANGADY","GEN",59594
"Mysore",1962,112,"PANEMANGALORE","GEN",57395
"Mysore",1962,113,"MANGALORE I","GEN",51476
"Mysore",1962,114,"MANGALORE I I","GEN",57302
"Mysore",1962,115,"SURATHKAL","GEN",53328
"Mysore",1962,116,"KAUP","GEN",50322
"Mysore",1962,117,"UDIPI","GEN",46841
"Mysore",1962,118,"BRAHMAVAR","GEN",50972
"Mysore",1962,119,"COONDAPUR","GEN",56249
"Mysore",1962,120,"BAINDUR","GEN",70291
"Mysore",1962,121,"KARKAL","GEN",46527
"Mysore",1962,122,"MUDABIDRI","SC",48770
"Mysore",1962,123,"SRINGERI","GEN",59304
"Mysore",1962,124,"TARIKERE","GEN",63458
"Mysore",1962,125,"KADUR","GEN",58796
"Mysore",1962,126,"CHIKMAGALUR","GEN",52779
"Mysore",1962,127,"MUDIGERE","SC",55372
"Mysore",1962,128,"ARSIKERE","GEN",52573
"Mysore",1962,129,"BELUR","SC",57037
"Mysore",1962,130,"SAKLESHPUR","GEN",57659
"Mysore",1962,131,"ARKALGUD","GEN",51843
"Mysore",1962,132,"HASSAN","GEN",52721
"Mysore",1962,133,"GANDASI","GEN",60978
"Mysore",1962,134,"SRAVANABELAGOLA","GEN",50444
"Mysore",1962,135,"HOLENARSIPUR","GEN",50232
"Mysore",1962,136,"TURUVEKERE","GEN",49618
"Mysore",1962,137,"TIPTUR","GEN",55951
"Mysore",1962,138,"CHIKNAYAKANAHALLI","GEN",56088
"Mysore",1962,139,"SIRA","GEN",67939
"Mysore",1962,140,"PAVAGADA","SC",58317
"Mysore",1962,141,"GUBBI","GEN",55760
"Mysore",1962,142,"CHANDRASEKHARAPURA","GEN",55633
"Mysore",1962,143,"KUNIGAL","GEN",52161
"Mysore",1962,144,"HEBBUR","GEN",57851
"Mysore",1962,145,"TUMKUR","GEN",57001
"Mysore",1962,146,"KORATAGERE","SC",52828
"Mysore",1962,147,"MADHUGIRI","GEN",60110
"Mysore",1962,148,"GOWRIBIDANUR","GEN",60148
"Mysore",1962,149,"CHIKBALLAPUR","GEN",60601
"Mysore",1962,150,"BAGEPALLI","SC",60634
"Mysore",1962,151,"SIDLAGHATTA","GEN",55772
"Mysore",1962,152,"CHINTAMANI","GEN",57642
"Mysore",1962,153,"SRINIVASAPUR","GEN",60090
"Mysore",1962,154,"MULBAGAL","SC",58672
"Mysore",1962,155,"KOLAR","GEN",61684
"Mysore",1962,156,"ROBERTSONPET","GEN",36518
"Mysore",1962,157,"KOLAR GOLD FIELDS","SC",35397
"Mysore",1962,158,"BANGARPET","GEN",59362
"Mysore",1962,159,"MALUR","GEN",52444
"Mysore",1962,160,"MALLESWARAM","GEN",68758
"Mysore",1962,161,"GHANDHI NAGAR","GEN",53844
"Mysore",1962,162,"CHIKPET","GEN",43067
"Mysore",1962,163,"CHAMARAJAPET","GEN",49016
"Mysore",1962,164,"BASAVANGUDI","GEN",50692
"Mysore",1962,165,"CUBBONPET","GEN",43217
"Mysore",1962,166,"ULSOOR","GEN",43048
"Mysore",1962,167,"BROADWAY","GEN",41111
"Mysore",1962,168,"YESHWANTAPURA","GEN",57873
"Mysore",1962,169,"YELAHANKA","SC",48057
"Mysore",1962,170,"HOSKOTE","GEN",54116
"Mysore",1962,171,"DEVANAHALLI","SC",53672
"Mysore",1962,172,"DODABALLAPUR","GEN",56972
"Mysore",1962,173,"SOLUR","GEN",46050
"Mysore",1962,174,"NELAMANGALA","SC",42078
"Mysore",1962,175,"MAGADI","GEN",50518
"Mysore",1962,176,"RAMANAGARAM","GEN",54883
"Mysore",1962,177,"CHANNAPATNA","GEN",50064
"Mysore",1962,178,"VIRUPAKSHIPURA","GEN",48720
"Mysore",1962,179,"KANAKAPURA","GEN",54041
"Mysore",1962,180,"UTTARAHALLI","GEN",55639
"Mysore",1962,181,"BANGALORE SOUTH","GEN",57473
"Mysore",1962,182,"ANEKAL","GEN",53655
"Mysore",1962,183,"KRISHNARAJAPET","GEN",55663
"Mysore",1962,184,"PANDAVAPURA","GEN",54928
"Mysore",1962,185,"SRIRANGAPATNA","GEN",61358
"Mysore",1962,186,"MANDYA","GEN",69709
"Mysore",1962,187,"MALAVALLI","GEN",48502
"Mysore",1962,188,"KIRUGAVALU","SC",48103
"Mysore",1962,189,"MADDUR","GEN",62500
"Mysore",1962,190,"NAGAMANGALA","GEN",50643
"Mysore",1962,191,"PALYA","GEN",57745
"Mysore",1962,192,"BANNUR","GEN",50431
"Mysore",1962,193,"KOLLEGAL","SC",49715
"Mysore",1962,194,"T NARASIPUR","GEN",51104
"Mysore",1962,195,"MYSORE CITY","GEN",47493
"Mysore",1962,196,"MYSORE CITY NORTH","GEN",43889
"Mysore",1962,197,"MYSORE","GEN",58116
"Mysore",1962,198,"NANJANGUD","GEN",50782
"Mysore",1962,199,"BILIGERE","GEN",46746
"Mysore",1962,200,"SANTHEMARAHALLI","SC",49164
"Mysore",1962,201,"CHAMARAJANAGAR","GEN",51252
"Mysore",1962,202,"GUNDLUPET","GEN",59147
"Mysore",1962,203,"HEGGADADEVANAKOTE","SC",56738
"Mysore",1962,204,"HUNSUR","GEN",58440
"Mysore",1962,205,"KRISHNARAJANAGAR","GEN",59051
"Mysore",1962,206,"PERIYAPATNA","GEN",58291
"Mysore",1962,207,"VIRAJPET","GEN",53859
"Mysore",1962,208,"MERCARA","GEN",62567
"Mysore",1967,1,"AURAD","GEN",67742
"Mysore",1967,2,"BHALKI","GEN",59103
"Mysore",1967,3,"HULSUR","SC",57802
"Mysore",1967,4,"BIDAR","GEN",60186
"Mysore",1967,5,"HUMNABAD","GEN",61970
"Mysore",1967,6,"BASAVAKALYAN","GEN",59403
"Mysore",1967,7,"CHINCHOLI","GEN",62199
"Mysore",1967,8,"KAMALAPUR","GEN",53819
"Mysore",1967,9,"ALAND","GEN",54916
"Mysore",1967,10,"GULBARGA","GEN",66698
"Mysore",1967,11,"AFZALPUR","GEN",58492
"Mysore",1967,12,"KALGI","GEN",61972
"Mysore",1967,13,"CHITAPUR","GEN",58690
"Mysore",1967,14,"SERUM","SC",50529
"Mysore",1967,15,"JEVARGI","GEN",60962
"Mysore",1967,16,"GURUMITKAL","SC",69649
"Mysore",1967,17,"YADGIR","GEN",67833
"Mysore",1967,18,"SHAHPUR","GEN",64077
"Mysore",1967,19,"SHORAPUR","GEN",62110
"Mysore",1967,20,"DEODURG","GEN",61678
"Mysore",1967,21,"RAICHUR","GEN",65308
"Mysore",1967,22,"KALMALA","SC",52482
"Mysore",1967,23,"MANVI","GEN",60111
"Mysore",1967,24,"LINGSUGUR","GEN",60769
"Mysore",1967,25,"SINDHNOOR","GEN",55807
"Mysore",1967,26,"KUSHTAGI","GEN",63359
"Mysore",1967,27,"YELBURGA","GEN",67607
"Mysore",1967,28,"GANGAVATHI","GEN",71117
"Mysore",1967,29,"KOPPAL","GEN",65715
"Mysore",1967,30,"SIRUGUPPA","GEN",58968
"Mysore",1967,31,"KURUGODU","GEN",57372
