"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Nagaland",1,1964,2,1,"DIMAPUR TOWN",61.48,56.38,"General",6422,504,2,1,"Male","IND",2226,"SHRI GOVINDA CH. PAIRA",12.77,"SHRI KEVICHUSA","IND","M",NA
"Nagaland",1,1964,2,2,"DIMAPUR",74.16,59.77,"General",3553,515,2,1,"Male","IND",1575,"SHRI DEBALAL MECH.",19.54,"SHRI VILHUMA ANGAMI","IND","M",NA
"Nagaland",1,1964,2,3,"GHASPANI",86.48,36.31,"General",3261,145,4,1,"Male","IND",1024,"SHRI LANGKAM",5.14,"SHRI KHELHOSE SEMA","IND","M",NA
"Nagaland",1,1964,2,4,"TENING",73.38,56.99,"General",2953,535,3,1,"Male","IND",1235,"SHRI LALKHOLAM",24.69,"SHRI HUTHOMBO","IND","M",NA
"Nagaland",1,1964,2,5,"PEREN",68.89,74.46,"General",3166,1067,2,1,"Male","IND",1624,"SHRI LONGBE",48.92,"SHRI LEVI","IND","M",NA
"Nagaland",1,1964,2,6,"WESTREN ANGAMI",70.72,65.87,"General",3770,846,2,1,"Male","IND",1756,"SHRI T.N. ANGAMI",31.73,"SHRI KEVICHUSA","IND","M",NA
"Nagaland",1,1964,2,7,"KOHIMA TOWN",54.75,81.97,"General",4862,1740,3,1,"Male","IND",2182,"SHRI JASOKIE",65.36,"SHRI SILIE HARALU","IND","M",NA
"Nagaland",1,1964,2,8,"NORTHERN ANGAMI",76.33,81.52,"General",3113,1498,2,1,"Male","IND",1937,"SHRI NEITUO",63.05,"SHRI Z. YEKRULIE","IND","M",NA
"Nagaland",1,1964,2,9,"NORTHERN ANGAMI",74.14,63.16,"General",4324,844,2,1,"Male","IND",2025,"SHRI LHOUSUOHIE",26.33,"SHRI THINUOCHULIE","IND","M",NA
"Nagaland",1,1964,2,10,"TSEMINYU",75.57,65.12,"General",3373,771,2,1,"Male","IND",1660,"SHRI VIYEKHA",30.25,"SHRI RIGA THONG","IND","M",NA
"Nagaland",1,1964,2,11,"PUGHOBOTO",0,NA,"General",4257,0,1,1,"Male","IND",0,"SHRI KIYELHO (UNCONTESTED)",NA,NA,NA,NA,NA
