"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Nagaland",1964,1,"DIMAPUR TOWN","GEN","SHRI GOVINDA CH. PAIRA","IND",2226,1,56.38
"Nagaland",1964,1,"DIMAPUR TOWN","GEN","SHRI KEVICHUSA","IND",1722,2,43.62
"Nagaland",1964,2,"DIMAPUR","GEN","SHRI DEBALAL MECH.","IND",1575,1,59.77
"Nagaland",1964,2,"DIMAPUR","GEN","SHRI VILHUMA ANGAMI","IND",1060,2,40.23
"Nagaland",1964,3,"GHASPANI","GEN","SHRI LANGKAM","IND",1024,1,36.31
"Nagaland",1964,3,"GHASPANI","GEN","SHRI KHELHOSE SEMA","IND",879,2,31.17
"Nagaland",1964,3,"GHASPANI","GEN","SHRI N.Z. MKRITSU","IND",641,3,22.73
"Nagaland",1964,3,"GHASPANI","GEN","SHRI NGUTSONYU","IND",276,4,9.79
"Nagaland",1964,4,"TENING","GEN","SHRI LALKHOLAM","IND",1235,1,56.99
"Nagaland",1964,4,"TENING","GEN","SHRI HUTHOMBO","IND",700,2,32.3
"Nagaland",1964,4,"TENING","GEN","SHRI LUTJAKAI","IND",232,3,10.71
"Nagaland",1964,5,"PEREN","GEN","SHRI LONGBE","IND",1624,1,74.46
"Nagaland",1964,5,"PEREN","GEN","SHRI LEVI","IND",557,2,25.54
"Nagaland",1964,6,"WESTREN ANGAMI","GEN","SHRI T.N. ANGAMI","IND",1756,1,65.87
"Nagaland",1964,6,"WESTREN ANGAMI","GEN","SHRI KEVICHUSA","IND",910,2,34.13
"Nagaland",1964,7,"KOHIMA TOWN","GEN","SHRI JASOKIE","IND",2182,1,81.97
"Nagaland",1964,7,"KOHIMA TOWN","GEN","SHRI SILIE HARALU","IND",442,2,16.6
"Nagaland",1964,7,"KOHIMA TOWN","GEN","SHRI SHYAMLAL MUNSHI","IND",38,3,1.43
"Nagaland",1964,8,"NORTHERN ANGAMI","GEN","SHRI NEITUO","IND",1937,1,81.52
"Nagaland",1964,8,"NORTHERN ANGAMI","GEN","SHRI Z. YEKRULIE","IND",439,2,18.48
"Nagaland",1964,9,"NORTHERN ANGAMI","GEN","SHRI LHOUSUOHIE","IND",2025,1,63.16
"Nagaland",1964,9,"NORTHERN ANGAMI","GEN","SHRI THINUOCHULIE","IND",1181,2,36.84
"Nagaland",1964,10,"TSEMINYU","GEN","SHRI VIYEKHA","IND",1660,1,65.12
"Nagaland",1964,10,"TSEMINYU","GEN","SHRI RIGA THONG","IND",889,2,34.88
"Nagaland",1964,11,"PUGHOBOTO","GEN","SHRI KIYELHO (UNCONTESTED)","IND",0,1,NA
"Nagaland",1964,12,"SOUTHERN ANGAMI","GEN","SHRI NGUROHIE ZAO","IND",1205,1,46.44
"Nagaland",1964,12,"SOUTHERN ANGAMI","GEN","SHRI KEHOZO KHIEYA","IND",981,2,37.8
"Nagaland",1964,12,"SOUTHERN ANGAMI","GEN","SHRI VITSONI","IND",409,3,15.76
"Nagaland",1964,13,"SOUTHERN ANGAMI","GEN","SHRI VIZOL","IND",1696,1,60.18
"Nagaland",1964,13,"SOUTHERN ANGAMI","GEN","SHRI HOSAL KIN","IND",1122,2,39.82
"Nagaland",1964,14,"PFUTSERO","GEN","SHRI WEZHULHU","IND",1633,1,69.97
"Nagaland",1964,14,"PFUTSERO","GEN","SHRI KEWETSO RITSE","IND",701,2,30.03
"Nagaland",1964,15,"CHAZOUBA","GEN","SHRI PUDENU DEMO (UNCONTESTED)","IND",0,1,NA
"Nagaland",1964,16,"CHAZOUBA","GEN","SHRI NETSUTSO THEYO","IND",1459,1,64.87
"Nagaland",1964,16,"CHAZOUBA","GEN","SHRI PHUKUVE","IND",790,2,35.13
"Nagaland",1964,17,"PHEK","GEN","SHRI LHUTHIPRU (UNCONTESTED)","IND",0,1,NA
"Nagaland",1964,18,"CHIZAMI","GEN","SHRI LHUSETSU","IND",1509,1,60.9
"Nagaland",1964,18,"CHIZAMI","GEN","SHRI WETZULO","IND",563,2,22.72
"Nagaland",1964,18,"CHIZAMI","GEN","SHRI WEZOLO","IND",406,3,16.38
"Nagaland",1964,19,"MELURI","GEN","SHRI AMON ( UNCONTESTED)","IND",0,1,NA
"Nagaland",1964,20,"TULI","GEN","SHRI KAJENKABA","IND",943,1,54.1
"Nagaland",1964,20,"TULI","GEN","SHRI NOKLENSAMA JAMIR","IND",800,2,45.9
"Nagaland",1964,21,"ARKAKONG","GEN","SHRI R.C. CHITEN JAMIR (UNCONTESTED)","IND",0,1,NA
"Nagaland",1964,22,"YISEMYONG","GEN","SHRI SUZUMAR IMSONG (UNCONTESTED)","IND",0,1,NA
"Nagaland",1964,23,"MONGOYA","GEN","SHRI BENDANGANGSHI","IND",1258,1,80.69
"Nagaland",1964,23,"MONGOYA","GEN","SHRI TENOMAYANG AO","IND",301,2,19.31
"Nagaland",1964,24,"MOKOKCHUNG TOWN","GEN","SHRI KHELHOSHE SEMA","IND",670,1,50.99
"Nagaland",1964,24,"MOKOKCHUNG TOWN","GEN","SHRI TEKASOSANG","IND",644,2,49.01
"Nagaland",1964,25,"AUNGLENDEN","GEN","SHRI IMSUMEREN","IND",1788,1,88.08
"Nagaland",1964,25,"AUNGLENDEN","GEN","SHRI KARIBA AO.","IND",242,2,11.92
"Nagaland",1964,26,"KORIDANG","GEN","SHRI TAJEN","IND",1753,1,87.69
