"state","year","month","party","seats"
"Nagaland",1964,2,"IND","100"
"Nagaland",1969,2,"IND","20"
"Nagaland",1974,2,"IND","20"
"Nagaland",1977,2,"IND","15"
"Nagaland",1982,2,"IND","20"
"Nagaland",1987,2,"IND","11.67"
"Nagaland",1989,2,"IND","0"
"Nagaland",1993,2,"IND","11.67"
"Nagaland",1998,2,"IND","12.73"
"Nagaland",2003,2,"IND","6.67"
"Nagaland",2008,2,"IND","11.67"
"Nagaland",2013,2,"IND","13.33"
"Nagaland",1969,2,"NNO","55"
"Nagaland",1974,2,"NNO","38.33"
"Nagaland",1969,2,"UFN","25"
"Nagaland",1974,2,"UDF","41.67"
"Nagaland",1977,2,"UDF","58.33"
"Nagaland",1977,2,"NCN","1.67"
"Nagaland",1977,2,"INC","25"
"Nagaland",1982,2,"INC","40"
"Nagaland",1987,2,"INC","56.67"
"Nagaland",1989,2,"INC","60"
"Nagaland",1993,2,"INC","58.33"
"Nagaland",1998,2,"INC","87.27"
"Nagaland",2003,2,"INC","35"
"Nagaland",2008,2,"INC","38.33"
"Nagaland",2013,2,"INC","13.33"
"Nagaland",1982,2,"NND","40"
"Nagaland",1987,2,"NND","30"
"Nagaland",1987,2,"NPP","1.67"
"Nagaland",1989,2,"NPP","0"
"Nagaland",1989,2,"NPC","40"
"Nagaland",1993,2,"NPC","28.33"
"Nagaland",1993,2,"DLP","1.67"
"Nagaland",1987,2,"BJP","0"
"Nagaland",1993,2,"BJP","0"
"Nagaland",2003,2,"BJP","11.67"
"Nagaland",2008,2,"BJP","3.33"
"Nagaland",2013,2,"BJP","1.67"
"Nagaland",2003,2,"NDM","8.33"
"Nagaland",2003,2,"NPF","31.67"
"Nagaland",2008,2,"NPF","43.33"
"Nagaland",2013,2,"NPF","63.33"
"Nagaland",2003,2,"NCP","0"
"Nagaland",2008,2,"NCP","3.33"
"Nagaland",2013,2,"NCP","6.67"
