"state","year","month","party","votes"
"Nagaland",1964,2,"IND","100"
"Nagaland",1969,2,"IND","39.58"
"Nagaland",1974,2,"IND","34.28"
"Nagaland",1977,2,"IND","28.74"
"Nagaland",1982,2,"IND","35.91"
"Nagaland",1987,2,"IND","20.61"
"Nagaland",1989,2,"IND","4.18"
"Nagaland",1993,2,"IND","20.29"
"Nagaland",1998,2,"IND","49.27"
"Nagaland",2003,2,"IND","4.42"
"Nagaland",2008,2,"IND","13.09"
"Nagaland",2013,2,"IND","17.75"
"Nagaland",1969,2,"NNO","38.66"
"Nagaland",1974,2,"NNO","35.71"
"Nagaland",1969,2,"UFN","21.76"
"Nagaland",1974,2,"UDF","30.01"
"Nagaland",1977,2,"UDF","39.21"
"Nagaland",1977,2,"INC","20.19"
"Nagaland",1982,2,"INC","32.08"
"Nagaland",1987,2,"INC","39.84"
"Nagaland",1989,2,"INC","51.45"
"Nagaland",1993,2,"INC","46.02"
"Nagaland",1998,2,"INC","50.73"
"Nagaland",2003,2,"INC","35.86"
"Nagaland",2008,2,"INC","36.28"
"Nagaland",2013,2,"INC","24.89"
"Nagaland",1977,2,"NCN","11.85"
"Nagaland",1982,2,"NND","32.01"
"Nagaland",1987,2,"NND","30.33"
"Nagaland",1987,2,"BJP","0.19"
"Nagaland",1993,2,"BJP","0.35"
"Nagaland",2003,2,"BJP","10.88"
"Nagaland",2008,2,"BJP","5.35"
"Nagaland",2013,2,"BJP","1.75"
"Nagaland",1987,2,"NPP","9.03"
"Nagaland",1989,2,"NPP","2.76"
"Nagaland",1989,2,"NPC","41.61"
"Nagaland",1993,2,"NPC","32.82"
"Nagaland",1993,2,"DLP","0.51"
"Nagaland",2003,2,"NPF","29.76"
"Nagaland",2008,2,"NPF","33.62"
"Nagaland",2013,2,"NPF","47.04"
"Nagaland",2003,2,"NDM","9.53"
"Nagaland",2003,2,"JD(U)","5.8"
"Nagaland",2008,2,"JD(U)","0.29"
"Nagaland",2013,2,"JD(U)","1.65"
"Nagaland",2003,2,"NCP","1.99"
"Nagaland",2008,2,"NCP","4.01"
"Nagaland",2013,2,"NCP","6.05"
"Nagaland",2008,2,"RJD","6.56"
"Nagaland",2013,2,"RJD","0.5"
