"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Nagaland",1964,2,1,2,1,1,"SHRI GOVINDA CH. PAIRA","M","IND",2226,NA,NA,3948,6422,"DIMAPUR TOWN","GEN",NA,NA,2,61.48,56.38,"no",504,12.77,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,1,2,"SHRI KEVICHUSA","M","IND",1722,NA,NA,3948,6422,"DIMAPUR TOWN","GEN",NA,NA,2,61.48,43.62,"no",0,0,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,2,1,"SHRI DEBALAL MECH.","M","IND",1575,NA,NA,2635,3553,"DIMAPUR","GEN",NA,NA,2,74.16,59.77,"no",515,19.54,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,2,2,"SHRI VILHUMA ANGAMI","M","IND",1060,NA,NA,2635,3553,"DIMAPUR","GEN",NA,NA,2,74.16,40.23,"no",0,0,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,3,1,"SHRI LANGKAM","M","IND",1024,NA,NA,2820,3261,"GHASPANI","GEN",NA,NA,4,86.48,36.31,"no",145,5.14,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,3,2,"SHRI KHELHOSE SEMA","M","IND",879,NA,NA,2820,3261,"GHASPANI","GEN",NA,NA,4,86.48,31.17,"no",238,8.44,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,3,3,"SHRI N.Z. MKRITSU","M","IND",641,NA,NA,2820,3261,"GHASPANI","GEN",NA,NA,4,86.48,22.73,"no",365,12.94,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,3,4,"SHRI NGUTSONYU","M","IND",276,NA,NA,2820,3261,"GHASPANI","GEN",NA,NA,4,86.48,9.79,"no",0,0,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,4,1,"SHRI LALKHOLAM","M","IND",1235,NA,NA,2167,2953,"TENING","GEN",NA,NA,3,73.38,56.99,"no",535,24.69,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,2,4,2,"SHRI HUTHOMBO","M","IND",700,NA,NA,2167,2953,"TENING","GEN",NA,NA,3,73.38,32.3,"no",468,21.6,NA,NA,NA,NA,NA
