"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Nagaland",1964,1,1,"DIMAPUR TOWN","SHRI GOVINDA CH. PAIRA",NA,NA,NA,NA,NA,NA
"Nagaland",1964,1,2,"DIMAPUR TOWN","SHRI KEVICHUSA",NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,1,"DIMAPUR","SHRI DEBALAL MECH.",NA,NA,NA,NA,NA,NA
"Nagaland",1964,2,2,"DIMAPUR","SHRI VILHUMA ANGAMI",NA,NA,NA,NA,NA,NA
"Nagaland",1964,3,1,"GHASPANI","SHRI LANGKAM",NA,NA,NA,NA,NA,NA
"Nagaland",1964,3,2,"GHASPANI","SHRI KHELHOSE SEMA",NA,NA,NA,NA,NA,NA
"Nagaland",1964,3,3,"GHASPANI","SHRI N.Z. MKRITSU",NA,NA,NA,NA,NA,NA
"Nagaland",1964,3,4,"GHASPANI","SHRI NGUTSONYU",NA,NA,NA,NA,NA,NA
"Nagaland",1964,4,1,"TENING","SHRI LALKHOLAM",NA,NA,NA,NA,NA,NA
"Nagaland",1964,4,2,"TENING","SHRI HUTHOMBO",NA,NA,NA,NA,NA,NA
"Nagaland",1964,4,3,"TENING","SHRI LUTJAKAI",NA,NA,NA,NA,NA,NA
"Nagaland",1964,5,1,"PEREN","SHRI LONGBE",NA,NA,NA,NA,NA,NA
"Nagaland",1964,5,2,"PEREN","SHRI LEVI",NA,NA,NA,NA,NA,NA
"Nagaland",1964,6,1,"WESTREN ANGAMI","SHRI T.N. ANGAMI",NA,NA,NA,NA,NA,NA
"Nagaland",1964,6,2,"WESTREN ANGAMI","SHRI KEVICHUSA",NA,NA,NA,NA,NA,NA
"Nagaland",1964,7,1,"KOHIMA TOWN","SHRI JASOKIE",NA,NA,NA,NA,NA,NA
"Nagaland",1964,7,2,"KOHIMA TOWN","SHRI SILIE HARALU",NA,NA,NA,NA,NA,NA
"Nagaland",1964,7,3,"KOHIMA TOWN","SHRI SHYAMLAL MUNSHI",NA,NA,NA,NA,NA,NA
"Nagaland",1964,8,1,"NORTHERN ANGAMI","SHRI NEITUO",NA,NA,NA,NA,NA,NA
"Nagaland",1964,8,2,"NORTHERN ANGAMI","SHRI Z. YEKRULIE",NA,NA,NA,NA,NA,NA
"Nagaland",1964,9,1,"NORTHERN ANGAMI","SHRI LHOUSUOHIE",NA,NA,NA,NA,NA,NA
"Nagaland",1964,9,2,"NORTHERN ANGAMI","SHRI THINUOCHULIE",NA,NA,NA,NA,NA,NA
"Nagaland",1964,10,1,"TSEMINYU","SHRI VIYEKHA",NA,NA,NA,NA,NA,NA
"Nagaland",1964,10,2,"TSEMINYU","SHRI RIGA THONG",NA,NA,NA,NA,NA,NA
"Nagaland",1964,11,1,"PUGHOBOTO","SHRI KIYELHO (UNCONTESTED)",NA,NA,NA,NA,NA,NA
"Nagaland",1964,12,1,"SOUTHERN ANGAMI","SHRI NGUROHIE ZAO",NA,NA,NA,NA,NA,NA
"Nagaland",1964,12,2,"SOUTHERN ANGAMI","SHRI KEHOZO KHIEYA",NA,NA,NA,NA,NA,NA
"Nagaland",1964,12,3,"SOUTHERN ANGAMI","SHRI VITSONI",NA,NA,NA,NA,NA,NA
"Nagaland",1964,13,1,"SOUTHERN ANGAMI","SHRI VIZOL",NA,NA,NA,NA,NA,NA
"Nagaland",1964,13,2,"SOUTHERN ANGAMI","SHRI HOSAL KIN",NA,NA,NA,NA,NA,NA
"Nagaland",1964,14,1,"PFUTSERO","SHRI WEZHULHU",NA,NA,NA,NA,NA,NA
