"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Nagaland",1964,1,"SHRI GOVINDA CH. PAIRA","M","IND",2226,NA,NA,1
"Nagaland",1964,1,"SHRI KEVICHUSA","M","IND",1722,NA,NA,2
"Nagaland",1964,2,"SHRI DEBALAL MECH.","M","IND",1575,NA,NA,1
"Nagaland",1964,2,"SHRI VILHUMA ANGAMI","M","IND",1060,NA,NA,2
"Nagaland",1964,3,"SHRI LANGKAM","M","IND",1024,NA,NA,1
"Nagaland",1964,3,"SHRI KHELHOSE SEMA","M","IND",879,NA,NA,2
"Nagaland",1964,3,"SHRI N.Z. MKRITSU","M","IND",641,NA,NA,3
"Nagaland",1964,3,"SHRI NGUTSONYU","M","IND",276,NA,NA,4
"Nagaland",1964,4,"SHRI LALKHOLAM","M","IND",1235,NA,NA,1
"Nagaland",1964,4,"SHRI HUTHOMBO","M","IND",700,NA,NA,2
"Nagaland",1964,4,"SHRI LUTJAKAI","M","IND",232,NA,NA,3
"Nagaland",1964,5,"SHRI LONGBE","M","IND",1624,NA,NA,1
"Nagaland",1964,5,"SHRI LEVI","M","IND",557,NA,NA,2
"Nagaland",1964,6,"SHRI T.N. ANGAMI","M","IND",1756,NA,NA,1
"Nagaland",1964,6,"SHRI KEVICHUSA","M","IND",910,NA,NA,2
"Nagaland",1964,7,"SHRI JASOKIE","M","IND",2182,NA,NA,1
"Nagaland",1964,7,"SHRI SILIE HARALU","M","IND",442,NA,NA,2
"Nagaland",1964,7,"SHRI SHYAMLAL MUNSHI","M","IND",38,NA,NA,3
"Nagaland",1964,8,"SHRI NEITUO","M","IND",1937,NA,NA,1
"Nagaland",1964,8,"SHRI Z. YEKRULIE","M","IND",439,NA,NA,2
"Nagaland",1964,9,"SHRI LHOUSUOHIE","M","IND",2025,NA,NA,1
"Nagaland",1964,9,"SHRI THINUOCHULIE","M","IND",1181,NA,NA,2
"Nagaland",1964,10,"SHRI VIYEKHA","M","IND",1660,NA,NA,1
"Nagaland",1964,10,"SHRI RIGA THONG","M","IND",889,NA,NA,2
"Nagaland",1964,11,"SHRI KIYELHO (UNCONTESTED)","M","IND",0,NA,NA,1
"Nagaland",1964,12,"SHRI NGUROHIE ZAO","M","IND",1205,NA,NA,1
"Nagaland",1964,12,"SHRI KEHOZO KHIEYA","M","IND",981,NA,NA,2
"Nagaland",1964,12,"SHRI VITSONI","M","IND",409,NA,NA,3
"Nagaland",1964,13,"SHRI VIZOL","M","IND",1696,NA,NA,1
"Nagaland",1964,13,"SHRI HOSAL KIN","M","IND",1122,NA,NA,2
"Nagaland",1964,14,"SHRI WEZHULHU","M","IND",1633,NA,NA,1
"Nagaland",1964,14,"SHRI KEWETSO RITSE","M","IND",701,NA,NA,2
"Nagaland",1964,15,"SHRI PUDENU DEMO (UNCONTESTED)","M","IND",0,NA,NA,1
"Nagaland",1964,16,"SHRI NETSUTSO THEYO","M","IND",1459,NA,NA,1
"Nagaland",1964,16,"SHRI PHUKUVE","M","IND",790,NA,NA,2
"Nagaland",1964,17,"SHRI LHUTHIPRU (UNCONTESTED)","M","IND",0,NA,NA,1
"Nagaland",1964,18,"SHRI LHUSETSU","M","IND",1509,NA,NA,1
"Nagaland",1964,18,"SHRI WETZULO","M","IND",563,NA,NA,2
"Nagaland",1964,18,"SHRI WEZOLO","M","IND",406,NA,NA,3
"Nagaland",1964,19,"SHRI AMON ( UNCONTESTED)","M","IND",0,NA,NA,1
"Nagaland",1964,20,"SHRI KAJENKABA","M","IND",943,NA,NA,1
"Nagaland",1964,20,"SHRI NOKLENSAMA JAMIR","M","IND",800,NA,NA,2
"Nagaland",1964,21,"SHRI R.C. CHITEN JAMIR (UNCONTESTED)","M","IND",0,NA,NA,1
"Nagaland",1964,22,"SHRI SUZUMAR IMSONG (UNCONTESTED)","M","IND",0,NA,NA,1
"Nagaland",1964,23,"SHRI BENDANGANGSHI","M","IND",1258,NA,NA,1
"Nagaland",1964,23,"SHRI TENOMAYANG AO","M","IND",301,NA,NA,2
"Nagaland",1964,24,"SHRI KHELHOSHE SEMA","M","IND",670,NA,NA,1
"Nagaland",1964,24,"SHRI TEKASOSANG","M","IND",644,NA,NA,2
"Nagaland",1964,25,"SHRI IMSUMEREN","M","IND",1788,NA,NA,1
"Nagaland",1964,25,"SHRI KARIBA AO.","M","IND",242,NA,NA,2
"Nagaland",1964,26,"SHRI TAJEN","M","IND",1753,NA,NA,1
"Nagaland",1964,26,"SHRI I. CHUBATEMSU","M","IND",246,NA,NA,2
"Nagaland",1964,27,"SHRI P. SHILU AO.","M","IND",0,NA,NA,1
"Nagaland",1964,28,"SHRI R. LESEN","M","IND",1867,NA,NA,1
"Nagaland",1964,28,"SHRI IMTITOSHI LANU","M","IND",439,NA,NA,2
"Nagaland",1964,29,"SHRI ZULUTEMBA (UNCONTESTED)","M","IND",0,NA,NA,1
"Nagaland",1964,30,"SHRI HOKISHE SEMA (UNCONTESTED)","M","IND",0,NA,NA,1
"Nagaland",1964,31,"SHRI KIYEKHU SHIKHU","M","IND",0,NA,NA,1
"Nagaland",1964,32,"SHRI NIHOVI AVEMI","M","IND",0,NA,NA,1
"Nagaland",1964,33,"SHRI IHEZE","M","IND",0,NA,NA,1
"Nagaland",1964,34,"SHRI KIHOTO","M","IND",1423,NA,NA,1
"Nagaland",1964,34,"SHRI TOKHENO","M","IND",1162,NA,NA,2
"Nagaland",1964,35,"SHRI YESHITO","M","IND",0,NA,NA,1
"Nagaland",1964,36,"SHRI TSANTHUNGO NGULLIE","M","IND",1143,NA,NA,1
"Nagaland",1964,36,"SHRI S. EZUNG","M","IND",1027,NA,NA,2
"Nagaland",1964,36,"SHRI CHUMDEMO EZUNG","M","IND",318,NA,NA,3
"Nagaland",1964,37,"SHRI N.L. ODYO","M","IND",1310,NA,NA,1
"Nagaland",1964,37,"SHRI TSATHEO MURRY","M","IND",1110,NA,NA,2
"Nagaland",1964,38,"SHRI NSEMO OVUNG","M","IND",1412,NA,NA,1
"Nagaland",1964,38,"SHRI MHONDAMO","M","IND",444,NA,NA,2
"Nagaland",1964,39,"SHRI MHODAMO KITHAN","M","IND",1267,NA,NA,1
"Nagaland",1964,39,"SHRI ETSSORHOMO EZUNG","M","IND",924,NA,NA,2
"Nagaland",1964,40,"SHRI TSENLAMO KIKON","M","IND",0,NA,NA,1
"Nagaland",1969,1,"GOBINDA CH . PAIRA","M","NNO",2672,NA,NA,1
"Nagaland",1969,1,"A . KEVICHUSA","M","UFN",1864,NA,NA,2
"Nagaland",1969,2,"DEBALAL MECH","M","NNO",3186,NA,NA,1
"Nagaland",1969,2,"A . KEVICHUSA","M","UFN",706,NA,NA,2
"Nagaland",1969,3,"LANGKAM KUKI","M","NNO",1691,NA,NA,1
"Nagaland",1969,3,"VIKHALTE","M","IND",923,NA,NA,2
"Nagaland",1969,3,"TOLHOPU SEMA","M","UFN",420,NA,NA,3
"Nagaland",1969,3,"S . JAKHA SEMA","M","IND",412,NA,NA,4
"Nagaland",1969,3,"TONGLEN","M","IND",350,NA,NA,5
"Nagaland",1969,3,"YEHOVI SEMA","M","IND",266,NA,NA,6
"Nagaland",1969,4,"N . AZU MEWMAI","M","IND",992,NA,NA,1
"Nagaland",1969,4,"KAIKHOLAL","M","UFN",643,NA,NA,2
