"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Nagaland",4,1,"DIMAPUR-I","GEN","DIMAPUR",NA,"Team3 ELM"
"Nagaland",4,2,"DIMAPUR-II","ST","DIMAPUR",NA,"Team3 ELM"
"Nagaland",4,3,"DIMAPUR-III","ST","DIMAPUR",NA,"Team3 ELM"
"Nagaland",4,4,"GHASPANI-I","ST","DIMAPUR",NA,"Team3 ELM"
"Nagaland",4,5,"GHASPANI-II","ST","DIMAPUR",NA,"Team3 ELM"
"Nagaland",4,6,"TENNING","ST","PEREN",NA,"Team3 ELM"
"Nagaland",4,7,"PEREN","ST","PEREN",NA,"Team3 ELM"
"Nagaland",4,8,"WESTERN ANGAMI","ST","KOHIMA",NA,"Team3 ELM"
"Nagaland",4,9,"KOHIMA TOWN","ST","KOHIMA",NA,"Team3 ELM"
"Nagaland",4,10,"NORTHERN ANGAMI-I","ST","KOHIMA",NA,"Team3 ELM"
"Nagaland",4,11,"NORTHERN ANGAMI-II","ST","KOHIMA",NA,"Team3 ELM"
"Nagaland",4,12,"TSEMINYU","ST","KOHIMA",NA,"Team3 ELM"
"Nagaland",4,13,"PUGHOBOTO","ST","PUGHOBOTO",NA,"Team3 ELM"
"Nagaland",4,14,"SOUTHERN ANGAMI-I","ST","KOHIMA",NA,"Team3 ELM"
"Nagaland",4,15,"SOUTHERN ANGAMI-II","ST","KOHIMA",NA,"Team3 ELM"
"Nagaland",4,16,"PFUTSERO","ST","PHEK",NA,"Team3 ELM"
"Nagaland",4,17,"CHIZAMI","ST","PHEK",NA,"Team3 ELM"
"Nagaland",4,18,"CHAZOUBA","ST","PHEK",NA,"Team3 ELM"
"Nagaland",4,19,"PHEK","ST","PHEK",NA,"Team3 ELM"
"Nagaland",4,20,"MELURI","ST","PHEK",NA,"Team3 ELM"
"Nagaland",4,21,"TULI","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,22,"ARKAKONG","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,23,"IMPUR","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,24,"ANGETYONGPANG","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,25,"MONGOYA","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,26,"AONGLENDEN","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,27,"MOKOKCHUNG TOWN","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,28,"KORIDANG","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,29,"JANGPETKONG","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,30,"ALONGTAKI","ST","MOKOKCHUNG",NA,"Team3 ELM"
"Nagaland",4,31,"AKULUTO","ST","ZUNHEBOTO",NA,"Team3 ELM"
"Nagaland",4,32,"ATOIZU","ST","ZUNHEBOTO",NA,"Team3 ELM"
"Nagaland",4,33,"SURUHOTO","ST","ZUNHEBOTO",NA,"Team3 ELM"
"Nagaland",4,34,"AGHUNATO","ST","ZUNHEBOTO",NA,"Team3 ELM"
"Nagaland",4,35,"ZUNHEBOTO","ST","ZUNHEBOTO",NA,"Team3 ELM"
"Nagaland",4,36,"SATAKHA","ST","ZUNHEBOTO",NA,"Team3 ELM"
"Nagaland",4,37,"TYUI","ST","WOKHA",NA,"Team3 ELM"
"Nagaland",4,38,"WOKHA","ST","WOKHA",NA,"Team3 ELM"
"Nagaland",4,39,"SANIS","ST","WOKHA",NA,"Team3 ELM"
"Nagaland",4,40,"BHANDARI","ST","WOKHA",NA,"Team3 ELM"
"Nagaland",4,41,"TIZIT","ST","MON",NA,"Team3 ELM"
"Nagaland",4,42,"WAKCHING","ST","MON",NA,"Team3 ELM"
"Nagaland",4,43,"TAPI","ST","MON",NA,"Team3 ELM"
"Nagaland",4,44,"PHOMCHING","ST","MON",NA,"Team3 ELM"
"Nagaland",4,45,"TEHOK","ST","MON",NA,"Team3 ELM"
"Nagaland",4,46,"MON TOWN","ST","MON",NA,"Team3 ELM"
"Nagaland",4,47,"ABOI","ST","MON",NA,"Team3 ELM"
"Nagaland",4,48,"MOKA","ST","MON",NA,"Team3 ELM"
"Nagaland",4,49,"TAMLU","ST","LONGLENG",NA,"Team3 ELM"
"Nagaland",4,50,"LONGLENG","ST","LONGLENG",NA,"Team3 ELM"
"Nagaland",4,51,"NOKSEN","ST","TUENSANG",NA,"Team3 ELM"
"Nagaland",4,52,"LONGKHIM CHARE","ST","TUENSANG",NA,"Team3 ELM"
"Nagaland",4,53,"TUENSANG SADAR-I","ST","TUENSANG",NA,"Team3 ELM"
"Nagaland",4,54,"TUENSANG SADAR-II","ST","TUENSANG",NA,"Team3 ELM"
"Nagaland",4,55,"TOBU","ST","MON",NA,"Team3 ELM"
"Nagaland",4,56,"NOKLAK","ST","TUENSANG",NA,"Team3 ELM"
"Nagaland",4,57,"THONOKNYU","ST","TUENSANG",NA,"Team3 ELM"
"Nagaland",4,58,"SHAMATOR CHESSORE","ST","TUENSANG",NA,"Team3 ELM"
"Nagaland",4,59,"SEYOCHUNG SITIMI","ST","KIPHIRE",NA,"Team3 ELM"
"Nagaland",4,60,"PUNGRO KIPHIRE","ST","KIPHIRE",NA,"Team3 ELM"
