"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Odisha",4,1967,2,1,"KARANJIA",28.76,61.9,"ST",56296,7328,4,1,"Male","SWA",10020,"P.K.DAS",45.27,"K.NATH","INC","M",NA
"Odisha",4,1967,2,2,"JASHIPUR",25.62,50.29,"ST",62354,4887,6,1,"Male","SWA",8032,"D.C.NAYAK",30.6,"P.C.NAIK","IND","M",NA
"Odisha",4,1967,2,3,"RAIRANGPUR",40.63,52.54,"ST",70141,7846,4,1,"Male","SWA",14974,"K.C.MAJHI",27.53,"C.SINHA","INC","M",NA
"Odisha",4,1967,2,4,"BAHALDA",32.33,52.74,"ST",64201,6011,3,1,"Male","JAC",10947,"S.SOREN",28.96,"S.HEMRAM","IND","M",NA
"Odisha",4,1967,2,5,"BANGRIPOSI",24.74,47.57,"ST",64635,3078,6,1,"Male","SWA",7608,"R.NAYAK",19.25,"P.K.DAS","INC","M",NA
"Odisha",4,1967,2,6,"BARIPADA",41.45,32.47,"General",74224,1751,7,1,"Male","INC",9990,"S.K.SAHU",5.69,"A.K.DASH","JAC","M",NA
"Odisha",4,1967,2,7,"MURUDA",34.54,29.9,"ST",65409,219,5,1,"Male","PSP",6756,"S.SAREN",0.97,"N.HEMBRAM","INC","M",NA
"Odisha",4,1967,2,8,"BAISINGA",50.58,66.21,"General",60873,11140,3,1,"Male","PSP",20388,"P.K.DASH",36.18,"M.MISRA","INC","M",NA
"Odisha",4,1967,2,9,"KHUNTA",33.69,27.71,"ST",66059,486,7,1,"Male","PSP",6166,"H.HASDA",2.18,"G.N.SAREN","INC","M",NA
"Odisha",4,1967,2,10,"UDALA",28.12,43.78,"ST",56631,3063,4,1,"Male","JAC",6970,"M.TUDU",19.24,"J.MAJHI","INC","M",NA
"Odisha",4,1967,2,11,"BHOGRAI",57.69,51.39,"General",72845,6493,4,1,"Male","PSP",21598,"P.M.DAS",15.45,"D.S.DAS","INC","M",NA
"Odisha",4,1967,2,12,"JALESWAR",52.08,67.02,"General",68988,12228,2,1,"Male","PSP",24080,"P.K.PAUL",34.03,"J.C.JENA","INC","M",NA
"Odisha",4,1967,2,13,"BASTA",56.29,50.37,"General",64819,5065,4,1,"Male","INC",18378,"C.JENA",13.88,"M.BAUG","PSP","M",NA
"Odisha",4,1967,2,14,"BALASORE",54,60.58,"General",62500,11063,3,1,"Male","PSP",20447,"R.M.DAS",32.78,"S.S.MOHAPATRA","INC","M",NA
"Odisha",4,1967,2,15,"NILGIRI",53.92,46.89,"General",72924,6521,3,1,"Male","CPM",18438,"B.DAS",16.58,"R.C.M.HARICHAADAN","INC","M",NA
"Odisha",4,1967,2,16,"SORO",46.13,45.95,"General",75145,5680,4,1,"Male","SWA",15931,"H.MOHAPATRA",16.38,"J.D.MOHAPATRA","INC","M",NA
"Odisha",4,1967,2,17,"SIMULIA",44.89,53.8,"SC",81092,5787,3,1,"Male","PSP",19585,"U.C.JENA",15.9,"K.C.SETHI","SWA","M",NA
"Odisha",4,1967,2,18,"BHADRAK",50.53,72.24,"General",73085,20854,4,1,"Male","JAC",26680,"N.MOHAPATRA",56.47,"R.MOHANTY","INC","M",NA
"Odisha",4,1967,2,19,"DHAMNAGAR",59.1,77.3,"General",88425,32225,4,1,"Female","JAC",40397,"S.DEI",61.66,"H.MALLICK","INC","M",NA
"Odisha",4,1967,2,20,"CHANDBALI",55.92,58.58,"SC",74695,17191,5,1,"Male","JAC",24467,"M.DAS",41.16,"B.C.JENA","INC","M",NA
"Odisha",4,1967,2,21,"BASUDEBPUR",63.36,69.73,"General",82191,20544,2,1,"Male","JAC",36309,"H.MAHATAB",39.45,"N.ROUTROY","INC","M",NA
"Odisha",4,1967,2,22,"SUKINDA",41.77,47.01,"General",66226,8730,7,1,"Female","JAC",13005,"A.M.DEBI",31.56,"N.C.PATI","INC","M",NA
"Odisha",4,1967,2,23,"DHARAMSALA",50.71,38.26,"General",76266,8027,8,1,"Male","PSP",14798,"P.MOHANTY",20.75,"C.NAYAK","INC","M",NA
"Odisha",4,1967,2,24,"BARCHANA",58.29,43.83,"General",76865,4591,4,1,"Male","PSP",19636,"J.DAS",10.25,"M.SAMAL","INC","M",NA
"Odisha",4,1967,2,25,"BINIJHARPUR",49.65,65.41,"SC",77077,11793,2,1,"Male","PSP",25030,"B.C.MULLICK",30.82,"N.MULLICK","INC","M",NA
"Odisha",4,1967,2,26,"JAJPUR WEST",44.36,41.6,"General",75914,3239,5,1,"Male","JAC",14008,"P.C.GHADEI",9.62,"B.N.S.N.MOHPETRA","IND","M",NA
"Odisha",4,1967,2,27,"JAJPUR EAST",42.29,65.21,"SC",77212,9931,2,1,"Male","JAC",21293,"S.K.DAS",30.41,"J.MALLIK","INC","M",NA
"Odisha",4,1967,2,28,"AUL",56.99,35.74,"General",73890,419,3,1,"Male","INC",15049,"D.N.SARMA",0.99,"J.MISRA","IND","M",NA
"Odisha",4,1967,2,29,"PATAMUNDAI",57.91,57.9,"SC",80302,8119,3,1,"Male","PSP",26924,"B.MALIK",17.46,"P.MALIK","INC","M",NA
"Odisha",4,1967,2,30,"RAJNAGAR",58.28,41.86,"General",76820,8754,6,1,"Male","IND",18739,"R.S.N.B.DEO",19.55,"D.C.ROUT","PSP","M",NA
"Odisha",4,1967,2,31,"KENDRAPARA",61.68,64.67,"General",82069,17172,3,1,"Female","PSP",32735,"S.K.KAWUGO",33.92,"D.SAHU","INC","M",NA
"Odisha",4,1967,2,32,"PATKURA",60.19,60.73,"General",86754,15022,4,1,"Male","PSP",31712,"C.SATAPATHI",28.77,"B.PATNAIK","INC","M",NA
"Odisha",4,1967,2,33,"TIRTOL",60.88,58.89,"General",73578,8399,3,1,"Male","PSP",26379,"N.KHUNTIA",18.75,"P.C.MOHANTY","INC","M",NA
"Odisha",4,1967,2,34,"ERSAMA",62.11,44.2,"General",79815,3868,4,1,"Male","CPI",21909,"L.CHOWDHURY",7.8,"R.JEMA","INC","F",NA
"Odisha",4,1967,2,35,"BALIKUDA",47.69,50.22,"General",85191,9130,4,1,"Male","PSP",20401,"B.MOHANTY",22.47,"N.MOHANTY","INC","M",NA
"Odisha",4,1967,2,36,"JAGATSINGHPUR",44.16,59.76,"SC",84582,14082,3,1,"Male","PSP",22320,"K.C.MALLIU",37.7,"H.MALLIU","INC","M",NA
"Odisha",4,1967,2,37,"GOBINDPUR",45.72,43.53,"General",72338,7156,6,1,"Male","JAC",14398,"M.KANUNGO",21.64,"T.KAMARINGO","INC","M",NA
"Odisha",4,1967,2,38,"SALEPUR",48.43,61.04,"General",82420,11829,3,1,"Male","JAC",24363,"S.PATTANIAK",29.63,"R.K.BOSE","INC","M",NA
"Odisha",4,1967,2,39,"MAHANGA",53.56,64.88,"General",80419,14209,3,1,"Male","PSP",27943,"B.ROY",32.99,"S.KAR","INC","M",NA
"Odisha",4,1967,2,40,"CHAUDWAR",49.3,40.65,"General",83370,5308,9,1,"Male","PSP",16706,"A.BEHEVA",12.91,"B.DUTTA","INC","F",NA
"Odisha",4,1967,2,41,"CUTTACK CITY",52.04,41.42,"General",72033,4923,6,1,"Male","INC",15525,"B.MITRA",13.13,"S.SAHA","IND","M",NA
"Odisha",4,1967,2,42,"CUTTACK SADAR",40.89,40.77,"SC",79118,1208,3,1,"Male","JAC",13188,"S.GENA",3.73,"L.MALIK","INC","M",NA
"Odisha",4,1967,2,43,"BANKI",54.43,47.77,"General",70789,4582,3,1,"Male","IND",18407,"J.C.RAUT",11.89,"C.BANARJEE","INC","F",NA
"Odisha",4,1967,2,44,"ATHGARH",51.33,31.01,"General",63224,741,6,1,"Male","JAC",10063,"P.PRADHAN",2.28,"R.DEVI","SWA","F",NA
"Odisha",4,1967,2,45,"BARAMBA",50.88,40.29,"General",78146,5185,7,1,"Male","JAC",16018,"P.PATTANAIK",13.04,"B.NAYAK","INC","M",NA
"Odisha",4,1967,2,46,"BHUBANESWAR",54.34,70.9,"General",83244,18907,2,1,"Male","JAC",32069,"H.MAHTAB",41.8,"S.MOHANTY","INC","M",NA
"Odisha",4,1967,2,47,"BALIPATNA",32.48,35.48,"SC",75935,1840,4,1,"Male","JAC",8752,"H.BHOI",7.46,"S.BHOI","SWA","M",NA
"Odisha",4,1967,2,48,"PIPLI",43.29,53.87,"General",75030,10454,4,1,"Male","JAC",17497,"B.PATTANIAK",32.19,"R.C.PATTANIAK","INC","M",NA
