"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Odisha",1967,1,"KARANJIA","ST","P.K.DAS","SWA",10020,1,61.9
"Odisha",1967,1,"KARANJIA","ST","K.NATH","INC",2692,2,16.63
"Odisha",1967,1,"KARANJIA","ST","S.C.SUNDHI","JAC",2217,3,13.7
"Odisha",1967,1,"KARANJIA","ST","R.JERAI","IND",1259,4,7.78
"Odisha",1967,2,"JASHIPUR","ST","D.C.NAYAK","SWA",8032,1,50.29
"Odisha",1967,2,"JASHIPUR","ST","P.C.NAIK","IND",3145,2,19.69
"Odisha",1967,2,"JASHIPUR","ST","M.TRIYA","INC",2211,3,13.84
"Odisha",1967,2,"JASHIPUR","ST","B.BHADRA","IND",1113,4,6.97
"Odisha",1967,2,"JASHIPUR","ST","L.BANRA","IND",911,5,5.7
"Odisha",1967,2,"JASHIPUR","ST","K.HEMBRAM","IND",560,6,3.51
"Odisha",1967,3,"RAIRANGPUR","ST","K.C.MAJHI","SWA",14974,1,52.54
"Odisha",1967,3,"RAIRANGPUR","ST","C.SINHA","INC",7128,2,25.01
"Odisha",1967,3,"RAIRANGPUR","ST","S.MURMU","IND",4452,3,15.62
"Odisha",1967,3,"RAIRANGPUR","ST","G.MURMU","IND",1945,4,6.82
"Odisha",1967,4,"BAHALDA","ST","S.SOREN","JAC",10947,1,52.74
"Odisha",1967,4,"BAHALDA","ST","S.HEMRAM","IND",4936,2,23.78
"Odisha",1967,4,"BAHALDA","ST","R.C.MAHJI","INC",4872,3,23.47
"Odisha",1967,5,"BANGRIPOSI","ST","R.NAYAK","SWA",7608,1,47.57
"Odisha",1967,5,"BANGRIPOSI","ST","P.K.DAS","INC",4530,2,28.33
"Odisha",1967,5,"BANGRIPOSI","ST","M.MAJHI","IND",1186,3,7.42
"Odisha",1967,5,"BANGRIPOSI","ST","G.MAJHI","IND",1180,4,7.38
"Odisha",1967,5,"BANGRIPOSI","ST","S.MARANDI","IND",980,5,6.13
"Odisha",1967,5,"BANGRIPOSI","ST","G.NAYAK","IND",508,6,3.18
"Odisha",1967,6,"BARIPADA","GEN","S.K.SAHU","INC",9990,1,32.47
"Odisha",1967,6,"BARIPADA","GEN","A.K.DASH","JAC",8239,2,26.78
"Odisha",1967,6,"BARIPADA","GEN","H.MOHANTY","PSP",4849,3,15.76
"Odisha",1967,6,"BARIPADA","GEN","H.DAS","CPI",2434,4,7.91
"Odisha",1967,6,"BARIPADA","GEN","L.N.C.B.DEO","SWA",2289,5,7.44
"Odisha",1967,6,"BARIPADA","GEN","B.P.GUPTA","IND",1673,6,5.44
"Odisha",1967,6,"BARIPADA","GEN","S.DAS","IND",1289,7,4.19
"Odisha",1967,7,"MURUDA","ST","S.SAREN","PSP",6756,1,29.9
"Odisha",1967,7,"MURUDA","ST","N.HEMBRAM","INC",6537,2,28.93
"Odisha",1967,7,"MURUDA","ST","K.MAJHI","SWA",6290,3,27.84
"Odisha",1967,7,"MURUDA","ST","R.MAJHI","IND",1744,4,7.72
"Odisha",1967,7,"MURUDA","ST","G.MAJHI","IND",1267,5,5.61
"Odisha",1967,8,"BAISINGA","GEN","P.K.DASH","PSP",20388,1,66.21
