"state","year","month","party","seats"
"Odisha",1967,2,"INC","22.14"
"Odisha",1971,2,"INC","36.43"
"Odisha",1974,2,"INC","47.26"
"Odisha",1977,2,"INC","17.69"
"Odisha",1985,2,"INC","79.59"
"Odisha",1990,2,"INC","6.8"
"Odisha",1995,2,"INC","54.42"
"Odisha",2000,2,"INC","17.69"
"Odisha",2004,2,"INC","25.85"
"Odisha",2009,2,"INC","15.65"
"Odisha",2014,2,"INC","10.88"
"Odisha",1967,2,"PSP","15"
"Odisha",1971,2,"PSP","2.86"
"Odisha",1967,2,"JAC","18.57"
"Odisha",1971,2,"JAC","0.71"
"Odisha",1974,2,"JAC","0.68"
"Odisha",1967,2,"SWA","35"
"Odisha",1971,2,"SWA","25.71"
"Odisha",1974,2,"SWA","14.38"
"Odisha",1967,2,"CPI","5"
"Odisha",1971,2,"CPI","2.86"
"Odisha",1974,2,"CPI","4.79"
"Odisha",1977,2,"CPI","0.68"
"Odisha",1980,2,"CPI","2.72"
"Odisha",1985,2,"CPI","0.68"
"Odisha",1990,2,"CPI","3.4"
"Odisha",1995,2,"CPI","0.68"
"Odisha",2000,2,"CPI","0.68"
"Odisha",2004,2,"CPI","0.68"
"Odisha",2009,2,"CPI","0.87"
"Odisha",2014,2,"CPI","0"
"Odisha",1971,2,"UTC","23.57"
"Odisha",1974,2,"UTC","23.97"
"Odisha",1967,2,"IND","2.14"
"Odisha",1971,2,"IND","2.86"
"Odisha",1974,2,"IND","4.79"
"Odisha",1977,2,"IND","6.12"
"Odisha",1980,2,"IND","4.76"
"Odisha",1985,2,"IND","4.76"
"Odisha",1990,2,"IND","4.08"
"Odisha",1995,2,"IND","4.08"
"Odisha",2000,2,"IND","5.44"
"Odisha",2004,2,"IND","5.44"
"Odisha",2009,2,"IND","4.35"
"Odisha",2014,2,"IND","1.36"
"Odisha",1971,2,"JKP","2.86"
"Odisha",1974,2,"JKP","0"
"Odisha",1977,2,"JKP","0"
"Odisha",1990,2,"JKP","0"
"Odisha",1995,2,"JKP","0"
"Odisha",2000,2,"JKP","0"
"Odisha",2004,2,"JKP","0"
"Odisha",2009,2,"JKP","0"
"Odisha",1967,2,"CPM","0.71"
"Odisha",1971,2,"CPM","1.43"
"Odisha",1974,2,"CPM","2.05"
"Odisha",1977,2,"CPM","0.68"
"Odisha",1980,2,"CPM","0"
"Odisha",1985,2,"CPM","0"
"Odisha",1990,2,"CPM","0.68"
"Odisha",1995,2,"CPM","0"
"Odisha",2000,2,"CPM","0.68"
"Odisha",2004,2,"CPM","0.68"
"Odisha",2009,2,"CPM","0"
"Odisha",2014,2,"CPM","0.68"
"Odisha",1977,2,"JNP","74.83"
"Odisha",1985,2,"JNP","14.29"
"Odisha",1980,2,"JNP(SC)","8.84"
"Odisha",1980,2,"INC(I)","80.27"
"Odisha",1980,2,"JNP(JP)","2.04"
"Odisha",1990,2,"JNP(JP)","0"
"Odisha",1980,2,"BJP","0"
"Odisha",1985,2,"BJP","0.68"
"Odisha",1990,2,"BJP","1.36"
"Odisha",1995,2,"BJP","6.12"
"Odisha",2000,2,"BJP","25.85"
"Odisha",2004,2,"BJP","21.77"
"Odisha",2009,2,"BJP","1.74"
"Odisha",2014,2,"BJP","6.8"
"Odisha",1990,2,"JD","83.67"
"Odisha",1995,2,"JD","31.29"
"Odisha",1985,2,"JMM","0"
"Odisha",1990,2,"JMM","0"
"Odisha",1995,2,"JMM","2.72"
"Odisha",2000,2,"JMM","2.04"
"Odisha",2004,2,"JMM","2.72"
"Odisha",2009,2,"JMM","0"
"Odisha",2014,2,"JMM","0"
"Odisha",2000,2,"BJD","46.26"
"Odisha",2004,2,"BJD","41.5"
"Odisha",2009,2,"BJD","71.3"
"Odisha",2014,2,"BJD","79.59"
"Odisha",2000,2,"NCP","0"
"Odisha",2009,2,"NCP","3.48"
"Odisha",2014,2,"NCP","0"
