"state","year","month","party","votes"
"Odisha",1967,2,"PSP","12.26"
"Odisha",1971,2,"PSP","6.08"
"Odisha",1967,2,"INC","30.66"
"Odisha",1971,2,"INC","28.18"
"Odisha",1974,2,"INC","37.44"
"Odisha",1977,2,"INC","31.02"
"Odisha",1985,2,"INC","51.08"
"Odisha",1990,2,"INC","29.78"
"Odisha",1995,2,"INC","39.08"
"Odisha",2000,2,"INC","33.78"
"Odisha",2004,2,"INC","34.82"
"Odisha",2009,2,"INC","29.45"
"Odisha",2014,2,"INC","25.71"
"Odisha",1967,2,"CPI","5.26"
"Odisha",1971,2,"CPI","4.79"
"Odisha",1974,2,"CPI","4.87"
"Odisha",1977,2,"CPI","3.57"
"Odisha",1980,2,"CPI","5.09"
"Odisha",1985,2,"CPI","3.31"
"Odisha",1990,2,"CPI","2.98"
"Odisha",1995,2,"CPI","1.71"
"Odisha",2000,2,"CPI","1.22"
"Odisha",2004,2,"CPI","0.77"
"Odisha",2009,2,"CPI","0.54"
"Odisha",2014,2,"CPI","0.51"
"Odisha",1967,2,"IND","12.55"
"Odisha",1971,2,"IND","7.55"
"Odisha",1974,2,"IND","13.06"
"Odisha",1977,2,"IND","14.37"
"Odisha",1980,2,"IND","11.88"
"Odisha",1985,2,"IND","10.5"
"Odisha",1990,2,"IND","7.36"
"Odisha",1995,2,"IND","10.5"
"Odisha",2000,2,"IND","10.66"
"Odisha",2004,2,"IND","12.2"
"Odisha",2009,2,"IND","8.58"
"Odisha",2014,2,"IND","5.04"
"Odisha",1967,2,"JAC","13.47"
"Odisha",1971,2,"JAC","5.16"
"Odisha",1974,2,"JAC","1.17"
"Odisha",1967,2,"SWA","22.58"
"Odisha",1971,2,"SWA","17.44"
"Odisha",1974,2,"SWA","12.08"
"Odisha",1971,2,"UTC","23.99"
"Odisha",1974,2,"UTC","26.45"
"Odisha",1971,2,"SOP","1.21"
"Odisha",1974,2,"SOP","1.77"
"Odisha",1967,2,"CPM","1.16"
"Odisha",1971,2,"CPM","1.2"
"Odisha",1974,2,"CPM","1.18"
"Odisha",1977,2,"CPM","0.88"
"Odisha",1980,2,"CPM","2.01"
"Odisha",1985,2,"CPM","1.14"
"Odisha",1990,2,"CPM","0.84"
"Odisha",1995,2,"CPM","0.66"
"Odisha",2000,2,"CPM","0.77"
"Odisha",2004,2,"CPM","0.55"
"Odisha",2009,2,"CPM","0.46"
"Odisha",2014,2,"CPM","0.37"
"Odisha",1977,2,"JNP","49.17"
"Odisha",1985,2,"JNP","30.61"
"Odisha",1974,2,"JKD","0.6"
"Odisha",1977,2,"JKD","0.49"
"Odisha",1980,2,"JKD","0.55"
"Odisha",1985,2,"JKD","0.28"
"Odisha",1990,2,"JKD","0.03"
"Odisha",1980,2,"JNP(SC)","19.49"
"Odisha",1980,2,"INC(U)","7.03"
"Odisha",1980,2,"INC(I)","47.78"
"Odisha",1980,2,"JNP(JP)","4.14"
"Odisha",1990,2,"JNP(JP)","0.84"
"Odisha",1980,2,"BJP","1.36"
"Odisha",1985,2,"BJP","2.6"
"Odisha",1990,2,"BJP","3.56"
"Odisha",1995,2,"BJP","7.88"
"Odisha",2000,2,"BJP","18.2"
"Odisha",2004,2,"BJP","17.11"
"Odisha",2009,2,"BJP","14.64"
"Odisha",2014,2,"BJP","17.99"
"Odisha",1990,2,"JD","53.69"
"Odisha",1995,2,"JD","35.42"
"Odisha",1985,2,"JMM","0.02"
"Odisha",1990,2,"JMM","0.33"
"Odisha",1995,2,"JMM","1.94"
"Odisha",2000,2,"JMM","2.14"
"Odisha",2004,2,"JMM","1.78"
"Odisha",2009,2,"JMM","1.31"
"Odisha",2014,2,"JMM","1.03"
"Odisha",2000,2,"BJD","29.4"
"Odisha",2004,2,"BJD","27.36"
"Odisha",2009,2,"BJD","39.09"
"Odisha",2014,2,"BJD","43.35"
"Odisha",1990,2,"BSP","0.27"
"Odisha",1995,2,"BSP","0.5"
"Odisha",2000,2,"BSP","1.15"
"Odisha",2004,2,"BSP","1.93"
"Odisha",2009,2,"BSP","1.57"
"Odisha",2014,2,"BSP","0.86"
"Odisha",2000,2,"NCP","0.25"
"Odisha",2009,2,"NCP","1.42"
"Odisha",2014,2,"NCP","0.04"
"Odisha",2014,2,"NOTA","1.26"
