"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Odisha",1967,2,4,2,1,1,"P.K.DAS","M","SWA",10020,NA,NA,16188,56296,"KARANJIA","ST",NA,NA,4,28.76,61.9,"no",7328,45.27,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,1,2,"K.NATH","M","INC",2692,NA,NA,16188,56296,"KARANJIA","ST",NA,NA,4,28.76,16.63,"no",475,2.93,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,1,3,"S.C.SUNDHI","M","JAC",2217,NA,NA,16188,56296,"KARANJIA","ST",NA,NA,4,28.76,13.7,"no",958,5.92,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,1,4,"R.JERAI","M","IND",1259,NA,NA,16188,56296,"KARANJIA","ST",NA,NA,4,28.76,7.78,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,2,1,"D.C.NAYAK","M","SWA",8032,NA,NA,15972,62354,"JASHIPUR","ST",NA,NA,6,25.62,50.29,"no",4887,30.6,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,2,2,"P.C.NAIK","M","IND",3145,NA,NA,15972,62354,"JASHIPUR","ST",NA,NA,6,25.62,19.69,"no",934,5.85,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,2,3,"M.TRIYA","M","INC",2211,NA,NA,15972,62354,"JASHIPUR","ST",NA,NA,6,25.62,13.84,"no",1098,6.87,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,2,4,"B.BHADRA","M","IND",1113,NA,NA,15972,62354,"JASHIPUR","ST",NA,NA,6,25.62,6.97,"no",202,1.26,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,2,5,"L.BANRA","M","IND",911,NA,NA,15972,62354,"JASHIPUR","ST",NA,NA,6,25.62,5.7,"no",351,2.2,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,2,6,"K.HEMBRAM","M","IND",560,NA,NA,15972,62354,"JASHIPUR","ST",NA,NA,6,25.62,3.51,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,3,1,"K.C.MAJHI","M","SWA",14974,NA,NA,28499,70141,"RAIRANGPUR","ST",NA,NA,4,40.63,52.54,"no",7846,27.53,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,3,2,"C.SINHA","M","INC",7128,NA,NA,28499,70141,"RAIRANGPUR","ST",NA,NA,4,40.63,25.01,"no",2676,9.39,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,3,3,"S.MURMU","M","IND",4452,NA,NA,28499,70141,"RAIRANGPUR","ST",NA,NA,4,40.63,15.62,"no",2507,8.8,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,3,4,"G.MURMU","M","IND",1945,NA,NA,28499,70141,"RAIRANGPUR","ST",NA,NA,4,40.63,6.82,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,4,1,"S.SOREN","M","JAC",10947,NA,NA,20755,64201,"BAHALDA","ST",NA,NA,3,32.33,52.74,"no",6011,28.96,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,4,2,"S.HEMRAM","M","IND",4936,NA,NA,20755,64201,"BAHALDA","ST",NA,NA,3,32.33,23.78,"no",64,0.31,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,4,3,"R.C.MAHJI","M","INC",4872,NA,NA,20755,64201,"BAHALDA","ST",NA,NA,3,32.33,23.47,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,5,1,"R.NAYAK","M","SWA",7608,NA,NA,15992,64635,"BANGRIPOSI","ST",NA,NA,6,24.74,47.57,"no",3078,19.25,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,5,2,"P.K.DAS","M","INC",4530,NA,NA,15992,64635,"BANGRIPOSI","ST",NA,NA,6,24.74,28.33,"no",3344,20.91,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,5,3,"M.MAJHI","M","IND",1186,NA,NA,15992,64635,"BANGRIPOSI","ST",NA,NA,6,24.74,7.42,"no",6,0.04,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,5,4,"G.MAJHI","M","IND",1180,NA,NA,15992,64635,"BANGRIPOSI","ST",NA,NA,6,24.74,7.38,"no",200,1.25,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,5,5,"S.MARANDI","M","IND",980,NA,NA,15992,64635,"BANGRIPOSI","ST",NA,NA,6,24.74,6.13,"no",472,2.95,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,5,6,"G.NAYAK","M","IND",508,NA,NA,15992,64635,"BANGRIPOSI","ST",NA,NA,6,24.74,3.18,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,6,1,"S.K.SAHU","M","INC",9990,NA,NA,30763,74224,"BARIPADA","GEN",NA,NA,7,41.45,32.47,"no",1751,5.69,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,6,2,"A.K.DASH","M","JAC",8239,NA,NA,30763,74224,"BARIPADA","GEN",NA,NA,7,41.45,26.78,"no",3390,11.02,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,6,3,"H.MOHANTY","M","PSP",4849,NA,NA,30763,74224,"BARIPADA","GEN",NA,NA,7,41.45,15.76,"no",2415,7.85,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,6,4,"H.DAS","M","CPI",2434,NA,NA,30763,74224,"BARIPADA","GEN",NA,NA,7,41.45,7.91,"no",145,0.47,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,6,5,"L.N.C.B.DEO","M","SWA",2289,NA,NA,30763,74224,"BARIPADA","GEN",NA,NA,7,41.45,7.44,"no",616,2,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,6,6,"B.P.GUPTA","M","IND",1673,NA,NA,30763,74224,"BARIPADA","GEN",NA,NA,7,41.45,5.44,"no",384,1.25,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,6,7,"S.DAS","M","IND",1289,NA,NA,30763,74224,"BARIPADA","GEN",NA,NA,7,41.45,4.19,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,7,1,"S.SAREN","M","PSP",6756,NA,NA,22594,65409,"MURUDA","ST",NA,NA,5,34.54,29.9,"no",219,0.97,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,7,2,"N.HEMBRAM","M","INC",6537,NA,NA,22594,65409,"MURUDA","ST",NA,NA,5,34.54,28.93,"no",247,1.09,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,7,3,"K.MAJHI","M","SWA",6290,NA,NA,22594,65409,"MURUDA","ST",NA,NA,5,34.54,27.84,"no",4546,20.12,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,7,4,"R.MAJHI","M","IND",1744,NA,NA,22594,65409,"MURUDA","ST",NA,NA,5,34.54,7.72,"no",477,2.11,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,7,5,"G.MAJHI","M","IND",1267,NA,NA,22594,65409,"MURUDA","ST",NA,NA,5,34.54,5.61,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,8,1,"P.K.DASH","M","PSP",20388,NA,NA,30792,60873,"BAISINGA","GEN",NA,NA,3,50.58,66.21,"no",11140,36.18,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,8,2,"M.MISRA","M","INC",9248,NA,NA,30792,60873,"BAISINGA","GEN",NA,NA,3,50.58,30.03,"no",8092,26.28,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,8,3,"P.DAS","M","IND",1156,NA,NA,30792,60873,"BAISINGA","GEN",NA,NA,3,50.58,3.75,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,9,1,"H.HASDA","M","PSP",6166,NA,NA,22254,66059,"KHUNTA","ST",NA,NA,7,33.69,27.71,"no",486,2.18,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,9,2,"G.N.SAREN","M","INC",5680,NA,NA,22254,66059,"KHUNTA","ST",NA,NA,7,33.69,25.52,"no",915,4.11,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,9,3,"S.C.SAREN","M","SWA",4765,NA,NA,22254,66059,"KHUNTA","ST",NA,NA,7,33.69,21.41,"no",2524,11.34,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,9,4,"R.SINHA","M","IND",2241,NA,NA,22254,66059,"KHUNTA","ST",NA,NA,7,33.69,10.07,"no",863,3.88,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,9,5,"R.BESHRA","M","IND",1378,NA,NA,22254,66059,"KHUNTA","ST",NA,NA,7,33.69,6.19,"no",203,0.91,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,9,6,"M.C.NAIK","M","IND",1175,NA,NA,22254,66059,"KHUNTA","ST",NA,NA,7,33.69,5.28,"no",326,1.46,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,9,7,"S.SING","M","IND",849,NA,NA,22254,66059,"KHUNTA","ST",NA,NA,7,33.69,3.82,"no",0,0,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,10,1,"M.TUDU","M","JAC",6970,NA,NA,15922,56631,"UDALA","ST",NA,NA,4,28.12,43.78,"no",3063,19.24,NA,NA,NA,NA,NA
"Odisha",1967,2,4,2,10,2,"J.MAJHI","M","INC",3907,NA,NA,15922,56631,"UDALA","ST",NA,NA,4,28.12,24.54,"no",1329,8.35,NA,NA,NA,NA,NA
