"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Odisha",1967,1,1,"KARANJIA","P.K.DAS",NA,NA,NA,NA,NA,NA
"Odisha",1967,1,2,"KARANJIA","K.NATH",NA,NA,NA,NA,NA,NA
"Odisha",1967,1,3,"KARANJIA","S.C.SUNDHI",NA,NA,NA,NA,NA,NA
"Odisha",1967,1,4,"KARANJIA","R.JERAI",NA,NA,NA,NA,NA,NA
"Odisha",1967,2,1,"JASHIPUR","D.C.NAYAK",NA,NA,NA,NA,NA,NA
"Odisha",1967,2,2,"JASHIPUR","P.C.NAIK",NA,NA,NA,NA,NA,NA
"Odisha",1967,2,3,"JASHIPUR","M.TRIYA",NA,NA,NA,NA,NA,NA
"Odisha",1967,2,4,"JASHIPUR","B.BHADRA",NA,NA,NA,NA,NA,NA
"Odisha",1967,2,5,"JASHIPUR","L.BANRA",NA,NA,NA,NA,NA,NA
"Odisha",1967,2,6,"JASHIPUR","K.HEMBRAM",NA,NA,NA,NA,NA,NA
"Odisha",1967,3,1,"RAIRANGPUR","K.C.MAJHI",NA,NA,NA,NA,NA,NA
"Odisha",1967,3,2,"RAIRANGPUR","C.SINHA",NA,NA,NA,NA,NA,NA
"Odisha",1967,3,3,"RAIRANGPUR","S.MURMU",NA,NA,NA,NA,NA,NA
"Odisha",1967,3,4,"RAIRANGPUR","G.MURMU",NA,NA,NA,NA,NA,NA
"Odisha",1967,4,1,"BAHALDA","S.SOREN",NA,NA,NA,NA,NA,NA
"Odisha",1967,4,2,"BAHALDA","S.HEMRAM",NA,NA,NA,NA,NA,NA
"Odisha",1967,4,3,"BAHALDA","R.C.MAHJI",NA,NA,NA,NA,NA,NA
"Odisha",1967,5,1,"BANGRIPOSI","R.NAYAK",NA,NA,NA,NA,NA,NA
"Odisha",1967,5,2,"BANGRIPOSI","P.K.DAS",NA,NA,NA,NA,NA,NA
"Odisha",1967,5,3,"BANGRIPOSI","M.MAJHI",NA,NA,NA,NA,NA,NA
"Odisha",1967,5,4,"BANGRIPOSI","G.MAJHI",NA,NA,NA,NA,NA,NA
"Odisha",1967,5,5,"BANGRIPOSI","S.MARANDI",NA,NA,NA,NA,NA,NA
"Odisha",1967,5,6,"BANGRIPOSI","G.NAYAK",NA,NA,NA,NA,NA,NA
"Odisha",1967,6,1,"BARIPADA","S.K.SAHU",NA,NA,NA,NA,NA,NA
"Odisha",1967,6,2,"BARIPADA","A.K.DASH",NA,NA,NA,NA,NA,NA
