"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Odisha",1961,1,"TRIPATHY SADASIVA","M","INC",7007,NA,NA,1
"Odisha",1961,1,"ABDUL RAHIMAN KHAN","M","GP",6876,NA,NA,2
"Odisha",1961,2,"TRIPATHY JAGANNATH","M","INC",7850,NA,NA,1
"Odisha",1961,2,"SAHU KASIVISWANATH","M","GP",5946,NA,NA,2
"Odisha",1961,3,"HARIJAN MIRU","M","INC",6034,NA,NA,1
"Odisha",1961,3,"NAIK CHONDROSEKHAR DENAI","M","GP",5749,NA,NA,2
"Odisha",1961,4,"PATNAIK RAGHUNATH","M","INC",6530,NA,NA,1
"Odisha",1961,4,"BAXIPATRA HARISHCHANDRA","M","CPI",2635,NA,NA,2
"Odisha",1961,4,"MISRA HARIHAR","M","GP",2327,NA,NA,3
"Odisha",1961,4,"NAYAK RAGHUNATH","M","IND",380,NA,NA,4
"Odisha",1961,4,"DAMBO KULODHORO","M","IND",134,NA,NA,5
"Odisha",1961,5,"BAKRIA MAHADEBO","M","INC",8160,NA,NA,1
"Odisha",1961,5,"NAYAK LAICHAN","M","GP",3147,NA,NA,2
"Odisha",1961,5,"MIRGAN JHITURU","M","CPI",1304,NA,NA,3
"Odisha",1961,5,"BISSAYI GORA","M","IND",629,NA,NA,4
"Odisha",1961,6,"NAYAK GURU","M","GP",6230,NA,NA,1
"Odisha",1961,6,"BURUDA JAGONATH","M","INC",4306,NA,NA,2
"Odisha",1961,7,"MAHAPATRA GANESWAR","M","INC",3434,NA,NA,1
"Odisha",1961,7,"GOUDO LAXMAN","M","GP",2819,NA,NA,2
"Odisha",1961,7,"NAYAK SADASIBO","M","IND",1672,NA,NA,3
"Odisha",1961,8,"TOYAKA SANGANNA","M","INC",5011,NA,NA,1
"Odisha",1961,8,"PUJARI LACHMAN","M","GP",4287,NA,NA,2
"Odisha",1961,9,"PANGI MUSURI SANTA","M","INC",4204,NA,NA,1
"Odisha",1961,9,"BOINA, ALLAYA","M","GP",4127,NA,NA,2
"Odisha",1961,10,"MANDANGI KAMAYYA","M","INC",5592,NA,NA,1
"Odisha",1961,10,"ULLAKA SYAMOGHONO","M","GP",3834,NA,NA,2
"Odisha",1961,11,"PATRO NARASINGO","M","INC",9323,NA,NA,1
"Odisha",1961,11,"SOHU NABINCHANDRO","M","GP",3338,NA,NA,2
"Odisha",1961,11,"PATNAIK SOMONATH","M","CPI",2888,NA,NA,3
"Odisha",1961,11,"GAMANGO SANYA","M","IND",2109,NA,NA,4
"Odisha",1961,12,"CHOWDHARY BISWANATH","M","GP",6643,NA,NA,1
"Odisha",1961,12,"PIDIKAKA SANYASICHARNAN","M","INC",4353,NA,NA,2
"Odisha",1961,13,"NALLA KURMANAIKULU","M","INC",12780,NA,NA,1
"Odisha",1961,13,"MISRA JAGANNATH","M","CPI",10463,NA,NA,2
"Odisha",1961,13,"RAJAGURU SATYANARAYANA","M","GP",1723,NA,NA,3
"Odisha",1961,13,"PATNAIK BROJOKISHOR","M","IND",944,NA,NA,4
"Odisha",1961,14,"BHOYA RAMO","M","INC",3235,NA,NA,1
"Odisha",1961,14,"NAIK GOPINATH","M","IND",2522,NA,NA,2
"Odisha",1961,14,"DOLAI BAINA","M","GP",484,NA,NA,3
"Odisha",1961,15,"MAHAPATRA RAGHUNATH","M","INC",15237,NA,NA,1
"Odisha",1961,15,"PRODHAN GOVIND","M","CPI",8749,NA,NA,2
"Odisha",1961,15,"MISRA LAKSHMINARAYAN","M","IND",1417,NA,NA,3
"Odisha",1961,15,"MEKAPS CHANDRASEKHAR","M","GP",688,NA,NA,4
"Odisha",1961,16,"NAIK BISWNATH","M","INC",6001,NA,NA,1
"Odisha",1961,16,"NAIK MOHANTRO","M","IND",4747,NA,NA,2
"Odisha",1961,17,"NARENDRA DEO SISIRKUMAR","M","IND",19810,NA,NA,1
"Odisha",1961,17,"PRATTY SURYANARAYANA MURTY","M","IND",5729,NA,NA,2
"Odisha",1961,17,"PATRO RAGHUNATH","M","INC",4334,NA,NA,3
"Odisha",1961,17,"DAS DANDAPANI","M","IND",1112,NA,NA,4
"Odisha",1961,17,"CHIMALAPATI VAMANAMURTY","M","PSP",489,NA,NA,5
"Odisha",1961,17,"SAHOO KASINATH","M","IND",479,NA,NA,6
"Odisha",1961,18,"JANI TRILOCHANA","M","INC",7428,NA,NA,1
"Odisha",1961,18,"PADHANA BUDAIA","M","GP",1359,NA,NA,2
"Odisha",1961,18,"BEHARA NARAHARI","M","IND",1040,NA,NA,3
"Odisha",1961,19,"P. VENKATA JAGANATHA RAO","M","INC",11853,NA,NA,1
"Odisha",1961,19,"SAHU NARASIMHA","M","IND",10336,NA,NA,2
"Odisha",1961,19,"DAMALA KRISHNA RAO","M","IND",1486,NA,NA,3
"Odisha",1961,20,"MAHAPATRA LAKSHMAN","M","CPI",8289,NA,NA,1
