"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Odisha",1961,1,"OMERKOTE","GEN",56393
"Odisha",1961,2,"DABUGAM","GEN",66542
"Odisha",1961,3,"NOWRANGPUR","SC",56199
"Odisha",1961,4,"JEYPORE","GEN",59127
"Odisha",1961,5,"KOTPAD","SC",56704
"Odisha",1961,6,"MALKANGIRI","ST",63241
"Odisha",1961,7,"PADWA","GEN",67470
"Odisha",1961,8,"KORAPUT","ST",50088
"Odisha",1961,9,"POTTANGI","ST",57005
"Odisha",1961,10,"RAYAGADA","ST",57149
"Odisha",1961,11,"GUNUPUR","GEN",76205
"Odisha",1961,12,"BISSAMCUTTACK","ST",75837
"Odisha",1961,13,"PARLAKIMEDI","GEN",58243
"Odisha",1961,14,"R. UDAIGIRI","ST",50544
"Odisha",1961,15,"DIGAPAHANDI","GEN",56940
"Odisha",1961,16,"MOHANA","SC",50461
"Odisha",1961,17,"BERHAMPUR","GEN",77632
"Odisha",1961,18,"PATRAPUR","SC",51405
"Odisha",1961,19,"DURA","GEN",61512
"Odisha",1961,20,"CHATRAPUR","GEN",52495
"Odisha",1961,21,"KHALLIKOTE","GEN",57446
"Odisha",1961,22,"HINJILI","GEN",58012
"Odisha",1961,23,"KODALA WEST","GEN",55268
"Odisha",1961,24,"KODALA EAST","GEN",50085
"Odisha",1961,25,"BHANJANAGAR","GEN",59313
"Odisha",1961,26,"JAGANNATH PRASAD","SC",70570
"Odisha",1961,27,"ASKA","GEN",69457
"Odisha",1961,28,"SURUDA","GEN",52549
"Odisha",1961,29,"BALLIGUDA","ST",52947
"Odisha",1961,30,"G UDAYAGIRI","ST",59208
"Odisha",1961,31,"PHULBANI","GEN",54666
"Odisha",1961,32,"BOUDH","SC",79622
"Odisha",1961,33,"MADANPUR RAMPUR","GEN",50190
"Odisha",1961,34,"BHAWANIPATNA","ST",59463
"Odisha",1961,35,"KASHIPUR","GEN",40555
"Odisha",1961,36,"KOKSARA","SC",71099
"Odisha",1961,37,"JUNAGARH","GEN",42785
"Odisha",1961,38,"DHARAMGARH","ST",47142
"Odisha",1961,39,"KHARIAR","GEN",53770
"Odisha",1961,40,"NAWAPARA","ST",50121
"Odisha",1961,41,"KANTABANJI","GEN",46406
"Odisha",1961,42,"TITILAGARH","SC",51343
"Odisha",1961,43,"SAINTALA","GEN",52868
"Odisha",1961,44,"PATNAGARH","ST",58830
"Odisha",1961,45,"LOISINGHA","GEN",60014
"Odisha",1961,46,"BOLANGIR","ST",65085
"Odisha",1961,47,"TUSRA","GEN",61199
"Odisha",1961,48,"BINKA","GEN",55532
"Odisha",1961,49,"SONEPUR","SC",60625
"Odisha",1961,50,"MELCHHAMUNDA","GEN",66532
"Odisha",1961,51,"PADAMPUR","ST",53717
"Odisha",1961,52,"BARGARH","GEN",56434
"Odisha",1961,53,"BIJEPUR","SC",62808
"Odisha",1961,54,"BHATLI","GEN",62765
"Odisha",1961,55,"SAMBALPUR","GEN",61796
"Odisha",1961,56,"ATTABIRA","SC",61577
"Odisha",1961,57,"KATARBAGA","GEN",65932
"Odisha",1961,58,"DEOGARH","ST",67800
"Odisha",1961,59,"RAIRAKHOL","GEN",70570
"Odisha",1961,60,"BRAJRAJNAGAR","GEN",53115
"Odisha",1961,61,"JHARSUGUDA","ST",66608
"Odisha",1961,62,"SUNDERGARH","GEN",66799
"Odisha",1961,63,"TALSARA","ST",67491
"Odisha",1961,64,"RAJGANGPUR","ST",54526
"Odisha",1961,65,"BISRA","ST",67777
"Odisha",1961,66,"BONAI","ST",58707
"Odisha",1961,67,"CHAMPUA","ST",48494
"Odisha",1961,68,"PATNA","GEN",56687
"Odisha",1961,69,"KEONJHAR","GEN",46802
"Odisha",1961,70,"TELKOI","ST",41138
"Odisha",1961,71,"RAMACHANDRAPUR","GEN",55092
"Odisha",1961,72,"ANANDPUR","SC",54150
"Odisha",1961,73,"PAL LAHORA","GEN",57505
"Odisha",1961,74,"TALCHER","GEN",58369
"Odisha",1961,75,"K. NAGAR","GEN",68645
"Odisha",1961,76,"DHENKANAL","GEN",63872
"Odisha",1961,77,"GONDIA","ST",63504
"Odisha",1961,78,"CHENDIPADA","SC",59613
"Odisha",1961,79,"ANGUL","GEN",61993
"Odisha",1961,80,"ATHMALLIK","GEN",54440
"Odisha",1961,81,"BANPUR","GEN",56827
"Odisha",1961,82,"DASPALLA","SC",56146
"Odisha",1961,83,"KHANDPARA","GEN",52704
