"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Odisha",4,1,"PADAMPUR","GEN","BARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,2,"BIJEPUR","GEN","BARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,3,"BARGARH","GEN","BARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,4,"ATTABIRA","SC","BARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,5,"BHATLI","GEN","BARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,6,"BRAJARAJNAGAR","GEN","JHARSUGUDA","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,7,"JHARSUGUDA","GEN","JHARSUGUDA","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,8,"TALSARA","ST","SUNDARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,9,"SUNDARGARH","ST","SUNDARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,10,"BIRAMITRAPUR","ST","SUNDARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,11,"RAGHUNATHPALI","SC","SUNDARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,12,"ROURKELA","GEN","SUNDARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,13,"RAJGANGAPUR","ST","SUNDARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,14,"BONAI","ST","SUNDARGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,15,"KUCHINDA","ST","SAMBALPUR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,16,"RENGALI","SC","SAMBALPUR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,17,"SAMBALPUR","GEN","SAMBALPUR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,18,"RAIRAKHOL","GEN","SAMBALPUR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,19,"DEOGARH","GEN","DEOGARH","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,20,"TELKOI","ST","KEONJHAR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,21,"GHASIPURA","GEN","KEONJHAR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,22,"ANANDAPUR","SC","KEONJHAR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,23,"PATNA","ST","KEONJHAR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,24,"KEONJHAR","ST","KEONJHAR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,25,"CHAMPUA","GEN","KEONJHAR","NORTH DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,26,"JASHIPUR","ST","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,27,"SARASKANA","ST","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,28,"RAIRANGPUR","ST","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,29,"BANGRIPOSI","ST","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,30,"KARANJIA","ST","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,31,"UDALA","ST","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,32,"BADASAHI","SC","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,33,"BARIPADA","ST","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,34,"MORADA","GEN","MAYURBHANJ","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,35,"JALESWAR","GEN","BALASORE","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,36,"BHOGRAI","GEN","BALASORE","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,37,"BASTA","GEN","BALASORE","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,38,"BALASORE","GEN","BALASORE","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,39,"REMUNA","SC","BALASORE","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,40,"NILGIRI","GEN","BALASORE","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
"Odisha",4,41,"SORO","SC","BALASORE","CENTRAL DIVISION","https://en.wikipedia.org/wiki/Odisha#Administrative_units"
