"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Puducherry",1964,1,"MUTHIALPET","GEN","SHANMUGHAM, P","CONG",1726,1,33.06
"Puducherry",1964,1,"MUTHIALPET","GEN","THANGAPRAKASAM","IND",1429,2,27.37
"Puducherry",1964,1,"MUTHIALPET","GEN","DHATCHANAMURTHY","PF",1011,3,19.36
"Puducherry",1964,1,"MUTHIALPET","GEN","MURUGAIAN. K.","IND",882,4,16.89
"Puducherry",1964,1,"MUTHIALPET","GEN","ARUL RAJ A,","IND",173,5,3.31
"Puducherry",1964,2,"COUROSSUCOUPOM","GEN","PADMINI CHANDRASEKARAN","CONG",3605,1,53.23
"Puducherry",1964,2,"COUROSSUCOUPOM","GEN","MURUGESA MUDALIAR, M.","IND",3168,2,46.77
"Puducherry",1964,3,"CASSICADE","GEN","KANKEYAN A.S.","CONG",1799,1,39.98
"Puducherry",1964,3,"CASSICADE","GEN","KUPPUSAMY MUDALIAR","IND",1182,2,26.27
"Puducherry",1964,3,"CASSICADE","GEN","SARASWATI","PF",880,3,19.56
"Puducherry",1964,3,"CASSICADE","GEN","SIVAPRAKASAM","IND",572,4,12.71
"Puducherry",1964,3,"CASSICADE","GEN","SIYALI VENKU CHETTY","IND",67,5,1.49
"Puducherry",1964,4,"RAJ NIVAS","GEN","EDOUARD GOUBERT","CONG",2722,1,78.47
"Puducherry",1964,4,"RAJ NIVAS","GEN","PAKIAM S.","IND",662,2,19.08
"Puducherry",1964,4,"RAJ NIVAS","GEN","JIMMY EBENEZAR ROBERT","PF",85,3,2.45
"Puducherry",1964,5,"BUSSY","GEN","ACHREAFF C.M.","IND",2367,1,62.72
"Puducherry",1964,5,"BUSSY","GEN","PAUL AMBROISE","CONG",789,2,20.91
"Puducherry",1964,5,"BUSSY","GEN","MUHAMMED HOUSSAIN","PF",618,3,16.38
"Puducherry",1964,6,"OUPALOM","GEN","PERUMAL RAJA G.","IND",3098,1,55.47
"Puducherry",1964,6,"OUPALOM","GEN","MUNISAMY, D.","CONG",2487,2,44.53
"Puducherry",1964,7,"NELLITOPE","GEN","RANGANATHAN, N.","PF",3627,1,50.11
"Puducherry",1964,7,"NELLITOPE","GEN","PURUSHOTHAMAN, R.T.","CONG",3611,2,49.89
"Puducherry",1964,8,"MODELIARPETH","GEN","KAILASA SUBBIAH, V.","PF",3878,1,51.8
"Puducherry",1964,8,"MODELIARPETH","GEN","SRINIVASAN, K.","CONG",3609,2,48.2
"Puducherry",1964,9,"ARIANCOUPOM","GEN","RATHINAVELU, P.","CONG",3376,1,48.82
"Puducherry",1964,9,"ARIANCOUPOM","GEN","THULASINGAM, V.","PF",3135,2,45.34
"Puducherry",1964,9,"ARIANCOUPOM","GEN","SUNDARARAJAN, S.","IND",360,3,5.21
"Puducherry",1964,9,"ARIANCOUPOM","GEN","PALANI GRAMANY, T.","IND",44,4,0.64
"Puducherry",1964,10,"COUROUVINATTAM","GEN","SUBRAMANYA PADAYATCHI","IND",3167,1,47.91
"Puducherry",1964,10,"COUROUVINATTAM","GEN","PURUSHOTHAMAN, R.L.","CONG",1760,2,26.62
"Puducherry",1964,10,"COUROUVINATTAM","GEN","RAMACHANDRAN, R.","IND",1625,3,24.58
"Puducherry",1964,10,"COUROUVINATTAM","GEN","RAMALINGAM, S","PF",59,4,0.89
"Puducherry",1964,11,"BAHOUR","SC","THANGAVELY, C.","PF",2612,1,49.81
"Puducherry",1964,11,"BAHOUR","SC","SIVA, A.","CONG",2405,2,45.86
"Puducherry",1964,11,"BAHOUR","SC","PERUMAL, S.","IND",227,3,4.33
"Puducherry",1964,12,"NETTAPACOM","GEN","VENKATASUBBAREDDY","CONG",4965,1,83.54
"Puducherry",1964,12,"NETTAPACOM","GEN","RAMAPUTHIRAN, S.","IND",978,2,16.46
"Puducherry",1964,13,"TIROUBOUVANE","SC","KULANDAI, R.","IND",3698,1,61.93
"Puducherry",1964,13,"TIROUBOUVANE","SC","THANGAVELY, S.","IND",2273,2,38.07
"Puducherry",1964,14,"MANNADIPET","GEN","MANICKAVASAGA REDDIAR","CONG",3369,1,51.4
"Puducherry",1964,14,"MANNADIPET","GEN","VENUGOPAL, M.,","PF",1347,2,20.55
"Puducherry",1964,14,"MANNADIPET","GEN","SUBBARAYAN, M.","IND",1049,3,16
"Puducherry",1964,14,"MANNADIPET","GEN","PALANI, M.","IND",534,4,8.15
"Puducherry",1964,14,"MANNADIPET","GEN","NATARAJAN, S.","IND",256,5,3.91
"Puducherry",1964,15,"OUSSOUDOU","SC","HARIKRISHNAN, N.","CONG",3027,1,55.07
"Puducherry",1964,15,"OUSSOUDOU","SC","PERUMAL.S","PF",2470,2,44.93
"Puducherry",1964,16,"VILLENOUR","GEN","THILLAI KANAKARASU","CONG",4025,1,57.7
"Puducherry",1964,16,"VILLENOUR","GEN","ABDUL RAHIMAN, M.","PF",2518,2,36.1
"Puducherry",1964,16,"VILLENOUR","GEN","PAKIR MOHAMED SAHIB","IND",433,3,6.21
"Puducherry",1964,17,"EMBALOM","SC","ANGAMMAL, P","CONG",4924,1,79.83
"Puducherry",1964,17,"EMBALOM","SC","ANDAVAN, S.","PF",1244,2,20.17
"Puducherry",1964,18,"OULGARET","GEN","GOVINDASAMY, S.","CONG",2511,1,40.92
"Puducherry",1964,18,"OULGARET","GEN","NARAYANASAMY, V.","PF",2481,2,40.43
"Puducherry",1964,18,"OULGARET","GEN","DAMODARAN, N.","IND",1144,3,18.64
"Puducherry",1964,19,"CALAPETH","GEN","JEEVARATHINA UDAYAR","CONG",4078,1,58.58
"Puducherry",1964,19,"CALAPETH","GEN","NARAYANASAMY, P.","PF",1555,2,22.34
"Puducherry",1964,19,"CALAPETH","GEN","RADHAKRISHNA NAYAKAR","IND",1329,3,19.09
"Puducherry",1964,20,"POUDOUSARAM","GEN","GURUSAMY, N.","PF",2698,1,46.86
"Puducherry",1964,20,"POUDOUSARAM","GEN","RAJAMANICKAM, G.","CONG",2426,2,42.14
"Puducherry",1964,20,"POUDOUSARAM","GEN","MUNISAMY (VARADARASU)","IND",633,3,11
"Puducherry",1964,21,"COUCHERY","SC","NAGARAJAN, G.","CONG",4313,1,70.34
"Puducherry",1964,21,"COUCHERY","SC","SOKALINGAME, S.","IND",1614,2,26.32
"Puducherry",1964,21,"COUCHERY","SC","GOVINDAN, V.","IND",117,3,1.91
"Puducherry",1964,21,"COUCHERY","SC","KATHAPERUMAL ALIAS KATHAN, S.","IND",88,4,1.44
"Puducherry",1964,22,"KARIKAL NORTH","GEN","FAROOK MARICAR","CONG",4211,1,56.39
"Puducherry",1964,22,"KARIKAL NORTH","GEN","SEMBULINGAM, M.","IND",2033,2,27.23
"Puducherry",1964,22,"KARIKAL NORTH","GEN","THAMBISA MARICAR","IND",810,3,10.85
"Puducherry",1964,22,"KARIKAL NORTH","GEN","NARAYANASAMY ALIAS VEMBU","IND",413,4,5.53
"Puducherry",1964,23,"KARIKAL SOUTH","GEN","MOHAMED IBRAHIM MARICAR","IND",2491,1,50.7
"Puducherry",1964,23,"KARIKAL SOUTH","GEN","RAMASSAMY PILLAI","CONG",2422,2,49.3
"Puducherry",1964,24,"NERAVY","GEN","NAGAMUTTOU PILLAI","CONG",3222,1,56.8
"Puducherry",1964,24,"NERAVY","GEN","RAMASSAMY","IND",2163,2,38.13
"Puducherry",1964,24,"NERAVY","GEN","AMBIGASUDIRAMOURTHY","PF",288,3,5.08
"Puducherry",1964,25,"GRAND ALDEE","GEN","VARADHA PILLAI, V.M.C","CONG",3544,1,70.58
"Puducherry",1964,25,"GRAND ALDEE","GEN","PANDARINATHAN","IND",1477,2,29.42
"Puducherry",1964,26,"TIRNOULAR","GEN","SUBARAYALU","CONG",4000,1,68.92
"Puducherry",1964,26,"TIRNOULAR","GEN","SATHIAMOURTHY","IND",1772,2,30.53
"Puducherry",1964,26,"TIRNOULAR","GEN","ARUNACHALAM","IND",32,3,0.55
"Puducherry",1964,27,"NEDOUNCADOU","GEN","SHANMUGHAM, P.","CONG",3697,1,65.6
"Puducherry",1964,27,"NEDOUNCADOU","GEN","MARIC PAUL ANDRE ALIAS PAUL","IND",1939,2,34.4
"Puducherry",1964,28,"MAHE","GEN","VALAVIL KESHAVAN","CONG",2283,1,50.14
"Puducherry",1964,28,"MAHE","GEN","IRAYI KUNNETHADUTHIL KUMARAN","IND",2270,2,49.86
"Puducherry",1964,29,"PALLOUR","GEN","VANMERI NADEYI PURUSHOTHAMAN","CONG",2436,1,64.62
"Puducherry",1964,29,"PALLOUR","GEN","POOTHATTA NARAYANAN","IND",1334,2,35.38
"Puducherry",1964,30,"YANAM","GEN","KAMISHETTY SRI PARASURAMA VARA PRASADA RAO","INC",0,1,NA
"Puducherry",1969,1,"MOUTTALPETH","GEN","K. MURUGAIYAN","DMK",3290,1,55.52
"Puducherry",1969,1,"MOUTTALPETH","GEN","M. THANGAPRAGASAM","INC",2636,2,44.48
"Puducherry",1969,2,"COUROUSSOUCOUPOM","GEN","G. PERUMAL RAJA","DMK",4068,1,59.89
"Puducherry",1969,2,"COUROUSSOUCOUPOM","GEN","N. GOVINDARAJ","INC",1550,2,22.82
"Puducherry",1969,2,"COUROUSSOUCOUPOM","GEN","R. LAKSHMANASAMY ODAYAR","IND",1175,3,17.3
"Puducherry",1969,3,"CASSICADE","GEN","P. ANSARI DORASAMY","INC",2721,1,60.33
"Puducherry",1969,3,"CASSICADE","GEN","R. AZHWAR","CPI",1409,2,31.24
"Puducherry",1969,3,"CASSICADE","GEN","THILLAI KANAGARAJ","IND",380,3,8.43
"Puducherry",1969,4,"RAJ NIVAS","GEN","D. KANTHARAJ","INC",1766,1,51.62
"Puducherry",1969,4,"RAJ NIVAS","GEN","S. SADAGOPAN","DMK",1655,2,48.38
"Puducherry",1969,5,"BUSSY","GEN","C.M. ACHARAFF","DMK",2336,1,75.94
"Puducherry",1969,5,"BUSSY","GEN","M.J. VINCENT","INC",740,2,24.06
"Puducherry",1969,6,"OUPALOM","GEN","S. GOVINDARAJALU","DMK",2676,1,46.59
"Puducherry",1969,6,"OUPALOM","GEN","K. KARUNAKARAN","IND",1730,2,30.12
"Puducherry",1969,6,"OUPALOM","GEN","N. RANGARAJAH","INC",1338,3,23.29
