"state","year","month","party","seats"
"Puducherry",1964,2,"IND","16.67"
"Puducherry",1969,2,"IND","6.67"
"Puducherry",1974,2,"IND","3.33"
"Puducherry",1977,2,"IND","10"
"Puducherry",1980,2,"IND","6.67"
"Puducherry",1985,2,"IND","6.67"
"Puducherry",1990,2,"IND","3.33"
"Puducherry",1991,2,"IND","10"
"Puducherry",1996,2,"IND","6.67"
"Puducherry",2001,2,"IND","6.67"
"Puducherry",2006,2,"IND","10"
"Puducherry",2011,2,"IND","3.33"
"Puducherry",2016,2,"IND","3.33"
"Puducherry",1964,2,"PF","13.33"
"Puducherry",1964,2,"CONG","66.67"
"Puducherry",1964,2,"INC","3.33"
"Puducherry",1969,2,"INC","33.33"
"Puducherry",1974,2,"INC","23.33"
"Puducherry",1977,2,"INC","6.67"
"Puducherry",1985,2,"INC","50"
"Puducherry",1990,2,"INC","36.67"
"Puducherry",1991,2,"INC","50"
"Puducherry",1996,2,"INC","30"
"Puducherry",2001,2,"INC","36.67"
"Puducherry",2006,2,"INC","33.33"
"Puducherry",2011,2,"INC","23.33"
"Puducherry",2016,2,"INC","46.67"
"Puducherry",1969,2,"DMK","50"
"Puducherry",1974,2,"DMK","6.67"
"Puducherry",1977,2,"DMK","10"
"Puducherry",1980,2,"DMK","46.67"
"Puducherry",1985,2,"DMK","16.67"
"Puducherry",1990,2,"DMK","30"
"Puducherry",1991,2,"DMK","13.33"
"Puducherry",1996,2,"DMK","23.33"
"Puducherry",2001,2,"DMK","23.33"
"Puducherry",2006,2,"DMK","23.33"
"Puducherry",2011,2,"DMK","6.67"
"Puducherry",2016,2,"DMK","6.67"
"Puducherry",1969,2,"CPI","10"
"Puducherry",1974,2,"CPI","6.67"
"Puducherry",1977,2,"CPI","3.33"
"Puducherry",1980,2,"CPI","0"
"Puducherry",1985,2,"CPI","0"
"Puducherry",1990,2,"CPI","6.67"
"Puducherry",1991,2,"CPI","3.33"
"Puducherry",1996,2,"CPI","6.67"
"Puducherry",2001,2,"CPI","0"
"Puducherry",2006,2,"CPI","3.33"
"Puducherry",2011,2,"CPI","0"
"Puducherry",2016,2,"CPI","0"
"Puducherry",1974,2,"ADK","40"
"Puducherry",1977,2,"ADK","46.67"
"Puducherry",1980,2,"ADK","0"
"Puducherry",1985,2,"ADK","20"
"Puducherry",1990,2,"ADK","10"
"Puducherry",1991,2,"ADK","20"
"Puducherry",1974,2,"NCO","16.67"
"Puducherry",1977,2,"JNP","23.33"
"Puducherry",1980,2,"JNP","10"
"Puducherry",1985,2,"JNP","6.67"
"Puducherry",1980,2,"INC(I)","33.33"
"Puducherry",1974,2,"CPM","3.33"
"Puducherry",1980,2,"CPM","3.33"
"Puducherry",1985,2,"CPM","0"
"Puducherry",1990,2,"CPM","0"
"Puducherry",1991,2,"CPM","0"
"Puducherry",1996,2,"CPM","0"
"Puducherry",2001,2,"CPM","0"
"Puducherry",2011,2,"CPM","0"
"Puducherry",2016,2,"CPM","0"
"Puducherry",1990,2,"JD","13.33"
"Puducherry",1991,2,"JD","3.33"
"Puducherry",1996,2,"JD","3.33"
"Puducherry",1996,2,"ADMK","10"
"Puducherry",2001,2,"ADMK","10"
"Puducherry",2016,2,"ADMK","13.33"
"Puducherry",1996,2,"TMC(M)","16.67"
"Puducherry",2001,2,"TMC(M)","6.67"
"Puducherry",2001,2,"PMC","13.33"
"Puducherry",2006,2,"PMC","10"
"Puducherry",2006,2,"AIADMK","10"
"Puducherry",2011,2,"AIADMK","16.67"
"Puducherry",2011,2,"AINRC","50"
"Puducherry",2016,2,"AINRC","30"
