"state","year","month","party","votes"
"Puducherry",1964,2,"CONG","52.07"
"Puducherry",1964,2,"INC","0"
"Puducherry",1969,2,"INC","42.62"
"Puducherry",1974,2,"INC","15.95"
"Puducherry",1977,2,"INC","17.43"
"Puducherry",1985,2,"INC","32.68"
"Puducherry",1990,2,"INC","25.04"
"Puducherry",1991,2,"INC","30"
"Puducherry",1996,2,"INC","25.34"
"Puducherry",2001,2,"INC","22.78"
"Puducherry",2006,2,"INC","29.91"
"Puducherry",2011,2,"INC","25.3"
"Puducherry",2016,2,"INC","28.94"
"Puducherry",1964,2,"IND","29.75"
"Puducherry",1969,2,"IND","11.06"
"Puducherry",1974,2,"IND","5.71"
"Puducherry",1977,2,"IND","6.15"
"Puducherry",1980,2,"IND","10.59"
"Puducherry",1985,2,"IND","6.39"
"Puducherry",1990,2,"IND","7.98"
"Puducherry",1991,2,"IND","9.14"
"Puducherry",1996,2,"IND","10.21"
"Puducherry",2001,2,"IND","10.77"
"Puducherry",2006,2,"IND","13.91"
"Puducherry",2011,2,"IND","10.28"
"Puducherry",2016,2,"IND","7.96"
"Puducherry",1964,2,"PF","18.19"
"Puducherry",1969,2,"CPI","12.62"
"Puducherry",1974,2,"CPI","8.45"
"Puducherry",1977,2,"CPI","5.52"
"Puducherry",1980,2,"CPI","5.54"
"Puducherry",1985,2,"CPI","4.74"
"Puducherry",1990,2,"CPI","5.08"
"Puducherry",1991,2,"CPI","4.99"
"Puducherry",1996,2,"CPI","6.51"
"Puducherry",2001,2,"CPI","1.85"
"Puducherry",2006,2,"CPI","3.06"
"Puducherry",2011,2,"CPI","0.95"
"Puducherry",2016,2,"CPI","1.1"
"Puducherry",1969,2,"DMK","33.7"
"Puducherry",1974,2,"DMK","21.89"
"Puducherry",1977,2,"DMK","13.49"
"Puducherry",1980,2,"DMK","27.73"
"Puducherry",1985,2,"DMK","29.08"
"Puducherry",1990,2,"DMK","24.07"
"Puducherry",1991,2,"DMK","24.71"
"Puducherry",1996,2,"DMK","22.9"
"Puducherry",2001,2,"DMK","17.54"
"Puducherry",2006,2,"DMK","12.59"
"Puducherry",2011,2,"DMK","10.86"
"Puducherry",2016,2,"DMK","9.07"
"Puducherry",1974,2,"ADK","27.83"
"Puducherry",1977,2,"ADK","30.96"
"Puducherry",1980,2,"ADK","18.6"
"Puducherry",1985,2,"ADK","15.75"
"Puducherry",1990,2,"ADK","18.17"
"Puducherry",1991,2,"ADK","17.34"
"Puducherry",1974,2,"NCO","18.92"
"Puducherry",1977,2,"JNP","26.45"
"Puducherry",1980,2,"JNP","9.33"
"Puducherry",1985,2,"JNP","8.61"
"Puducherry",1980,2,"INC(I)","23.92"
"Puducherry",1990,2,"PMK","6.38"
"Puducherry",1991,2,"PMK","2.92"
"Puducherry",1996,2,"PMK","2.51"
"Puducherry",2001,2,"PMK","7.71"
"Puducherry",2006,2,"PMK","3.8"
"Puducherry",2011,2,"PMK","2.53"
"Puducherry",2016,2,"PMK","0.73"
"Puducherry",1990,2,"JD","9.08"
"Puducherry",1991,2,"JD","6.73"
"Puducherry",1996,2,"JD","4.42"
"Puducherry",1996,2,"ADMK","12.53"
"Puducherry",2001,2,"ADMK","12.56"
"Puducherry",2016,2,"ADMK","17.24"
"Puducherry",1996,2,"TMC(M)","9.23"
"Puducherry",2001,2,"TMC(M)","7.42"
"Puducherry",2001,2,"PMC","10.24"
"Puducherry",2006,2,"PMC","9.4"
"Puducherry",2006,2,"AIADMK","16.05"
"Puducherry",2011,2,"AIADMK","13.98"
"Puducherry",2011,2,"AINRC","32.28"
"Puducherry",2016,2,"AINRC","28.83"
"Puducherry",1985,2,"BJP","0.05"
"Puducherry",1990,2,"BJP","0.51"
"Puducherry",1991,2,"BJP","0.78"
"Puducherry",1996,2,"BJP","1.13"
"Puducherry",2001,2,"BJP","4.65"
"Puducherry",2006,2,"BJP","3.07"
"Puducherry",2011,2,"BJP","1.34"
"Puducherry",2016,2,"BJP","2.47"
