"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Puducherry",1964,2,1,2,1,1,"SHANMUGHAM, P","M","CONG",1726,NA,NA,5221,6503,"MUTHIALPET","GEN",NA,NA,5,80.29,33.06,"no",297,5.69,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,1,2,"THANGAPRAKASAM","M","IND",1429,NA,NA,5221,6503,"MUTHIALPET","GEN",NA,NA,5,80.29,27.37,"no",418,8.01,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,1,3,"DHATCHANAMURTHY","M","PF",1011,NA,NA,5221,6503,"MUTHIALPET","GEN",NA,NA,5,80.29,19.36,"no",129,2.47,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,1,4,"MURUGAIAN. K.","M","IND",882,NA,NA,5221,6503,"MUTHIALPET","GEN",NA,NA,5,80.29,16.89,"no",709,13.58,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,1,5,"ARUL RAJ A,","M","IND",173,NA,NA,5221,6503,"MUTHIALPET","GEN",NA,NA,5,80.29,3.31,"no",0,0,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,2,1,"PADMINI CHANDRASEKARAN","F","CONG",3605,NA,NA,6773,9426,"COUROSSUCOUPOM","GEN",NA,NA,2,71.85,53.23,"no",437,6.45,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,2,2,"MURUGESA MUDALIAR, M.","M","IND",3168,NA,NA,6773,9426,"COUROSSUCOUPOM","GEN",NA,NA,2,71.85,46.77,"no",0,0,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,3,1,"KANKEYAN A.S.","M","CONG",1799,NA,NA,4500,6436,"CASSICADE","GEN",NA,NA,5,69.92,39.98,"no",617,13.71,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,3,2,"KUPPUSAMY MUDALIAR","M","IND",1182,NA,NA,4500,6436,"CASSICADE","GEN",NA,NA,5,69.92,26.27,"no",302,6.71,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,3,3,"SARASWATI","F","PF",880,NA,NA,4500,6436,"CASSICADE","GEN",NA,NA,5,69.92,19.56,"no",308,6.84,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,3,4,"SIVAPRAKASAM","M","IND",572,NA,NA,4500,6436,"CASSICADE","GEN",NA,NA,5,69.92,12.71,"no",505,11.22,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,3,5,"SIYALI VENKU CHETTY","M","IND",67,NA,NA,4500,6436,"CASSICADE","GEN",NA,NA,5,69.92,1.49,"no",0,0,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,4,1,"EDOUARD GOUBERT","M","CONG",2722,NA,NA,3469,5366,"RAJ NIVAS","GEN",NA,NA,3,64.65,78.47,"no",2060,59.38,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,4,2,"PAKIAM S.","M","IND",662,NA,NA,3469,5366,"RAJ NIVAS","GEN",NA,NA,3,64.65,19.08,"no",577,16.63,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,4,3,"JIMMY EBENEZAR ROBERT","M","PF",85,NA,NA,3469,5366,"RAJ NIVAS","GEN",NA,NA,3,64.65,2.45,"no",0,0,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,5,1,"ACHREAFF C.M.","M","IND",2367,NA,NA,3774,5885,"BUSSY","GEN",NA,NA,3,64.13,62.72,"no",1578,41.81,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,5,2,"PAUL AMBROISE","M","CONG",789,NA,NA,3774,5885,"BUSSY","GEN",NA,NA,3,64.13,20.91,"no",171,4.53,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,5,3,"MUHAMMED HOUSSAIN","M","PF",618,NA,NA,3774,5885,"BUSSY","GEN",NA,NA,3,64.13,16.38,"no",0,0,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,6,1,"PERUMAL RAJA G.","M","IND",3098,NA,NA,5585,8063,"OUPALOM","GEN",NA,NA,2,69.27,55.47,"no",611,10.94,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,6,2,"MUNISAMY, D.","M","CONG",2487,NA,NA,5585,8063,"OUPALOM","GEN",NA,NA,2,69.27,44.53,"no",0,0,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,7,1,"RANGANATHAN, N.","M","PF",3627,NA,NA,7238,10189,"NELLITOPE","GEN",NA,NA,2,71.04,50.11,"no",16,0.22,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,7,2,"PURUSHOTHAMAN, R.T.","M","CONG",3611,NA,NA,7238,10189,"NELLITOPE","GEN",NA,NA,2,71.04,49.89,"no",0,0,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,2,8,1,"KAILASA SUBBIAH, V.","M","PF",3878,NA,NA,7487,9219,"MODELIARPETH","GEN",NA,NA,2,81.21,51.8,"no",269,3.59,NA,NA,NA,NA,NA
