"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Puducherry",1964,1,1,"MUTHIALPET","SHANMUGHAM, P",NA,NA,NA,NA,NA,NA
"Puducherry",1964,1,2,"MUTHIALPET","THANGAPRAKASAM",NA,NA,NA,NA,NA,NA
"Puducherry",1964,1,3,"MUTHIALPET","DHATCHANAMURTHY",NA,NA,NA,NA,NA,NA
"Puducherry",1964,1,4,"MUTHIALPET","MURUGAIAN. K.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,1,5,"MUTHIALPET","ARUL RAJ A,",NA,NA,NA,NA,NA,NA
"Puducherry",1964,2,1,"COUROSSUCOUPOM","PADMINI CHANDRASEKARAN",NA,NA,NA,NA,NA,NA
"Puducherry",1964,2,2,"COUROSSUCOUPOM","MURUGESA MUDALIAR, M.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,3,1,"CASSICADE","KANKEYAN A.S.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,3,2,"CASSICADE","KUPPUSAMY MUDALIAR",NA,NA,NA,NA,NA,NA
"Puducherry",1964,3,3,"CASSICADE","SARASWATI",NA,NA,NA,NA,NA,NA
"Puducherry",1964,3,4,"CASSICADE","SIVAPRAKASAM",NA,NA,NA,NA,NA,NA
"Puducherry",1964,3,5,"CASSICADE","SIYALI VENKU CHETTY",NA,NA,NA,NA,NA,NA
"Puducherry",1964,4,1,"RAJ NIVAS","EDOUARD GOUBERT",NA,NA,NA,NA,NA,NA
"Puducherry",1964,4,2,"RAJ NIVAS","PAKIAM S.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,4,3,"RAJ NIVAS","JIMMY EBENEZAR ROBERT",NA,NA,NA,NA,NA,NA
"Puducherry",1964,5,1,"BUSSY","ACHREAFF C.M.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,5,2,"BUSSY","PAUL AMBROISE",NA,NA,NA,NA,NA,NA
"Puducherry",1964,5,3,"BUSSY","MUHAMMED HOUSSAIN",NA,NA,NA,NA,NA,NA
"Puducherry",1964,6,1,"OUPALOM","PERUMAL RAJA G.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,6,2,"OUPALOM","MUNISAMY, D.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,7,1,"NELLITOPE","RANGANATHAN, N.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,7,2,"NELLITOPE","PURUSHOTHAMAN, R.T.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,8,1,"MODELIARPETH","KAILASA SUBBIAH, V.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,8,2,"MODELIARPETH","SRINIVASAN, K.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,9,1,"ARIANCOUPOM","RATHINAVELU, P.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,9,2,"ARIANCOUPOM","THULASINGAM, V.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,9,3,"ARIANCOUPOM","SUNDARARAJAN, S.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,9,4,"ARIANCOUPOM","PALANI GRAMANY, T.",NA,NA,NA,NA,NA,NA
"Puducherry",1964,10,1,"COUROUVINATTAM","SUBRAMANYA PADAYATCHI",NA,NA,NA,NA,NA,NA
