"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Puducherry",1964,1,"SHANMUGHAM, P","M","CONG",1726,NA,NA,1
"Puducherry",1964,1,"THANGAPRAKASAM","M","IND",1429,NA,NA,2
"Puducherry",1964,1,"DHATCHANAMURTHY","M","PF",1011,NA,NA,3
"Puducherry",1964,1,"MURUGAIAN. K.","M","IND",882,NA,NA,4
"Puducherry",1964,1,"ARUL RAJ A,","M","IND",173,NA,NA,5
"Puducherry",1964,2,"PADMINI CHANDRASEKARAN","F","CONG",3605,NA,NA,1
"Puducherry",1964,2,"MURUGESA MUDALIAR, M.","M","IND",3168,NA,NA,2
"Puducherry",1964,3,"KANKEYAN A.S.","M","CONG",1799,NA,NA,1
"Puducherry",1964,3,"KUPPUSAMY MUDALIAR","M","IND",1182,NA,NA,2
"Puducherry",1964,3,"SARASWATI","F","PF",880,NA,NA,3
"Puducherry",1964,3,"SIVAPRAKASAM","M","IND",572,NA,NA,4
"Puducherry",1964,3,"SIYALI VENKU CHETTY","M","IND",67,NA,NA,5
"Puducherry",1964,4,"EDOUARD GOUBERT","M","CONG",2722,NA,NA,1
"Puducherry",1964,4,"PAKIAM S.","M","IND",662,NA,NA,2
"Puducherry",1964,4,"JIMMY EBENEZAR ROBERT","M","PF",85,NA,NA,3
"Puducherry",1964,5,"ACHREAFF C.M.","M","IND",2367,NA,NA,1
"Puducherry",1964,5,"PAUL AMBROISE","M","CONG",789,NA,NA,2
"Puducherry",1964,5,"MUHAMMED HOUSSAIN","M","PF",618,NA,NA,3
"Puducherry",1964,6,"PERUMAL RAJA G.","M","IND",3098,NA,NA,1
"Puducherry",1964,6,"MUNISAMY, D.","M","CONG",2487,NA,NA,2
"Puducherry",1964,7,"RANGANATHAN, N.","M","PF",3627,NA,NA,1
"Puducherry",1964,7,"PURUSHOTHAMAN, R.T.","M","CONG",3611,NA,NA,2
"Puducherry",1964,8,"KAILASA SUBBIAH, V.","M","PF",3878,NA,NA,1
"Puducherry",1964,8,"SRINIVASAN, K.","M","CONG",3609,NA,NA,2
"Puducherry",1964,9,"RATHINAVELU, P.","M","CONG",3376,NA,NA,1
"Puducherry",1964,9,"THULASINGAM, V.","M","PF",3135,NA,NA,2
"Puducherry",1964,9,"SUNDARARAJAN, S.","M","IND",360,NA,NA,3
"Puducherry",1964,9,"PALANI GRAMANY, T.","M","IND",44,NA,NA,4
"Puducherry",1964,10,"SUBRAMANYA PADAYATCHI","M","IND",3167,NA,NA,1
"Puducherry",1964,10,"PURUSHOTHAMAN, R.L.","M","CONG",1760,NA,NA,2
"Puducherry",1964,10,"RAMACHANDRAN, R.","M","IND",1625,NA,NA,3
"Puducherry",1964,10,"RAMALINGAM, S","M","PF",59,NA,NA,4
"Puducherry",1964,11,"THANGAVELY, C.","M","PF",2612,NA,NA,1
"Puducherry",1964,11,"SIVA, A.","M","CONG",2405,NA,NA,2
"Puducherry",1964,11,"PERUMAL, S.","M","IND",227,NA,NA,3
"Puducherry",1964,12,"VENKATASUBBAREDDY","M","CONG",4965,NA,NA,1
"Puducherry",1964,12,"RAMAPUTHIRAN, S.","M","IND",978,NA,NA,2
"Puducherry",1964,13,"KULANDAI, R.","M","IND",3698,NA,NA,1
"Puducherry",1964,13,"THANGAVELY, S.","M","IND",2273,NA,NA,2
"Puducherry",1964,14,"MANICKAVASAGA REDDIAR","M","CONG",3369,NA,NA,1
"Puducherry",1964,14,"VENUGOPAL, M.,","M","PF",1347,NA,NA,2
"Puducherry",1964,14,"SUBBARAYAN, M.","M","IND",1049,NA,NA,3
"Puducherry",1964,14,"PALANI, M.","M","IND",534,NA,NA,4
"Puducherry",1964,14,"NATARAJAN, S.","M","IND",256,NA,NA,5
"Puducherry",1964,15,"HARIKRISHNAN, N.","M","CONG",3027,NA,NA,1
"Puducherry",1964,15,"PERUMAL.S","M","PF",2470,NA,NA,2
"Puducherry",1964,16,"THILLAI KANAKARASU","M","CONG",4025,NA,NA,1
"Puducherry",1964,16,"ABDUL RAHIMAN, M.","M","PF",2518,NA,NA,2
"Puducherry",1964,16,"PAKIR MOHAMED SAHIB","M","IND",433,NA,NA,3
"Puducherry",1964,17,"ANGAMMAL, P","F","CONG",4924,NA,NA,1
"Puducherry",1964,17,"ANDAVAN, S.","M","PF",1244,NA,NA,2
"Puducherry",1964,18,"GOVINDASAMY, S.","M","CONG",2511,NA,NA,1
"Puducherry",1964,18,"NARAYANASAMY, V.","M","PF",2481,NA,NA,2
"Puducherry",1964,18,"DAMODARAN, N.","M","IND",1144,NA,NA,3
"Puducherry",1964,19,"JEEVARATHINA UDAYAR","M","CONG",4078,NA,NA,1
"Puducherry",1964,19,"NARAYANASAMY, P.","M","PF",1555,NA,NA,2
"Puducherry",1964,19,"RADHAKRISHNA NAYAKAR","M","IND",1329,NA,NA,3
"Puducherry",1964,20,"GURUSAMY, N.","M","PF",2698,NA,NA,1
"Puducherry",1964,20,"RAJAMANICKAM, G.","M","CONG",2426,NA,NA,2
"Puducherry",1964,20,"MUNISAMY (VARADARASU)","M","IND",633,NA,NA,3
"Puducherry",1964,21,"NAGARAJAN, G.","M","CONG",4313,NA,NA,1
"Puducherry",1964,21,"SOKALINGAME, S.","M","IND",1614,NA,NA,2
"Puducherry",1964,21,"GOVINDAN, V.","M","IND",117,NA,NA,3
"Puducherry",1964,21,"KATHAPERUMAL ALIAS KATHAN, S.","M","IND",88,NA,NA,4
"Puducherry",1964,22,"FAROOK MARICAR","M","CONG",4211,NA,NA,1
"Puducherry",1964,22,"SEMBULINGAM, M.","M","IND",2033,NA,NA,2
"Puducherry",1964,22,"THAMBISA MARICAR","M","IND",810,NA,NA,3
"Puducherry",1964,22,"NARAYANASAMY ALIAS VEMBU","M","IND",413,NA,NA,4
"Puducherry",1964,23,"MOHAMED IBRAHIM MARICAR","M","IND",2491,NA,NA,1
"Puducherry",1964,23,"RAMASSAMY PILLAI","M","CONG",2422,NA,NA,2
"Puducherry",1964,24,"NAGAMUTTOU PILLAI","M","CONG",3222,NA,NA,1
"Puducherry",1964,24,"RAMASSAMY","M","IND",2163,NA,NA,2
"Puducherry",1964,24,"AMBIGASUDIRAMOURTHY","M","PF",288,NA,NA,3
"Puducherry",1964,25,"VARADHA PILLAI, V.M.C","M","CONG",3544,NA,NA,1
"Puducherry",1964,25,"PANDARINATHAN","M","IND",1477,NA,NA,2
"Puducherry",1964,26,"SUBARAYALU","M","CONG",4000,NA,NA,1
"Puducherry",1964,26,"SATHIAMOURTHY","M","IND",1772,NA,NA,2
"Puducherry",1964,26,"ARUNACHALAM","M","IND",32,NA,NA,3
