"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Puducherry",1964,1,"MUTHIALPET","GEN",6503
"Puducherry",1964,2,"COUROSSUCOUPOM","GEN",9426
"Puducherry",1964,3,"CASSICADE","GEN",6436
"Puducherry",1964,4,"RAJ NIVAS","GEN",5366
"Puducherry",1964,5,"BUSSY","GEN",5885
"Puducherry",1964,6,"OUPALOM","GEN",8063
"Puducherry",1964,7,"NELLITOPE","GEN",10189
"Puducherry",1964,8,"MODELIARPETH","GEN",9219
"Puducherry",1964,9,"ARIANCOUPOM","GEN",9071
"Puducherry",1964,10,"COUROUVINATTAM","GEN",7628
"Puducherry",1964,11,"BAHOUR","SC",6756
"Puducherry",1964,12,"NETTAPACOM","GEN",7031
"Puducherry",1964,13,"TIROUBOUVANE","SC",7860
"Puducherry",1964,14,"MANNADIPET","GEN",7912
"Puducherry",1964,15,"OUSSOUDOU","SC",8332
"Puducherry",1964,16,"VILLENOUR","GEN",8747
"Puducherry",1964,17,"EMBALOM","SC",8119
"Puducherry",1964,18,"OULGARET","GEN",7837
"Puducherry",1964,19,"CALAPETH","GEN",8943
"Puducherry",1964,20,"POUDOUSARAM","GEN",8049
"Puducherry",1964,21,"COUCHERY","SC",7457
"Puducherry",1964,22,"KARIKAL NORTH","GEN",9394
"Puducherry",1964,23,"KARIKAL SOUTH","GEN",6320
"Puducherry",1964,24,"NERAVY","GEN",6665
"Puducherry",1964,25,"GRAND ALDEE","GEN",5897
"Puducherry",1964,26,"TIRNOULAR","GEN",6886
"Puducherry",1964,27,"NEDOUNCADOU","GEN",6648
"Puducherry",1964,28,"MAHE","GEN",5101
"Puducherry",1964,29,"PALLOUR","GEN",4132
"Puducherry",1964,30,"YANAM","GEN",0
"Puducherry",1969,1,"MOUTTALPETH","GEN",7244
"Puducherry",1969,2,"COUROUSSOUCOUPOM","GEN",9043
"Puducherry",1969,3,"CASSICADE","GEN",6639
"Puducherry",1969,4,"RAJ NIVAS","GEN",5178
"Puducherry",1969,5,"BUSSY","GEN",4919
"Puducherry",1969,6,"OUPALOM","GEN",7783
"Puducherry",1969,7,"NELLITOPE","GEN",10681
"Puducherry",1969,8,"MODELIARPETH","GEN",9102
"Puducherry",1969,9,"ARIANCOUPOM","GEN",9080
"Puducherry",1969,10,"COUROUVINATTAM","GEN",8528
"Puducherry",1969,11,"BAHOUR","SC",7300
"Puducherry",1969,12,"NETTAPACOM","GEN",7662
"Puducherry",1969,13,"TIROUBOUVANE","SC",8363
"Puducherry",1969,14,"MANNADIPETH","GEN",7973
"Puducherry",1969,15,"OUSSOUDOU","SC",8950
"Puducherry",1969,16,"VILLENOUR","GEN",8306
"Puducherry",1969,17,"EMBALOM","SC",8115
"Puducherry",1969,18,"OULGARET","GEN",8447
"Puducherry",1969,19,"CALAPETH","GEN",8462
"Puducherry",1969,20,"POUDOUSARAM","GEN",8352
"Puducherry",1969,21,"COTCHERY","SC",7972
"Puducherry",1969,22,"KARIKAL NORTH","GEN",10452
"Puducherry",1969,23,"KARIKAL SOUTH","GEN",6809
"Puducherry",1969,24,"NERAVY","GEN",7223
"Puducherry",1969,25,"GRANDI ALDEE","GEN",6461
"Puducherry",1969,26,"TIRNOULAR","GEN",7433
"Puducherry",1969,27,"NEDOUNCADOU","GEN",6998
"Puducherry",1969,28,"MAHE","GEN",5872
"Puducherry",1969,29,"PALLOUR","GEN",4721
"Puducherry",1969,30,"YANAON","GEN",4686
"Puducherry",1974,1,"MUTHIALPET","GEN",12269
"Puducherry",1974,2,"CASSICADE","GEN",10032
"Puducherry",1974,3,"RAJ BHAVAN","GEN",5925
"Puducherry",1974,4,"BUSSY","GEN",5905
"Puducherry",1974,5,"OUPALAM","GEN",8536
"Puducherry",1974,6,"ORLEAMPETH","GEN",10065
"Puducherry",1974,7,"NELLITHOPE","GEN",8444
"Puducherry",1974,8,"MODELIARPETH","GEN",10800
"Puducherry",1974,9,"ARINKUPPAM","GEN",10974
"Puducherry",1974,10,"EMBALOM","SC",7998
"Puducherry",1974,11,"NETTAPAKKAM","GEN",8138
"Puducherry",1974,12,"KURUVINATHAM","GEN",8986
"Puducherry",1974,13,"BAHOUR","SC",8424
"Puducherry",1974,14,"THIRUBUVANAI","SC",9026
"Puducherry",1974,15,"MANNADIPATH","GEN",8506
"Puducherry",1974,16,"OSSUDU","SC",8688
"Puducherry",1974,17,"VILLENOUR","GEN",8973
"Puducherry",1974,18,"ORHUKARAI","GEN",8978
"Puducherry",1974,19,"THATTANCHAVADY","GEN",9119
"Puducherry",1974,20,"REDDIAPALAYAM","GEN",9595
"Puducherry",1974,21,"LAWSPET","GEN",10346
"Puducherry",1974,22,"COTCHERY","GEN",9069
"Puducherry",1974,23,"KARAIKAL","GEN",12156
"Puducherry",1974,24,"KARAIKAL SOUTH","GEN",8524
"Puducherry",1974,25,"NERAVY GRAND ALDEE","GEN",10401
"Puducherry",1974,26,"TIRUNALLAR","GEN",8700
"Puducherry",1974,27,"NEDUNCADU","SC",8266
"Puducherry",1974,28,"MAHE","GEN",6604
"Puducherry",1974,29,"PALOOR","GEN",5668
"Puducherry",1974,30,"YANAM","GEN",4988
"Puducherry",1977,1,"MUTHIALPET","GEN",14397
"Puducherry",1977,2,"CASSICADE","GEN",11603
"Puducherry",1977,3,"RAJ BHAVAN","GEN",7042
"Puducherry",1977,4,"BUSSY","GEN",6495
"Puducherry",1977,5,"OUPALAM","GEN",9970
"Puducherry",1977,6,"ORLEAMPETH","GEN",12949
"Puducherry",1977,7,"NELLITHOPE","GEN",10958
"Puducherry",1977,8,"MODELIARPETH","GEN",12608
"Puducherry",1977,9,"ARIANKUPPAM","GEN",12397
"Puducherry",1977,10,"EMBALOM","SC",8781
"Puducherry",1977,11,"NETTAPAKKAM","GEN",8909
"Puducherry",1977,12,"KURUVINATHAM","GEN",10327
"Puducherry",1977,13,"BAHOUR","SC",9294
"Puducherry",1977,14,"THIRUBUVANAI","SC",9904
"Puducherry",1977,15,"MANNADIPETH","GEN",10085
"Puducherry",1977,16,"OSSUDU","SC",9580
"Puducherry",1977,17,"VILLENOUR","GEN",10476
"Puducherry",1977,18,"OZHUKARAI","GEN",9787
"Puducherry",1977,19,"THATTANCHAVADY","GEN",12104
"Puducherry",1977,20,"REDDIARPALAYAM","GEN",11795
"Puducherry",1977,21,"LAWSPET","GEN",12680
"Puducherry",1977,22,"COTCHERY","GEN",10221
"Puducherry",1977,23,"KARAIKAL","GEN",14897
"Puducherry",1977,24,"KARAIKAL SOUTH","GEN",10159
"Puducherry",1977,25,"NERAVY-GRAND ALDEE","GEN",11595
"Puducherry",1977,26,"TIRUNALLAR","GEN",9883
"Puducherry",1977,27,"NEDUNCADU","SC",9353
"Puducherry",1977,28,"MAHE","GEN",7337
"Puducherry",1977,29,"PALLOOR","GEN",6586
"Puducherry",1977,30,"YANAM","GEN",5036
"Puducherry",1980,1,"MUTHIALPET","GEN",15512
"Puducherry",1980,2,"CASSICADE","GEN",10953
"Puducherry",1980,3,"RAJ BHAVAN","GEN",6566
"Puducherry",1980,4,"BUSSY","GEN",5890
"Puducherry",1980,5,"OUPALAM","GEN",10315
"Puducherry",1980,6,"ORLEAMPETH","GEN",13359
"Puducherry",1980,7,"NELLITHOPE","GEN",10171
"Puducherry",1980,8,"MODELIARPETH","GEN",13692
"Puducherry",1980,9,"ARIANKUPPAM","GEN",13362
"Puducherry",1980,10,"EMBALOM","SC",9279
"Puducherry",1980,11,"NETTAPAKKAM","GEN",9669
"Puducherry",1980,12,"KURUVINATHAM","GEN",10471
"Puducherry",1980,13,"BAHOUR","SC",10093
"Puducherry",1980,14,"THIRUBUVANAI","SC",10725
"Puducherry",1980,15,"MANNADIPETH","GEN",10691
"Puducherry",1980,16,"OSSUDU","SC",10121
"Puducherry",1980,17,"VILLENOUR","GEN",11101
"Puducherry",1980,18,"OZHUKARAI","GEN",10598
"Puducherry",1980,19,"THATTANCHAVADY","GEN",13094
"Puducherry",1980,20,"REDDIARPALAYAM","GEN",13974
"Puducherry",1980,21,"LAWSPET","GEN",14170
"Puducherry",1980,22,"COTCHERY","GEN",10417
"Puducherry",1980,23,"KARAIKAL","GEN",13229
"Puducherry",1980,24,"KARAIKAL SOUTH","GEN",9949
"Puducherry",1980,25,"NERAVY-GRAND ALDEE","GEN",11479
"Puducherry",1980,26,"TIRUNALLAR","GEN",10025
"Puducherry",1980,27,"NEDUNCADU","SC",9629
"Puducherry",1980,28,"MAHE","GEN",7433
"Puducherry",1980,29,"PALLOOR","GEN",7189
"Puducherry",1980,30,"YANAM","GEN",5981
"Puducherry",1985,1,"MUTHIALPET","GEN",19138
"Puducherry",1985,2,"CASSICADE","GEN",12312
"Puducherry",1985,3,"RAJ BHAVAN","GEN",6764
"Puducherry",1985,4,"BUSSY","GEN",6627
"Puducherry",1985,5,"OUPALAM","GEN",13403
"Puducherry",1985,6,"ORLEAMPETH","GEN",12821
"Puducherry",1985,7,"NELLITHOPE","GEN",15108
"Puducherry",1985,8,"MODELIARPETH","GEN",17299
"Puducherry",1985,9,"ARIANKUPPAM","GEN",15726
"Puducherry",1985,10,"EMBALOM","SC",11080
"Puducherry",1985,11,"NETTAPAKKAM","GEN",11622
"Puducherry",1985,12,"KURUVINATHAM","GEN",12173
"Puducherry",1985,13,"BAHOUR","SC",12237
"Puducherry",1985,14,"THIRUBUVANAI","SC",13529
