"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Puducherry",4,1,"MANNADIPET","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,2,"THIRUBHUVANAI","SC","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,3,"OUSSUDU","SC","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,4,"MANGALAM","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,5,"VILLIANUR","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,6,"OZHUKARAI","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,7,"KADIRGAMAM","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,8,"INDIRA NAGAR","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,9,"THATTANCHAVADY","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,10,"KAMARAJ NAGAR","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,11,"LAWSPET","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,12,"KALAPET","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,13,"MUTHIALPET","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,14,"RAJ BHAVAN","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,15,"OUPALAM","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,16,"ORLEAMPETH","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,17,"NELLITHOPE","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,18,"MUDALIARPET","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,19,"ARIANKUPPAM","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,20,"MANAVELY","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,21,"EMBALAM","SC","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,22,"NETTAPAKKAM","SC","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,23,"BAHOUR","GEN","PUDUCHERRY",NA,"Team3 ELM"
"Puducherry",4,24,"NEDUNGADU","SC","KARAIKAL",NA,"Team3 ELM"
"Puducherry",4,25,"THIRUNALLAR","GEN","KARAIKAL",NA,"Team3 ELM"
"Puducherry",4,26,"KARAIKAL NORTH","GEN","KARAIKAL",NA,"Team3 ELM"
"Puducherry",4,27,"KARAIKAL SOUTH","GEN","KARAIKAL",NA,"Team3 ELM"
"Puducherry",4,28,"NERAVY T.R. PATTINAM","GEN","KARAIKAL",NA,"Team3 ELM"
"Puducherry",4,29,"MAHE","GEN","MAHE",NA,"Team3 ELM"
"Puducherry",4,30,"YANAM","GEN","YANAM",NA,"Team3 ELM"
