"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Punjab",1962,1,"KULU","GEN","LAL CHAND","IND",8282,1,39.87
"Punjab",1962,1,"KULU","GEN","RAGHUVIR SINGH","INC",6862,2,33.03
"Punjab",1962,1,"KULU","GEN","RAJ KRISHAN","IND",3603,3,17.34
"Punjab",1962,1,"KULU","GEN","NAWAL KISHORE","IND",1490,4,7.17
"Punjab",1962,1,"KULU","GEN","GAUTAMA NATH","IND",536,5,2.58
"Punjab",1962,2,"SERAJ","SC","BANSI RAM","IND",5755,1,54.08
"Punjab",1962,2,"SERAJ","SC","JIT RAM","INC",3929,2,36.92
"Punjab",1962,2,"SERAJ","SC","PULKU","IND",957,3,8.99
"Punjab",1962,3,"PALAMPUR","GEN","PRATAP SINGH","INC",11757,1,38.31
"Punjab",1962,3,"PALAMPUR","GEN","BANSI RAM","CPI",10582,2,34.48
"Punjab",1962,3,"PALAMPUR","GEN","PARMESHWARI DASS","IND",6357,3,20.71
"Punjab",1962,3,"PALAMPUR","GEN","BHAGI RAM","IND",1993,4,6.49
"Punjab",1962,4,"KANGRA","GEN","AMAR NATH","INC",11436,1,37.14
"Punjab",1962,4,"KANGRA","GEN","DURGA CHAND","JS",11131,2,36.15
"Punjab",1962,4,"KANGRA","GEN","DHANI RAM","IND",3063,3,9.95
"Punjab",1962,4,"KANGRA","GEN","BIDHI SINGH","IND",2065,4,6.71
"Punjab",1962,4,"KANGRA","GEN","CHANDER SHEIKHAR","IND",1093,5,3.55
"Punjab",1962,4,"KANGRA","GEN","POHLO RAM","IND",1047,6,3.4
"Punjab",1962,4,"KANGRA","GEN","CHANDAR MANI","IND",673,7,2.19
"Punjab",1962,4,"KANGRA","GEN","SANT RAM","PSP",281,8,0.91
"Punjab",1962,5,"DHARAMSALA","GEN","HARI RAM","INC",15459,1,73.05
"Punjab",1962,5,"DHARAMSALA","GEN","HARI KISHAN","IND",5702,2,26.95
"Punjab",1962,6,"NURPUR","GEN","RAM CHANDRA","INC",12811,1,39.79
"Punjab",1962,6,"NURPUR","GEN","SUDARSHAN SINGH","IND",11092,2,34.45
"Punjab",1962,6,"NURPUR","GEN","TILAK RAJ","CPI",3692,3,11.47
"Punjab",1962,6,"NURPUR","GEN","DHANI RAM","IND",1731,4,5.38
"Punjab",1962,6,"NURPUR","GEN","JHANDU RAM","IND",1636,5,5.08
"Punjab",1962,6,"NURPUR","GEN","ROMAL SINGH","IND",1232,6,3.83
"Punjab",1962,7,"DERA GOPIPUR","GEN","MEHAR SINGH","INC",10594,1,33.45
"Punjab",1962,7,"DERA GOPIPUR","GEN","CHURA MANI","IND",8935,2,28.21
"Punjab",1962,7,"DERA GOPIPUR","GEN","PARAS RAM S/O JAI KARAN DASS","CPI",6515,3,20.57
"Punjab",1962,7,"DERA GOPIPUR","GEN","PARAS RAM S/O JANTU","IND",3206,4,10.12
"Punjab",1962,7,"DERA GOPIPUR","GEN","PARMODH SINGH","IND",2425,5,7.66
"Punjab",1962,8,"HAMIRPUR","SC","RUP SINGH PHUL","INC",14481,1,71.19
"Punjab",1962,8,"HAMIRPUR","SC","SHANKAR SINGH","REP",5298,2,26.05
"Punjab",1962,8,"HAMIRPUR","SC","JAGAT SINGH","IND",561,3,2.76
"Punjab",1962,9,"BARSAR","GEN","SARLA DEVI","INC",25285,1,64.52
"Punjab",1962,9,"BARSAR","GEN","BHAG SINGH","IND",13907,2,35.48
"Punjab",1962,10,"NALAGARH","SC","SOM NATH","JS",4363,3,13.75
"Punjab",1962,10,"NALAGARH","SC","SARWAN SINGH S/O HARNAM SINGH","IND",1996,4,6.29
"Punjab",1962,10,"NALAGARH","SC","SANT RAM","REP",1763,5,5.56
"Punjab",1962,10,"NALAGARH","SC","BHAN SINGH","IND",679,6,2.14
"Punjab",1962,10,"NALAGARH","SC","SARWAN SINGH S/O JAIMAL SINGH","IND",258,7,0.81
"Punjab",1962,10,"NALAGARH","SC","DASONDHI RAM","IND",14501,1,45.69
"Punjab",1962,10,"NALAGARH","SC","ROSHAN LAL","INC",8175,2,25.76
"Punjab",1962,11,"RUPAR","GEN","SHAMSHER SINGH","CPI",13542,1,37.89
"Punjab",1962,11,"RUPAR","GEN","SADHU SINGH","INC",12192,2,34.11
"Punjab",1962,11,"RUPAR","GEN","BABU RAM","IND",4688,3,13.12
"Punjab",1962,11,"RUPAR","GEN","RAJINDAR SINGH","IND",4412,4,12.35
"Punjab",1962,11,"RUPAR","GEN","NARINDAR NATH","IND",904,5,2.53
"Punjab",1962,12,"MORINDA","SC","AJAIB SINGH","AD",19592,1,48.57
