"state","year","month","party","seats"
"Punjab",1962,2,"AD","12.34"
"Punjab",1962,2,"CPI","5.84"
"Punjab",1967,2,"CPI","4.81"
"Punjab",1969,2,"CPI","3.85"
"Punjab",1972,2,"CPI","9.62"
"Punjab",1977,2,"CPI","5.98"
"Punjab",1980,2,"CPI","7.69"
"Punjab",1985,2,"CPI","0.85"
"Punjab",1992,2,"CPI","3.42"
"Punjab",1997,2,"CPI","1.71"
"Punjab",2002,2,"CPI","1.71"
"Punjab",2007,2,"CPI","0"
"Punjab",2012,2,"CPI","0"
"Punjab",1962,2,"JS","5.19"
"Punjab",1962,2,"INC","58.44"
"Punjab",1967,2,"INC","46.15"
"Punjab",1969,2,"INC","36.54"
"Punjab",1972,2,"INC","63.46"
"Punjab",1977,2,"INC","14.53"
"Punjab",1985,2,"INC","27.35"
"Punjab",1992,2,"INC","74.36"
"Punjab",1997,2,"INC","11.97"
"Punjab",2002,2,"INC","52.99"
"Punjab",2007,2,"INC","37.93"
"Punjab",2012,2,"INC","39.32"
"Punjab",1962,2,"IND","11.69"
"Punjab",1967,2,"IND","8.65"
"Punjab",1969,2,"IND","3.85"
"Punjab",1972,2,"IND","2.88"
"Punjab",1977,2,"IND","1.71"
"Punjab",1980,2,"IND","1.71"
"Punjab",1985,2,"IND","3.42"
"Punjab",1992,2,"IND","3.42"
"Punjab",1997,2,"IND","5.13"
"Punjab",2002,2,"IND","7.69"
"Punjab",2007,2,"IND","4.31"
"Punjab",2012,2,"IND","2.56"
"Punjab",1967,2,"ADS","23.08"
"Punjab",1967,2,"BJS","8.65"
"Punjab",1969,2,"BJS","7.69"
"Punjab",1972,2,"BJS","0"
"Punjab",1969,2,"SAD","41.35"
"Punjab",1972,2,"SAD","23.08"
"Punjab",1977,2,"SAD","49.57"
"Punjab",1980,2,"SAD","31.62"
"Punjab",1985,2,"SAD","62.39"
"Punjab",1992,2,"SAD","2.56"
"Punjab",1997,2,"SAD","64.1"
"Punjab",2002,2,"SAD","35.04"
"Punjab",2007,2,"SAD","41.38"
"Punjab",2012,2,"SAD","47.86"
"Punjab",1967,2,"CPM","2.88"
"Punjab",1969,2,"CPM","1.92"
"Punjab",1972,2,"CPM","0.96"
"Punjab",1977,2,"CPM","6.84"
"Punjab",1980,2,"CPM","4.27"
"Punjab",1985,2,"CPM","0"
"Punjab",1992,2,"CPM","0.85"
"Punjab",1997,2,"CPM","0"
"Punjab",2002,2,"CPM","0"
"Punjab",2007,2,"CPM","0"
"Punjab",2012,2,"CPM","0"
"Punjab",1977,2,"JNP","21.37"
"Punjab",1985,2,"JNP","0.85"
"Punjab",1980,2,"INC(I)","53.85"
"Punjab",1980,2,"BJP","0.85"
"Punjab",1985,2,"BJP","5.13"
"Punjab",1992,2,"BJP","5.13"
"Punjab",1997,2,"BJP","15.38"
"Punjab",2002,2,"BJP","2.56"
"Punjab",2007,2,"BJP","16.38"
"Punjab",2012,2,"BJP","10.26"
"Punjab",1992,2,"BSP","7.69"
"Punjab",1997,2,"BSP","0.85"
"Punjab",2002,2,"BSP","0"
"Punjab",2007,2,"BSP","0"
"Punjab",2012,2,"BSP","0"
