"state","year","month","party","votes"
"Punjab",1962,2,"SWA","3.88"
"Punjab",1967,2,"SWA","0.51"
"Punjab",1969,2,"SWA","0.91"
"Punjab",1972,2,"SWA","0.03"
"Punjab",1962,2,"AD","11.87"
"Punjab",1962,2,"JS","9.72"
"Punjab",1962,2,"CPI","7.1"
"Punjab",1967,2,"CPI","5.2"
"Punjab",1969,2,"CPI","4.84"
"Punjab",1972,2,"CPI","6.51"
"Punjab",1977,2,"CPI","6.59"
"Punjab",1980,2,"CPI","6.46"
"Punjab",1985,2,"CPI","4.44"
"Punjab",1992,2,"CPI","3.64"
"Punjab",1997,2,"CPI","2.98"
"Punjab",2002,2,"CPI","2.15"
"Punjab",2007,2,"CPI","0.76"
"Punjab",2012,2,"CPI","0.82"
"Punjab",1962,2,"INC","43.72"
"Punjab",1967,2,"INC","37.45"
"Punjab",1969,2,"INC","39.18"
"Punjab",1972,2,"INC","42.84"
"Punjab",1977,2,"INC","33.59"
"Punjab",1985,2,"INC","37.86"
"Punjab",1992,2,"INC","43.83"
"Punjab",1997,2,"INC","26.59"
"Punjab",2002,2,"INC","35.81"
"Punjab",2007,2,"INC","40.9"
"Punjab",2012,2,"INC","40.09"
"Punjab",1962,2,"IND","17.17"
"Punjab",1967,2,"IND","16.05"
"Punjab",1969,2,"IND","8.89"
"Punjab",1972,2,"IND","12.29"
"Punjab",1977,2,"IND","9.57"
"Punjab",1980,2,"IND","6.52"
"Punjab",1985,2,"IND","11.68"
"Punjab",1992,2,"IND","9.24"
"Punjab",1997,2,"IND","10.87"
"Punjab",2002,2,"IND","11.27"
"Punjab",2007,2,"IND","6.81"
"Punjab",2012,2,"IND","6.75"
"Punjab",1967,2,"BJS","9.84"
"Punjab",1969,2,"BJS","9.01"
"Punjab",1972,2,"BJS","4.97"
"Punjab",1967,2,"ADM","4.2"
"Punjab",1967,2,"ADS","20.48"
"Punjab",1969,2,"SAD","29.36"
"Punjab",1972,2,"SAD","27.64"
"Punjab",1977,2,"SAD","31.42"
"Punjab",1980,2,"SAD","26.92"
"Punjab",1985,2,"SAD","38.01"
"Punjab",1992,2,"SAD","5.2"
"Punjab",1997,2,"SAD","37.64"
"Punjab",2002,2,"SAD","31.08"
"Punjab",2007,2,"SAD","37.09"
"Punjab",2012,2,"SAD","34.73"
"Punjab",1967,2,"CPM","3.26"
"Punjab",1969,2,"CPM","3.07"
"Punjab",1972,2,"CPM","3.26"
"Punjab",1977,2,"CPM","3.5"
"Punjab",1980,2,"CPM","4.06"
"Punjab",1985,2,"CPM","1.92"
"Punjab",1992,2,"CPM","2.4"
"Punjab",1997,2,"CPM","1.79"
"Punjab",2002,2,"CPM","0.36"
"Punjab",2007,2,"CPM","0.28"
"Punjab",2012,2,"CPM","0.16"
"Punjab",1977,2,"JNP","14.99"
"Punjab",1985,2,"JNP","1.09"
"Punjab",1980,2,"INC(I)","45.19"
"Punjab",1980,2,"BJP","6.48"
"Punjab",1985,2,"BJP","4.99"
"Punjab",1992,2,"BJP","16.48"
"Punjab",1997,2,"BJP","8.33"
"Punjab",2002,2,"BJP","5.67"
"Punjab",2007,2,"BJP","8.28"
"Punjab",2012,2,"BJP","7.18"
"Punjab",1992,2,"BSP","16.32"
"Punjab",1997,2,"BSP","7.48"
"Punjab",2002,2,"BSP","5.69"
"Punjab",2007,2,"BSP","4.13"
"Punjab",2012,2,"BSP","4.29"
"Punjab",1997,2,"SAD(M)","3.1"
"Punjab",2002,2,"SAD(M)","4.65"
"Punjab",2007,2,"SAD(M)","0.52"
"Punjab",2012,2,"SAD(M)","0.28"
"Punjab",2012,2,"PPOP","5.04"
