"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Punjab",1962,2,3,1,1,1,"LAL CHAND","M","IND",8282,NA,NA,20773,52270,"KULU","GEN",NA,NA,5,39.74,39.87,"no",1420,6.84,"","NOT ASCERTAINED","HINDU","",""
"Punjab",1962,2,3,1,1,2,"RAGHUVIR SINGH","M","INC",6862,NA,NA,20773,52270,"KULU","GEN",NA,NA,5,39.74,33.03,"no",3259,15.69,"","","","",""
"Punjab",1962,2,3,1,1,3,"RAJ KRISHAN","M","IND",3603,NA,NA,20773,52270,"KULU","GEN",NA,NA,5,39.74,17.34,"no",2113,10.17,"","","","",""
"Punjab",1962,2,3,1,1,4,"NAWAL KISHORE","M","IND",1490,NA,NA,20773,52270,"KULU","GEN",NA,NA,5,39.74,7.17,"no",954,4.59,"","","","",""
"Punjab",1962,2,3,1,1,5,"GAUTAMA NATH","M","IND",536,NA,NA,20773,52270,"KULU","GEN",NA,NA,5,39.74,2.58,"no",0,0,"","","","",""
"Punjab",1962,2,3,1,2,1,"BANSI RAM","M","IND",5755,NA,NA,10641,49053,"SERAJ","SC",NA,NA,3,21.69,54.08,"no",1826,17.16,"4 OTHERS","SC",NA,"4 OTHERS",""
"Punjab",1962,2,3,1,2,2,"JIT RAM","M","INC",3929,NA,NA,10641,49053,"SERAJ","SC",NA,NA,3,21.69,36.92,"no",2972,27.93,"4 OTHERS","SC","","",""
"Punjab",1962,2,3,1,2,3,"PULKU","M","IND",957,NA,NA,10641,49053,"SERAJ","SC",NA,NA,3,21.69,8.99,"no",0,0,"4 OTHERS","SC","","",""
"Punjab",1962,2,3,1,3,1,"PRATAP SINGH","M","INC",11757,NA,NA,30689,65866,"PALAMPUR","GEN",NA,NA,4,46.59,38.31,"no",1175,3.83,"","NOT ASCERTAINED","HINDU","",""
"Punjab",1962,2,3,1,3,2,"BANSI RAM","M","CPI",10582,NA,NA,30689,65866,"PALAMPUR","GEN",NA,NA,4,46.59,34.48,"no",4225,13.77,"","","","",""
"Punjab",1962,2,3,1,3,3,"PARMESHWARI DASS","M","IND",6357,NA,NA,30689,65866,"PALAMPUR","GEN",NA,NA,4,46.59,20.71,"no",4364,14.22,"","","","",""
"Punjab",1962,2,3,1,3,4,"BHAGI RAM","M","IND",1993,NA,NA,30689,65866,"PALAMPUR","GEN",NA,NA,4,46.59,6.49,"no",0,0,"","","","",""
"Punjab",1962,2,3,1,4,1,"AMAR NATH","M","INC",11436,NA,NA,30789,67476,"KANGRA","GEN",NA,NA,8,45.63,37.14,"no",305,0.99,"","UPPER CASTE","HINDU","BRAHMIN","BRAHMIN"
"Punjab",1962,2,3,1,4,2,"DURGA CHAND","M","JS",11131,NA,NA,30789,67476,"KANGRA","GEN",NA,NA,8,45.63,36.15,"no",8068,26.2,"","","","",""
"Punjab",1962,2,3,1,4,3,"DHANI RAM","M","IND",3063,NA,NA,30789,67476,"KANGRA","GEN",NA,NA,8,45.63,9.95,"no",998,3.24,"","","","",""
"Punjab",1962,2,3,1,4,4,"BIDHI SINGH","M","IND",2065,NA,NA,30789,67476,"KANGRA","GEN",NA,NA,8,45.63,6.71,"no",972,3.16,"","","","",""
"Punjab",1962,2,3,1,4,5,"CHANDER SHEIKHAR","M","IND",1093,NA,NA,30789,67476,"KANGRA","GEN",NA,NA,8,45.63,3.55,"no",46,0.15,"","","","",""
"Punjab",1962,2,3,1,4,6,"POHLO RAM","M","IND",1047,NA,NA,30789,67476,"KANGRA","GEN",NA,NA,8,45.63,3.4,"no",374,1.21,"","","","",""
"Punjab",1962,2,3,1,4,7,"CHANDAR MANI","M","IND",673,NA,NA,30789,67476,"KANGRA","GEN",NA,NA,8,45.63,2.19,"no",392,1.27,"","","","",""
"Punjab",1962,2,3,1,4,8,"SANT RAM","M","PSP",281,NA,NA,30789,67476,"KANGRA","GEN",NA,NA,8,45.63,0.91,"no",0,0,"","","","",""
"Punjab",1962,2,3,1,5,1,"HARI RAM","M","INC",15459,NA,NA,21161,53801,"DHARAMSALA","GEN",NA,NA,2,39.33,73.05,"no",9757,46.11,"1 OTHERS","UPPER CASTE","HINDU","1 OTHERS",""
"Punjab",1962,2,3,1,5,2,"HARI KISHAN","M","IND",5702,NA,NA,21161,53801,"DHARAMSALA","GEN",NA,NA,2,39.33,26.95,"no",0,0,"","","","",""
"Punjab",1962,2,3,1,6,1,"RAM CHANDRA","M","INC",12811,NA,NA,32194,70561,"NURPUR","GEN",NA,NA,6,45.63,39.79,"no",1719,5.34,"","NOT ASCERTAINED","HINDU","",""
"Punjab",1962,2,3,1,6,2,"SUDARSHAN SINGH","M","IND",11092,NA,NA,32194,70561,"NURPUR","GEN",NA,NA,6,45.63,34.45,"no",7400,22.99,"","","","",""
"Punjab",1962,2,3,1,6,3,"TILAK RAJ","M","CPI",3692,NA,NA,32194,70561,"NURPUR","GEN",NA,NA,6,45.63,11.47,"no",1961,6.09,"","","","",""
"Punjab",1962,2,3,1,6,4,"DHANI RAM","M","IND",1731,NA,NA,32194,70561,"NURPUR","GEN",NA,NA,6,45.63,5.38,"no",95,0.3,"","","","",""
"Punjab",1962,2,3,1,6,5,"JHANDU RAM","M","IND",1636,NA,NA,32194,70561,"NURPUR","GEN",NA,NA,6,45.63,5.08,"no",404,1.25,"","","","",""
"Punjab",1962,2,3,1,6,6,"ROMAL SINGH","M","IND",1232,NA,NA,32194,70561,"NURPUR","GEN",NA,NA,6,45.63,3.83,"no",0,0,"","","","",""
"Punjab",1962,2,3,1,7,1,"MEHAR SINGH","M","INC",10594,NA,NA,31675,72785,"DERA GOPIPUR","GEN",NA,NA,5,43.52,33.45,"no",1659,5.24,"1 OTHERS","UPPER CASTE","HINDU","1 OTHERS",""
"Punjab",1962,2,3,1,7,2,"CHURA MANI","M","IND",8935,NA,NA,31675,72785,"DERA GOPIPUR","GEN",NA,NA,5,43.52,28.21,"no",2420,7.64,"","","","",""
"Punjab",1962,2,3,1,7,3,"PARAS RAM S/O JAI KARAN DASS","M","CPI",6515,NA,NA,31675,72785,"DERA GOPIPUR","GEN",NA,NA,5,43.52,20.57,"no",3309,10.45,"","","","",""
"Punjab",1962,2,3,1,7,4,"PARAS RAM S/O JANTU","M","IND",3206,NA,NA,31675,72785,"DERA GOPIPUR","GEN",NA,NA,5,43.52,10.12,"no",781,2.47,"","","","",""
"Punjab",1962,2,3,1,7,5,"PARMODH SINGH","M","IND",2425,NA,NA,31675,72785,"DERA GOPIPUR","GEN",NA,NA,5,43.52,7.66,"no",0,0,"","","","",""
"Punjab",1962,2,3,1,8,1,"RUP SINGH PHUL","M","INC",14481,NA,NA,20340,68380,"HAMIRPUR","SC",NA,NA,3,29.75,71.19,"no",9183,45.15,"4 OTHERS","SC","HINDU","4 OTHERS",""
"Punjab",1962,2,3,1,8,2,"SHANKAR SINGH","M","REP",5298,NA,NA,20340,68380,"HAMIRPUR","SC",NA,NA,3,29.75,26.05,"no",4737,23.29,"4 OTHERS","SC","","",""
"Punjab",1962,2,3,1,8,3,"JAGAT SINGH","M","IND",561,NA,NA,20340,68380,"HAMIRPUR","SC",NA,NA,3,29.75,2.76,"no",0,0,"4 OTHERS","SC","","",""
