"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Punjab",1962,100,1,"PHILLAUR","HARI SINGH",NA,"6 SIKH","NOT ASCERTAINED","SIKH","6 SIKH","6 SIKH"
"Punjab",1962,100,2,"PHILLAUR","LEKH RAJ",NA,"","","","",""
"Punjab",1962,100,3,"PHILLAUR","JAGAT SINGH",NA,"","","","",""
"Punjab",1962,100,4,"PHILLAUR","GIRDHARI LAL",NA,"","","","",""
"Punjab",1962,10,1,"NALAGARH","DASONDHI RAM",NA,"4 OTHERS","SC","HINDU","4 OTHERS",""
"Punjab",1962,101,1,"NURMAHAL","DARBARA SINGH",NA,"6 SIKH","NOT ASCERTAINED","SIKH","6 SIKH","6 SIKH"
"Punjab",1962,101,2,"NURMAHAL","HARIKISHAN SINGH",NA,"","","","",""
"Punjab",1962,101,3,"NURMAHAL","TARA KESH",NA,"","","","",""
"Punjab",1962,10,2,"NALAGARH","ROSHAN LAL",NA,"4 OTHERS","SC","","",""
"Punjab",1962,102,1,"NAKODAR","DARSHAN SINGH",NA,"6 SIKH","NOT ASCERTAINED","SIKH","6 SIKH","6 SIKH"
"Punjab",1962,102,2,"NAKODAR","PRITAM SINGH",NA,"","","","",""
"Punjab",1962,102,3,"NAKODAR","BAKHTAWAR SINGH",NA,"","","","",""
"Punjab",1962,102,4,"NAKODAR","BALDEV MITTER",NA,"","","","",""
"Punjab",1962,102,5,"NAKODAR","MALKIAT SINGH",NA,"","","","",""
"Punjab",1962,102,6,"NAKODAR","JAGIRI LAL",NA,"","","","",""
"Punjab",1962,102,7,"NAKODAR","REHMAT MASSIH",NA,"","","","",""
"Punjab",1962,10,3,"NALAGARH","SOM NATH",NA,"4 OTHERS","SC","","",""
"Punjab",1962,103,1,"SHAHKOT","DALIP SINGH",NA,"4 OTHERS","SC","SIKH","4 OTHERS",""
"Punjab",1962,103,2,"SHAHKOT","SANT RAM",NA,"4 OTHERS","SC","","",""
"Punjab",1962,103,3,"SHAHKOT","DHANPAT RAI",NA,"4 OTHERS","SC","","",""
"Punjab",1962,10,4,"NALAGARH","SARWAN SINGH S/O HARNAM SINGH",NA,"4 OTHERS","SC","","",""
"Punjab",1962,104,1,"JULLUNDUR CONTONMENT","KARAM SINGH KIRTI",NA,"6 SIKH","NOT ASCERTAINED","SIKH","6 SIKH","6 SIKH"
"Punjab",1962,104,2,"JULLUNDUR CONTONMENT","GOPAL SINGH",NA,"","","","",""
"Punjab",1962,104,3,"JULLUNDUR CONTONMENT","OM PARKASH",NA,"","","","",""
"Punjab",1962,104,4,"JULLUNDUR CONTONMENT","NASIB CHAND",NA,"","","","",""
"Punjab",1962,104,5,"JULLUNDUR CONTONMENT","PRAN NATH",NA,"","","","",""
"Punjab",1962,104,6,"JULLUNDUR CONTONMENT","KARAM SINGH",NA,"","","","",""
"Punjab",1962,10,5,"NALAGARH","SANT RAM",NA,"4 OTHERS","SC","","",""
"Punjab",1962,105,1,"JULLUNDUR CITY SOUTH WEST","YASH PAUL",NA,"","NOT ASCERTAINED","HINDU","",""
"Punjab",1962,105,2,"JULLUNDUR CITY SOUTH WEST","JAGDISH NARAIN",NA,"","","","",""
"Punjab",1962,105,3,"JULLUNDUR CITY SOUTH WEST","BHAGAT SINGH",NA,"","","","",""
"Punjab",1962,105,4,"JULLUNDUR CITY SOUTH WEST","JAGAT NARAIN",NA,"","","","",""
"Punjab",1962,105,5,"JULLUNDUR CITY SOUTH WEST","ABNASH CHANDER",NA,"","","","",""
"Punjab",1962,10,6,"NALAGARH","BHAN SINGH",NA,"4 OTHERS","SC","","",""
"Punjab",1962,106,1,"JULLUNDUR CITY NORTH EAST","RAM KISHAN",NA,"","NOT ASCERTAINED","HINDU","",""
"Punjab",1962,106,2,"JULLUNDUR CITY NORTH EAST","DURGA DATT",NA,"","","","",""
"Punjab",1962,106,3,"JULLUNDUR CITY NORTH EAST","JASWANT SINGH",NA,"","","","",""
"Punjab",1962,106,4,"JULLUNDUR CITY NORTH EAST","KRIPAL SINGH",NA,"","","","",""
"Punjab",1962,10,7,"NALAGARH","SARWAN SINGH S/O JAIMAL SINGH",NA,"4 OTHERS","SC","","",""
"Punjab",1962,107,1,"KARTARPUR","GURBANTA SINGH",NA,"4 OTHERS","SC","SIKH","4 OTHERS",""
"Punjab",1962,107,2,"KARTARPUR","PIARA RAM",NA,"4 OTHERS","SC","","",""
"Punjab",1962,108,1,"KAPURTHALA","LAKHI SINGH",NA,"6 SIKH","NOT ASCERTAINED","SIKH","6 SIKH","6 SIKH"
"Punjab",1962,108,2,"KAPURTHALA","HARNAM SINGH",NA,"","","","",""
"Punjab",1962,108,3,"KAPURTHALA","VIR VIKRAM",NA,"","","","",""
"Punjab",1962,109,1,"SULTANPUR","BALWANT SINGH S/O SUNDER SINGH",NA,"6 SIKH","NOT ASCERTAINED","SIKH","6 SIKH","6 SIKH"
"Punjab",1962,109,2,"SULTANPUR","ATMA SINGH",NA,"","","","",""
