"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Punjab",1962,1,"LAL CHAND","M","IND",8282,NA,NA,1
"Punjab",1962,1,"RAGHUVIR SINGH","M","INC",6862,NA,NA,2
"Punjab",1962,1,"RAJ KRISHAN","M","IND",3603,NA,NA,3
"Punjab",1962,1,"NAWAL KISHORE","M","IND",1490,NA,NA,4
"Punjab",1962,1,"GAUTAMA NATH","M","IND",536,NA,NA,5
"Punjab",1962,2,"BANSI RAM","M","IND",5755,NA,NA,1
"Punjab",1962,2,"JIT RAM","M","INC",3929,NA,NA,2
"Punjab",1962,2,"PULKU","M","IND",957,NA,NA,3
"Punjab",1962,3,"PRATAP SINGH","M","INC",11757,NA,NA,1
"Punjab",1962,3,"BANSI RAM","M","CPI",10582,NA,NA,2
"Punjab",1962,3,"PARMESHWARI DASS","M","IND",6357,NA,NA,3
"Punjab",1962,3,"BHAGI RAM","M","IND",1993,NA,NA,4
"Punjab",1962,4,"AMAR NATH","M","INC",11436,NA,NA,1
"Punjab",1962,4,"DURGA CHAND","M","JS",11131,NA,NA,2
"Punjab",1962,4,"DHANI RAM","M","IND",3063,NA,NA,3
"Punjab",1962,4,"BIDHI SINGH","M","IND",2065,NA,NA,4
"Punjab",1962,4,"CHANDER SHEIKHAR","M","IND",1093,NA,NA,5
"Punjab",1962,4,"POHLO RAM","M","IND",1047,NA,NA,6
"Punjab",1962,4,"CHANDAR MANI","M","IND",673,NA,NA,7
"Punjab",1962,4,"SANT RAM","M","PSP",281,NA,NA,8
"Punjab",1962,5,"HARI RAM","M","INC",15459,NA,NA,1
"Punjab",1962,5,"HARI KISHAN","M","IND",5702,NA,NA,2
"Punjab",1962,6,"RAM CHANDRA","M","INC",12811,NA,NA,1
"Punjab",1962,6,"SUDARSHAN SINGH","M","IND",11092,NA,NA,2
"Punjab",1962,6,"TILAK RAJ","M","CPI",3692,NA,NA,3
"Punjab",1962,6,"DHANI RAM","M","IND",1731,NA,NA,4
"Punjab",1962,6,"JHANDU RAM","M","IND",1636,NA,NA,5
"Punjab",1962,6,"ROMAL SINGH","M","IND",1232,NA,NA,6
"Punjab",1962,7,"MEHAR SINGH","M","INC",10594,NA,NA,1
"Punjab",1962,7,"CHURA MANI","M","IND",8935,NA,NA,2
"Punjab",1962,7,"PARAS RAM S/O JAI KARAN DASS","M","CPI",6515,NA,NA,3
"Punjab",1962,7,"PARAS RAM S/O JANTU","M","IND",3206,NA,NA,4
"Punjab",1962,7,"PARMODH SINGH","M","IND",2425,NA,NA,5
"Punjab",1962,8,"RUP SINGH PHUL","M","INC",14481,NA,NA,1
"Punjab",1962,8,"SHANKAR SINGH","M","REP",5298,NA,NA,2
"Punjab",1962,8,"JAGAT SINGH","M","IND",561,NA,NA,3
"Punjab",1962,9,"SARLA DEVI","F","INC",25285,NA,NA,1
"Punjab",1962,9,"BHAG SINGH","M","IND",13907,NA,NA,2
"Punjab",1962,10,"DASONDHI RAM","M","IND",14501,NA,NA,1
"Punjab",1962,10,"ROSHAN LAL","M","INC",8175,NA,NA,2
"Punjab",1962,10,"SOM NATH","M","JS",4363,NA,NA,3
"Punjab",1962,10,"SARWAN SINGH S/O HARNAM SINGH","M","IND",1996,NA,NA,4
"Punjab",1962,10,"SANT RAM","M","REP",1763,NA,NA,5
"Punjab",1962,10,"BHAN SINGH","M","IND",679,NA,NA,6
"Punjab",1962,10,"SARWAN SINGH S/O JAIMAL SINGH","M","IND",258,NA,NA,7
"Punjab",1962,11,"SHAMSHER SINGH","M","CPI",13542,NA,NA,1
"Punjab",1962,11,"SADHU SINGH","M","INC",12192,NA,NA,2
"Punjab",1962,11,"BABU RAM","M","IND",4688,NA,NA,3
"Punjab",1962,11,"RAJINDAR SINGH","M","IND",4412,NA,NA,4
"Punjab",1962,11,"NARINDAR NATH","M","IND",904,NA,NA,5
"Punjab",1962,12,"AJAIB SINGH","M","AD",19592,NA,NA,1
"Punjab",1962,12,"PRITHVI SINGH AZAD","M","INC",19320,NA,NA,2
"Punjab",1962,12,"PIARA SINGH","M","IND",1083,NA,NA,3
"Punjab",1962,12,"FAQIR CHAND","M","IND",341,NA,NA,4
"Punjab",1962,13,"NARINJAN SINGH TALIB","M","INC",24418,NA,NA,1
"Punjab",1962,13,"AMRIK SINGH","M","IND",17946,NA,NA,2
"Punjab",1962,13,"GURBAKSH SINGH","M","CPI",10176,NA,NA,3
"Punjab",1962,13,"RAM MURTI","M","JS",7596,NA,NA,4
"Punjab",1962,13,"KHARAK SINGH","M","IND",1428,NA,NA,5
"Punjab",1962,13,"PIYARA SINGH","M","IND",787,NA,NA,6
"Punjab",1962,14,"JAGJIT SINGH","M","IND",26903,NA,NA,1
"Punjab",1962,14,"SADHU RAM","M","INC",18422,NA,NA,2
"Punjab",1962,15,"GULAB SINGH","M","INC",17782,NA,NA,1
"Punjab",1962,15,"TELU RAM","M","CPI",10217,NA,NA,2
"Punjab",1962,15,"PURAN SINGH","M","JS",9731,NA,NA,3
"Punjab",1962,15,"HOSHIARA","M","IND",908,NA,NA,4
"Punjab",1962,15,"RAM DIYA","M","IND",769,NA,NA,5
"Punjab",1962,16,"SHANNO DEVI","F","INC",17791,NA,NA,1
"Punjab",1962,16,"INDER SAIN","M","JS",12801,NA,NA,2
"Punjab",1962,16,"JAI GOPAL","M","PSP",10663,NA,NA,3
"Punjab",1962,16,"DURGA DASS","M","SWA",1073,NA,NA,4
"Punjab",1962,16,"CHAMAN LAL","M","IND",586,NA,NA,5
"Punjab",1962,16,"PARMA NAND","M","IND",394,NA,NA,6
"Punjab",1962,16,"CHAMAN LAL LUTHRA","M","IND",356,NA,NA,7
"Punjab",1962,17,"RAM PARKASH","M","INC",22674,NA,NA,1
"Punjab",1962,17,"RAM PARSHAD","M","REP",8423,NA,NA,2
"Punjab",1962,17,"INDER RAJ","M","JS",5938,NA,NA,3
"Punjab",1962,17,"SADHU RAM","M","PSP",1929,NA,NA,4
"Punjab",1962,17,"KHAZAN SINGH","M","SWA",1192,NA,NA,5
"Punjab",1962,17,"DHARAM PAL","M","IND",842,NA,NA,6
"Punjab",1962,18,"DEV RAJ","M","INC",17348,NA,NA,1
"Punjab",1962,18,"SOHAN LAL","M","JS",13056,NA,NA,2
"Punjab",1962,18,"JAGAN NATH","M","IND",2138,NA,NA,3
"Punjab",1962,18,"DAYA SINGH","M","IND",549,NA,NA,4
"Punjab",1962,19,"ABDUL GHAFFAR KHAN","M","INC",19750,NA,NA,1
"Punjab",1962,19,"RAGHBIR SHARAN","M","JS",15210,NA,NA,2
"Punjab",1962,19,"KARTAR SINGH","M","AD",9820,NA,NA,3
"Punjab",1962,19,"ROSHAN LAL","M","IND",1022,NA,NA,4
"Punjab",1962,19,"OM PARKASH","M","IND",650,NA,NA,5
"Punjab",1962,20,"GIAN CHAND","M","INC",10185,NA,NA,1
"Punjab",1962,20,"GAURI SHANKAR","M","PSP",4857,NA,NA,2
"Punjab",1962,20,"PRAKASH CHAND","M","IND",3710,NA,NA,3
"Punjab",1962,20,"TEK CHAND","M","JS",3622,NA,NA,4
"Punjab",1962,20,"SHIV DATT","M","IND",341,NA,NA,5
"Punjab",1962,20,"BASHESHAR DAYAL","M","IND",278,NA,NA,6
"Punjab",1962,20,"LAJJA","F","IND",120,NA,NA,7
"Punjab",1962,20,"SHAKUNTLA","F","SWA",94,NA,NA,8
"Punjab",1962,21,"BENARSI DASS","M","INC",15726,NA,NA,1
"Punjab",1962,21,"BARYAM SINGH","M","JS",15511,NA,NA,2
"Punjab",1962,21,"BALDEV SINGH","M","SWA",7418,NA,NA,3
"Punjab",1962,21,"VIRENDRA KUMAR","M","PSP",2832,NA,NA,4
"Punjab",1962,21,"RANJIT SINGH","M","IND",2607,NA,NA,5
"Punjab",1962,21,"HARNAM SINGH","M","CPI",1967,NA,NA,6
"Punjab",1962,21,"JOGINDER SINGH","M","IND",765,NA,NA,7
"Punjab",1962,21,"ATMA RAM","M","IND",447,NA,NA,8
"Punjab",1962,22,"RAN SINGH","M","INC",18092,NA,NA,1
"Punjab",1962,22,"OM PARKASH","M","JS",16495,NA,NA,2
"Punjab",1962,22,"SUNDER LAL","M","IND",2899,NA,NA,3
"Punjab",1962,22,"RAM DIYA","M","IND",1814,NA,NA,4
"Punjab",1962,22,"SHIV LAL","M","SWA",1560,NA,NA,5
"Punjab",1962,22,"BHARATU","M","IND",1220,NA,NA,6
"Punjab",1962,22,"BAL MUKAND","M","REP",1115,NA,NA,7
"Punjab",1962,22,"MARU","M","IND",794,NA,NA,8
"Punjab",1962,22,"NANDI KISHORE","M","IND",699,NA,NA,9
"Punjab",1962,23,"RAM PIARA","M","INC",19679,NA,NA,1
"Punjab",1962,23,"BALBIR SINGH","M","JS",14851,NA,NA,2
"Punjab",1962,23,"SUMER CHAND","M","REP",894,NA,NA,3
"Punjab",1962,23,"AMAR SINGH","M","IND",351,NA,NA,4
"Punjab",1962,24,"MALTAN SINGH","M","INC",18094,NA,NA,1
"Punjab",1962,24,"SHIV RAM","M","SWA",14116,NA,NA,2
"Punjab",1962,24,"AJIT SINGH","M","CPI",7703,NA,NA,3
"Punjab",1962,24,"NARENDRA NATH","M","IND",3953,NA,NA,4
"Punjab",1962,24,"BANWARI LAL","M","IND",1929,NA,NA,5
"Punjab",1962,24,"CHATTAR SINGH","M","IND",1524,NA,NA,6
"Punjab",1962,24,"RAM SARUP","M","IND",1003,NA,NA,7
"Punjab",1962,25,"PYARA SINGH","M","INC",26321,NA,NA,1
"Punjab",1962,25,"NARSINGH DASS","M","IND",18425,NA,NA,2
"Punjab",1962,25,"RANVIR SINGH","M","JS",12278,NA,NA,3
"Punjab",1962,25,"VIR SINGH","M","IND",3946,NA,NA,4
"Punjab",1962,25,"HARBILAS","M","IND",877,NA,NA,5
"Punjab",1962,26,"OM PRABHA","F","INC",22183,NA,NA,1
"Punjab",1962,26,"BARU RAM","M","JS",15595,NA,NA,2
"Punjab",1962,26,"ABNASH CHANDER","M","SWA",11862,NA,NA,3
"Punjab",1962,27,"FAKIRIA","M","SWA",19065,NA,NA,1
"Punjab",1962,27,"BHAGAT RAM","M","INC",16838,NA,NA,2
"Punjab",1962,27,"DHANNA","M","JS",3895,NA,NA,3
"Punjab",1962,27,"BHALE RAM","M","IND",2492,NA,NA,4
"Punjab",1962,28,"PARASANNI DEVI","F","INC",29095,NA,NA,1
"Punjab",1962,28,"JAGJIT SINGH","M","SWA",20607,NA,NA,2
"Punjab",1962,28,"KASTURI LAL","M","IND",3574,NA,NA,3
"Punjab",1962,28,"JAI BHAGWAN","M","JS",1872,NA,NA,4
"Punjab",1962,28,"PAJABA","M","IND",842,NA,NA,5
"Punjab",1962,28,"GHISA","M","IND",633,NA,NA,6
"Punjab",1962,28,"MAI LAL","M","IND",322,NA,NA,7
"Punjab",1962,28,"KISHAN LAL","M","IND",198,NA,NA,8
"Punjab",1962,28,"RAN SINGH","M","IND",149,NA,NA,9
"Punjab",1962,29,"RAM SINGH","M","SWA",21961,NA,NA,1
"Punjab",1962,29,"DAL SINGH","M","INC",16188,NA,NA,2
"Punjab",1962,29,"GITA RAM","M","JS",4249,NA,NA,3
"Punjab",1962,29,"MAMAN","M","REP",1602,NA,NA,4
"Punjab",1962,29,"BHAGWAT SARUP","M","IND",994,NA,NA,5
"Punjab",1962,30,"INDER SINGH","M","IND",18279,NA,NA,1
"Punjab",1962,30,"SHRI KRISHAN","M","INC",17520,NA,NA,2
"Punjab",1962,30,"SOBHA SINGH","M","IND",6887,NA,NA,3
"Punjab",1962,30,"GHASI RAM","M","IND",4172,NA,NA,4
"Punjab",1962,30,"JAI NARAIN","M","IND",2853,NA,NA,5
"Punjab",1962,30,"RAM CHANDRA","M","IND",1962,NA,NA,6
"Punjab",1962,30,"RAM CHANDER","M","IND",1348,NA,NA,7
"Punjab",1962,30,"SURAT SINGH","M","IND",478,NA,NA,8
"Punjab",1962,31,"RAM PAL SINGH","M","IND",18755,NA,NA,1
"Punjab",1962,31,"GOPI CHAND","M","INC",11258,NA,NA,2
"Punjab",1962,31,"SHRI KRISHAN","M","IND",3494,NA,NA,3
"Punjab",1962,31,"RICHHPAL SINGH","M","IND",2753,NA,NA,4
"Punjab",1962,31,"SATYAPAL SINGH","M","CPI",1164,NA,NA,5
"Punjab",1962,31,"CHHAJJU","M","IND",1162,NA,NA,6
"Punjab",1962,32,"RULYA RAM","M","SWA",23164,NA,NA,1
"Punjab",1962,32,"MOOL CHAND","M","INC",17674,NA,NA,2
