"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Punjab",1962,1,"KULU","GEN",52270
"Punjab",1962,2,"SERAJ","SC",49053
"Punjab",1962,3,"PALAMPUR","GEN",65866
"Punjab",1962,4,"KANGRA","GEN",67476
"Punjab",1962,5,"DHARAMSALA","GEN",53801
"Punjab",1962,6,"NURPUR","GEN",70561
"Punjab",1962,7,"DERA GOPIPUR","GEN",72785
"Punjab",1962,8,"HAMIRPUR","SC",68380
"Punjab",1962,9,"BARSAR","GEN",70430
"Punjab",1962,10,"NALAGARH","SC",66564
"Punjab",1962,11,"RUPAR","GEN",57369
"Punjab",1962,12,"MORINDA","SC",59029
"Punjab",1962,13,"CHANDIGARH","GEN",100077
"Punjab",1962,14,"NARAINGARH","GEN",63319
"Punjab",1962,15,"SADHAURA","GEN",58761
"Punjab",1962,16,"JAGADHRI","GEN",74870
"Punjab",1962,17,"MOLANA","SC",72498
"Punjab",1962,18,"AMBALA CANTONMENT","GEN",52825
"Punjab",1962,19,"AMBALA CITY","GEN",67671
"Punjab",1962,20,"SIMLA","GEN",58314
"Punjab",1962,21,"THANESAR","GEN",67534
"Punjab",1962,22,"RADAUR","SC",76273
"Punjab",1962,23,"KARNAL","GEN",56130
"Punjab",1962,24,"BUTANA","GEN",72551
"Punjab",1962,25,"PEHOWA","GEN",102468
"Punjab",1962,26,"KAITHAL","GEN",73923
"Punjab",1962,27,"NARWANA","SC",66432
"Punjab",1962,28,"RAJAUND","GEN",79180
"Punjab",1962,29,"JIND","GEN",66869
"Punjab",1962,30,"SAFIDON","GEN",75284
"Punjab",1962,31,"PUNDRI","GEN",56852
"Punjab",1962,32,"GHARAUNDA","GEN",63414
"Punjab",1962,33,"PANIPAT","GEN",69158
"Punjab",1962,34,"SAMBHALKA","GEN",69641
"Punjab",1962,35,"GANAUR","GEN",71803
"Punjab",1962,36,"SONEPAT","GEN",63133
"Punjab",1962,37,"RAI","GEN",64354
"Punjab",1962,38,"BAHADURGARH","GEN",77494
"Punjab",1962,39,"SAMPLA","GEN",64656
"Punjab",1962,40,"ROHTAK","GEN",66962
"Punjab",1962,41,"GOHANA","GEN",63233
"Punjab",1962,42,"MEHAM","SC",63110
"Punjab",1962,43,"KALANAUR","GEN",73866
"Punjab",1962,44,"JHAJJAR","GEN",76515
"Punjab",1962,45,"SALHAWAS","SC",73900
"Punjab",1962,46,"GURGAON","GEN",62969
"Punjab",1962,47,"BALLABGARH","SC",77330
"Punjab",1962,48,"PALWAL","GEN",74573
"Punjab",1962,49,"HASANPUR","GEN",71542
"Punjab",1962,50,"FEROZEPUR JHIRKA","GEN",73649
"Punjab",1962,51,"NUH","GEN",75098
"Punjab",1962,52,"PATAUDI","GEN",64847
"Punjab",1962,53,"REWARI","GEN",75803
"Punjab",1962,54,"JATUSANA","GEN",73147
"Punjab",1962,55,"KANINA","SC",71601
"Punjab",1962,56,"NARNAUL","GEN",72272
"Punjab",1962,57,"MAHENDRAGARH","GEN",75084
"Punjab",1962,58,"DADRI","GEN",77156
"Punjab",1962,59,"BHIWANI","GEN",68567
"Punjab",1962,60,"TOSHAM","GEN",66725
"Punjab",1962,61,"HISSAR SADAR","GEN",75969
"Punjab",1962,62,"HANSI","GEN",84197
"Punjab",1962,63,"NARNAUND","SC",78951
"Punjab",1962,64,"HISSAR CITY","GEN",78565
"Punjab",1962,65,"TOHANA","GEN",73255
"Punjab",1962,66,"FATEHABAD","GEN",92860
"Punjab",1962,67,"SIRSA","GEN",87016
"Punjab",1962,68,"DABWALI","SC",93424
"Punjab",1962,69,"PAKKA KALAN","SC",65717
"Punjab",1962,70,"TALWANDI SABO","GEN",73855
"Punjab",1962,71,"MANSA","GEN",70494
"Punjab",1962,72,"BUDHLADA","SC",67403
"Punjab",1962,73,"PHUL","GEN",63929
"Punjab",1962,74,"BHATINDA","GEN",72880
"Punjab",1962,75,"JAITU","GEN",69443
"Punjab",1962,76,"FARIDKOT","GEN",73466
"Punjab",1962,77,"MUKTSAR","GEN",83499
"Punjab",1962,78,"MALOUT","GEN",98894
"Punjab",1962,79,"LAMBI","SC",74972
"Punjab",1962,80,"ABOHAR","GEN",72039
"Punjab",1962,81,"FAZILKA","GEN",60549
"Punjab",1962,82,"GURU HAR SAHAI","GEN",72832
"Punjab",1962,83,"FEROZEPUR","GEN",58601
"Punjab",1962,84,"ZIRA","GEN",64205
"Punjab",1962,85,"DHARAMKOT","SC",61869
"Punjab",1962,86,"MOGA","GEN",65321
"Punjab",1962,87,"BAGHAPURANA","SC",70288
"Punjab",1962,88,"NIHAL SINGH WALA","GEN",59468
"Punjab",1962,89,"JAGRAON","GEN",64790
