"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Punjab",4,1,"SUJANPUR","GEN","PATHANKOT","MAJHA","Team3 ELM"
"Punjab",4,2,"BHOA","SC","PATHANKOT","MAJHA","Team3 ELM"
"Punjab",4,3,"PATHANKOT","GEN","PATHANKOT","MAJHA","Team3 ELM"
"Punjab",4,4,"GURDASPUR","GEN","GURDASPUR","MAJHA","Team3 ELM"
"Punjab",4,5,"DINA NAGAR","SC","GURDASPUR","MAJHA","Team3 ELM"
"Punjab",4,6,"QADIAN","GEN","GURDASPUR","MAJHA","Team3 ELM"
"Punjab",4,7,"BATALA","GEN","GURDASPUR","MAJHA","Team3 ELM"
"Punjab",4,8,"SRI HARGOBINDPUR","SC","GURDASPUR","MAJHA","Team3 ELM"
"Punjab",4,9,"FATEHGARH CHURIAN","GEN","GURDASPUR","MAJHA","Team3 ELM"
"Punjab",4,10,"DERA BABA NANAK","GEN","GURDASPUR","MAJHA","Team3 ELM"
"Punjab",4,11,"AJNALA","GEN","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,12,"RAJA SANSI","GEN","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,13,"MAJITHA","GEN","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,14,"JANDIALA","SC","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,15,"AMRITSAR NORTH","GEN","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,16,"AMRITSAR WEST","SC","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,17,"AMRITSAR CENTRAL","GEN","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,18,"AMRITSAR EAST","GEN","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,19,"AMRITSAR SOUTH","GEN","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,20,"ATTARI","SC","AMRITSAR","MAJHA","Team3 ELM"
"Punjab",4,21,"TARN TARAN","GEN","TARN TARAN","MAJHA","Team3 ELM"
"Punjab",4,22,"KHEM KARAN","GEN","TARN TARAN","MAJHA","Team3 ELM"
"Punjab",4,23,"PATTI","GEN","TARN TARAN","MAJHA","Team3 ELM"
"Punjab",4,24,"KHADOOR SAHIB","GEN","TARN TARAN","MAJHA","Team3 ELM"
