"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Rajasthan",1962,1,"PILANI","GEN","HAJARI LAL","IND",18249,1,48.64
"Rajasthan",1962,1,"PILANI","GEN","HARLAL SINGH","INC",10279,2,27.4
"Rajasthan",1962,1,"PILANI","GEN","VISHESHWAR SINGH","CPI",6817,3,18.17
"Rajasthan",1962,1,"PILANI","GEN","MATU RAM","JS",2170,4,5.78
"Rajasthan",1962,2,"SURAJGARH","SC","SHIV NARAIN CHHACHHIA","SWA",11500,1,39.78
"Rajasthan",1962,2,"SURAJGARH","SC","MAHADEO PRASAD","INC",9487,2,32.82
"Rajasthan",1962,2,"SURAJGARH","SC","MOOL CHAND","CPI",6981,3,24.15
"Rajasthan",1962,2,"SURAJGARH","SC","SADUWA","IND",939,4,3.25
"Rajasthan",1962,3,"KHETRI","GEN","SHISI RAM OLA","INC",10626,1,33.31
"Rajasthan",1962,3,"KHETRI","GEN","CHUNI LAL","SWA",10562,2,33.11
"Rajasthan",1962,3,"KHETRI","GEN","JAI SINGH","CPI",5328,3,16.7
"Rajasthan",1962,3,"KHETRI","GEN","TARKESHWAR","IND",4250,4,13.32
"Rajasthan",1962,3,"KHETRI","GEN","MANGE LAL","IND",1137,5,3.56
"Rajasthan",1962,4,"GUDHA","GEN","JIV RAJ","SWA",13303,1,42.55
"Rajasthan",1962,4,"GUDHA","GEN","SHIV NATH SINGH","INC",11457,2,36.65
"Rajasthan",1962,4,"GUDHA","GEN","GYAN PRAKASH","CPI",3378,3,10.8
"Rajasthan",1962,4,"GUDHA","GEN","ONKAR SINGH","JS",1766,4,5.65
"Rajasthan",1962,4,"GUDHA","GEN","DAMODAR PRASAD","IND",1360,5,4.35
"Rajasthan",1962,5,"NAWALGARH","GEN","BHIM SINGH","INC",14083,1,42.54
"Rajasthan",1962,5,"NAWALGARH","GEN","HARI SINGH","IND",7172,2,21.66
"Rajasthan",1962,5,"NAWALGARH","GEN","YATENDRA SINGH","SWA",6871,3,20.75
"Rajasthan",1962,5,"NAWALGARH","GEN","MAM CHAND","CPI",1943,4,5.87
"Rajasthan",1962,5,"NAWALGARH","GEN","SHEOPAL","IND",1890,5,5.71
"Rajasthan",1962,5,"NAWALGARH","GEN","SHANKAR LAL","JS",901,6,2.72
"Rajasthan",1962,5,"NAWALGARH","GEN","FAIYAZ ALI KHAN","IND",248,7,0.75
"Rajasthan",1962,6,"JHUNJHUNU","GEN","SUMITRA","INC",17643,1,50.33
"Rajasthan",1962,6,"JHUNJHUNU","GEN","SITA RAM","IND",13347,2,38.08
"Rajasthan",1962,6,"JHUNJHUNU","GEN","MANGAL CHAND","CPI",2324,3,6.63
"Rajasthan",1962,6,"JHUNJHUNU","GEN","SANWAR MAL","JS",1738,4,4.96
"Rajasthan",1962,7,"MANDAWA","GEN","RAGHUVIR SINGH","SWA",15436,1,42.47
"Rajasthan",1962,7,"MANDAWA","GEN","RAM NARAIN","INC",14091,2,38.77
"Rajasthan",1962,7,"MANDAWA","GEN","MOTI SINGH","CPI",6819,3,18.76
"Rajasthan",1962,8,"FATEHPUR","GEN","BABU RAM","IND",14581,1,44.93
"Rajasthan",1962,8,"FATEHPUR","GEN","ABDUL GAFFAR KHAN","INC",6866,2,21.15
"Rajasthan",1962,8,"FATEHPUR","GEN","BANSIDHAR","SWA",3966,3,12.22
"Rajasthan",1962,8,"FATEHPUR","GEN","BALBIR SINGH","CPI",3278,4,10.1
"Rajasthan",1962,8,"FATEHPUR","GEN","SATTAR","IND",1448,5,4.46
"Rajasthan",1962,8,"FATEHPUR","GEN","BEHARI LAL","JS",1207,6,3.72
"Rajasthan",1962,8,"FATEHPUR","GEN","CHATURBHUJ","IND",959,7,2.95
"Rajasthan",1962,8,"FATEHPUR","GEN","IBRAHIM KHAN","IND",151,8,0.47
"Rajasthan",1962,9,"LACHHMANGARH","GEN","KISHANSINGH","INC",9923,1,28.3
"Rajasthan",1962,9,"LACHHMANGARH","GEN","TRILOK SINGH","CPI",9410,2,26.84
"Rajasthan",1962,9,"LACHHMANGARH","GEN","NARAIN SINGH","SWA",8599,3,24.52
"Rajasthan",1962,9,"LACHHMANGARH","GEN","DURGA DUTT JALAN","IND",2889,4,8.24
"Rajasthan",1962,9,"LACHHMANGARH","GEN","PERMARAM","IND",1162,5,3.31
"Rajasthan",1962,9,"LACHHMANGARH","GEN","MANMATH KAMER","IND",1066,6,3.04
"Rajasthan",1962,9,"LACHHMANGARH","GEN","ISHAR","IND",889,7,2.54
"Rajasthan",1962,9,"LACHHMANGARH","GEN","BAIJNATH","IND",818,8,2.33
"Rajasthan",1962,9,"LACHHMANGARH","GEN","RAM KUMAR","IND",308,9,0.88
"Rajasthan",1962,10,"SIKAR","GEN","SWAROOP NARAIN","INC",13749,1,43.23
"Rajasthan",1962,10,"SIKAR","GEN","JAGDISH PRASAD","JS",7805,2,24.54
"Rajasthan",1962,10,"SIKAR","GEN","MOHAN LAL","CPI",7087,3,22.28
"Rajasthan",1962,10,"SIKAR","GEN","ARJUN","IND",1408,4,4.43
"Rajasthan",1962,10,"SIKAR","GEN","SIRAJ AHMAD","IND",467,5,1.47
"Rajasthan",1962,10,"SIKAR","GEN","BHINWRAJ","SWA",399,6,1.25
"Rajasthan",1962,10,"SIKAR","GEN","FAIYAZ","IND",360,7,1.13
"Rajasthan",1962,10,"SIKAR","GEN","MANIR KHAN","IND",297,8,0.93
"Rajasthan",1962,10,"SIKAR","GEN","SHIV BHAGWAN","IND",231,9,0.73
"Rajasthan",1962,11,"SINGRAWAT","GEN","RAM DEO SINGH","INC",10432,1,37.79
"Rajasthan",1962,11,"SINGRAWAT","GEN","GORDHARN SINGH","JS",7470,2,27.06
"Rajasthan",1962,11,"SINGRAWAT","GEN","KUMAR NARAIN","CPI",5344,3,19.36
"Rajasthan",1962,11,"SINGRAWAT","GEN","BHOPAL SINGH","SWA",2004,4,7.26
"Rajasthan",1962,11,"SINGRAWAT","GEN","KUSHLA","IND",1722,5,6.24
