"state","year","month","party","seats"
"Rajasthan",1962,2,"CPI","2.84"
"Rajasthan",1967,2,"CPI","0.54"
"Rajasthan",1972,2,"CPI","2.17"
"Rajasthan",1977,2,"CPI","0.5"
"Rajasthan",1980,2,"CPI","0.5"
"Rajasthan",1985,2,"CPI","0.5"
"Rajasthan",1990,2,"CPI","0"
"Rajasthan",1993,2,"CPI","0"
"Rajasthan",1998,2,"CPI","0"
"Rajasthan",2003,2,"CPI","0"
"Rajasthan",2008,2,"CPI","0"
"Rajasthan",2013,2,"CPI","0"
"Rajasthan",1962,2,"JS","8.52"
"Rajasthan",1962,2,"IND","12.5"
"Rajasthan",1967,2,"IND","8.7"
"Rajasthan",1972,2,"IND","5.98"
"Rajasthan",1977,2,"IND","2.5"
"Rajasthan",1980,2,"IND","6"
"Rajasthan",1985,2,"IND","5"
"Rajasthan",1990,2,"IND","4.5"
"Rajasthan",1993,2,"IND","10.55"
"Rajasthan",1998,2,"IND","3.5"
"Rajasthan",2003,2,"IND","6.5"
"Rajasthan",2008,2,"IND","7"
"Rajasthan",2013,2,"IND","3.5"
"Rajasthan",1962,2,"SWA","20.45"
"Rajasthan",1967,2,"SWA","26.09"
"Rajasthan",1972,2,"SWA","5.98"
"Rajasthan",1962,2,"INC","50"
"Rajasthan",1967,2,"INC","48.37"
"Rajasthan",1972,2,"INC","78.8"
"Rajasthan",1977,2,"INC","20.5"
"Rajasthan",1985,2,"INC","56.5"
"Rajasthan",1990,2,"INC","25"
"Rajasthan",1993,2,"INC","38.19"
"Rajasthan",1998,2,"INC","76.5"
"Rajasthan",2003,2,"INC","28"
"Rajasthan",2008,2,"INC","48"
"Rajasthan",2013,2,"INC","10.5"
"Rajasthan",1967,2,"BJS","11.96"
"Rajasthan",1972,2,"BJS","4.35"
"Rajasthan",1990,2,"BJS","0"
"Rajasthan",1993,2,"BJS","0"
"Rajasthan",1967,2,"SSP","4.35"
"Rajasthan",1993,2,"SSP","0"
"Rajasthan",1967,2,"CPM","0"
"Rajasthan",1972,2,"CPM","0"
"Rajasthan",1977,2,"CPM","0.5"
"Rajasthan",1980,2,"CPM","0.5"
"Rajasthan",1985,2,"CPM","0"
"Rajasthan",1990,2,"CPM","0.5"
"Rajasthan",1993,2,"CPM","0.5"
"Rajasthan",1998,2,"CPM","0.5"
"Rajasthan",2003,2,"CPM","0.5"
"Rajasthan",2008,2,"CPM","1.5"
"Rajasthan",2013,2,"CPM","0"
"Rajasthan",1977,2,"JNP","76"
"Rajasthan",1985,2,"JNP","5"
"Rajasthan",1980,2,"BJP","16"
"Rajasthan",1985,2,"BJP","19.5"
"Rajasthan",1990,2,"BJP","42.5"
"Rajasthan",1993,2,"BJP","47.74"
"Rajasthan",1998,2,"BJP","16.5"
"Rajasthan",2003,2,"BJP","60"
"Rajasthan",2008,2,"BJP","39"
"Rajasthan",2013,2,"BJP","81.5"
"Rajasthan",1980,2,"JNP(SC)","3.5"
"Rajasthan",1980,2,"INC(I)","66.5"
"Rajasthan",1980,2,"JNP(JP)","4"
"Rajasthan",1990,2,"JNP(JP)","0"
"Rajasthan",1985,2,"LKD","13.5"
"Rajasthan",1993,2,"LKD","0"
"Rajasthan",1990,2,"JD","27.5"
"Rajasthan",1993,2,"JD","3.02"
"Rajasthan",1998,2,"JD","1.5"
"Rajasthan",1990,2,"BSP","0"
"Rajasthan",1993,2,"BSP","0"
"Rajasthan",1998,2,"BSP","1"
"Rajasthan",2003,2,"BSP","1"
"Rajasthan",2008,2,"BSP","3"
"Rajasthan",2013,2,"BSP","1.5"
"Rajasthan",2003,2,"JD(U)","1"
"Rajasthan",2008,2,"JD(U)","0.5"
"Rajasthan",2013,2,"JD(U)","0"
"Rajasthan",1998,2,"INLD","0"
"Rajasthan",2003,2,"INLD","2"
"Rajasthan",2008,2,"INLD","0"
"Rajasthan",2013,2,"NPEP","2"
