"state","year","month","party","votes"
"Rajasthan",1962,2,"SOC","3.68"
"Rajasthan",1962,2,"JS","9.15"
"Rajasthan",1962,2,"INC","39.98"
"Rajasthan",1967,2,"INC","41.42"
"Rajasthan",1972,2,"INC","51.13"
"Rajasthan",1977,2,"INC","31.51"
"Rajasthan",1985,2,"INC","46.57"
"Rajasthan",1990,2,"INC","33.65"
"Rajasthan",1993,2,"INC","38.27"
"Rajasthan",1998,2,"INC","44.95"
"Rajasthan",2003,2,"INC","35.65"
"Rajasthan",2008,2,"INC","36.84"
"Rajasthan",2013,2,"INC","33.07"
"Rajasthan",1962,2,"CPI","5.4"
"Rajasthan",1967,2,"CPI","0.97"
"Rajasthan",1972,2,"CPI","1.56"
"Rajasthan",1977,2,"CPI","1.11"
"Rajasthan",1980,2,"CPI","0.97"
"Rajasthan",1985,2,"CPI","1.23"
"Rajasthan",1990,2,"CPI","0.82"
"Rajasthan",1993,2,"CPI","0.22"
"Rajasthan",1998,2,"CPI","0.2"
"Rajasthan",2003,2,"CPI","0.19"
"Rajasthan",2008,2,"CPI","0.23"
"Rajasthan",2013,2,"CPI","0.18"
"Rajasthan",1962,2,"IND","20.88"
"Rajasthan",1967,2,"IND","16.27"
"Rajasthan",1972,2,"IND","17.36"
"Rajasthan",1977,2,"IND","15.92"
"Rajasthan",1980,2,"IND","13.07"
"Rajasthan",1985,2,"IND","11.89"
"Rajasthan",1990,2,"IND","14.82"
"Rajasthan",1993,2,"IND","12.89"
"Rajasthan",1998,2,"IND","14.41"
"Rajasthan",2003,2,"IND","11.37"
"Rajasthan",2008,2,"IND","15.03"
"Rajasthan",2013,2,"IND","8.21"
"Rajasthan",1962,2,"SWA","17.11"
"Rajasthan",1967,2,"SWA","22.1"
"Rajasthan",1972,2,"SWA","12.32"
"Rajasthan",1967,2,"SSP","4.76"
"Rajasthan",1993,2,"SSP","0"
"Rajasthan",1967,2,"CPM","1.18"
"Rajasthan",1972,2,"CPM","0.96"
"Rajasthan",1977,2,"CPM","0.75"
"Rajasthan",1980,2,"CPM","1.2"
"Rajasthan",1985,2,"CPM","0.58"
"Rajasthan",1990,2,"CPM","1.03"
"Rajasthan",1993,2,"CPM","0.98"
"Rajasthan",1998,2,"CPM","0.81"
"Rajasthan",2003,2,"CPM","0.77"
"Rajasthan",2008,2,"CPM","1.63"
"Rajasthan",2013,2,"CPM","0.87"
"Rajasthan",1967,2,"BJS","11.69"
"Rajasthan",1972,2,"BJS","12.2"
"Rajasthan",1990,2,"BJS","0.04"
"Rajasthan",1993,2,"BJS","0"
"Rajasthan",1972,2,"SOP","2.44"
"Rajasthan",1990,2,"SOP","0.08"
"Rajasthan",1977,2,"MUL","0.27"
"Rajasthan",1980,2,"MUL","0"
"Rajasthan",1990,2,"MUL","0.02"
"Rajasthan",2003,2,"MUL","0"
"Rajasthan",1977,2,"JNP","50.43"
"Rajasthan",1985,2,"JNP","5.88"
"Rajasthan",1980,2,"JNP(SC)","9.55"
"Rajasthan",1980,2,"JNP(JP)","7.34"
"Rajasthan",1990,2,"JNP(JP)","0.32"
"Rajasthan",1980,2,"INC(U)","5.59"
"Rajasthan",1980,2,"INC(I)","42.97"
"Rajasthan",1980,2,"BJP","18.6"
"Rajasthan",1985,2,"BJP","21.25"
"Rajasthan",1990,2,"BJP","25.26"
"Rajasthan",1993,2,"BJP","38.6"
"Rajasthan",1998,2,"BJP","33.23"
"Rajasthan",2003,2,"BJP","39.2"
"Rajasthan",2008,2,"BJP","34.19"
"Rajasthan",2013,2,"BJP","45.17"
"Rajasthan",1985,2,"LKD","11.86"
"Rajasthan",1993,2,"LKD","0"
"Rajasthan",1990,2,"JD","21.59"
"Rajasthan",1993,2,"JD","6.94"
"Rajasthan",1998,2,"JD","1.97"
"Rajasthan",1990,2,"DDP","0.54"
"Rajasthan",1993,2,"DDP","0.6"
"Rajasthan",1990,2,"BSP","0.79"
"Rajasthan",1993,2,"BSP","0.56"
"Rajasthan",1998,2,"BSP","2.17"
"Rajasthan",2003,2,"BSP","3.97"
"Rajasthan",2008,2,"BSP","7.56"
"Rajasthan",2013,2,"BSP","3.37"
"Rajasthan",1998,2,"INLD","0.52"
"Rajasthan",2003,2,"INLD","2.58"
"Rajasthan",2008,2,"INLD","0.23"
"Rajasthan",2003,2,"RSNM","2.23"
"Rajasthan",2008,2,"LSWP","0.88"
"Rajasthan",2013,2,"NPEP","4.25"
"Rajasthan",2013,2,"NOTA","1.91"
