"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Rajasthan",1962,100,1,"SAGWARA","BHEEKA BHAI",NA,"5 BHIL","ST","H",NA,NA
"Rajasthan",1962,100,2,"SAGWARA","LALSHANKER",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,100,3,"SAGWARA","LALJI",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,10,1,"SIKAR","SWAROOP NARAIN",NA,"1 BRAHMIN","UC","H",NA,NA
"Rajasthan",1962,101,1,"DUNGARPUR","VIJAYPAL",NA,"5 MEENA","ST","H",NA,NA
"Rajasthan",1962,101,2,"DUNGARPUR","RAM CHANDRA",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,101,3,"DUNGARPUR","UDAILAL",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,101,4,"DUNGARPUR","DAULATSINGH",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,10,2,"SIKAR","JAGDISH PRASAD",NA,"","","",NA,NA
"Rajasthan",1962,102,1,"ASPUR","LAKSHMANSINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Rajasthan",1962,102,2,"ASPUR","BHOGILAL",NA,"","","",NA,NA
"Rajasthan",1962,102,3,"ASPUR","SHANKERLAL",NA,"","","",NA,NA
"Rajasthan",1962,102,4,"ASPUR","KAILASHCHANDRA",NA,"","","",NA,NA
"Rajasthan",1962,10,3,"SIKAR","MOHAN LAL",NA,"","","",NA,NA
"Rajasthan",1962,103,1,"LASADIA","UDAILAL",NA,"1 MARWARI","UC","H",NA,NA
"Rajasthan",1962,103,2,"LASADIA","GULABSINGH",NA,"","","",NA,NA
"Rajasthan",1962,103,3,"LASADIA","SAWAISINGH NAGORI",NA,"","","",NA,NA
"Rajasthan",1962,103,4,"LASADIA","BIRBAL",NA,"","","",NA,NA
"Rajasthan",1962,10,4,"SIKAR","ARJUN",NA,"","","",NA,NA
"Rajasthan",1962,104,1,"BHOPALSAGAR","AMRITLAL",NA,"4 HARIJAN","SC","H",NA,NA
"Rajasthan",1962,104,2,"BHOPALSAGAR","BHERULAL",NA,"4 OTHERS","SC","H",NA,NA
"Rajasthan",1962,104,3,"BHOPALSAGAR","RAMLAL",NA,"4 OTHERS","SC","H",NA,NA
"Rajasthan",1962,104,4,"BHOPALSAGAR","RAMCHANDRA",NA,"4 OTHERS","SC","H",NA,NA
"Rajasthan",1962,104,5,"BHOPALSAGAR","HARIRAM",NA,"4 OTHERS","SC","H",NA,NA
"Rajasthan",1962,10,5,"SIKAR","SIRAJ AHMAD",NA,"","","",NA,NA
"Rajasthan",1962,105,1,"MAVLI","SAMPATLAL",NA,"1 BANIA/JAIN","UC","H",NA,NA
"Rajasthan",1962,105,2,"MAVLI","JANARDANRAI",NA,"","","",NA,NA
"Rajasthan",1962,105,3,"MAVLI","NARENDRAPALSINGH",NA,"","","",NA,NA
"Rajasthan",1962,105,4,"MAVLI","SUMERLAL",NA,"","","",NA,NA
"Rajasthan",1962,10,6,"SIKAR","BHINWRAJ",NA,"","","",NA,NA
"Rajasthan",1962,106,1,"RAJSAMAND","NIRANJAN NATH ACHARYA",NA,"1 BRAHMIN","UC","H",NA,NA
"Rajasthan",1962,106,2,"RAJSAMAND","ROSHANLAL BADOLA",NA,"","","",NA,NA
"Rajasthan",1962,106,3,"RAJSAMAND","RAJENDRA SINGH",NA,"","","",NA,NA
"Rajasthan",1962,10,7,"SIKAR","FAIYAZ",NA,"","","",NA,NA
"Rajasthan",1962,107,1,"NATHDWARA","VIJE SINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Rajasthan",1962,107,2,"NATHDWARA","KISHAN LAL",NA,"","","",NA,NA
"Rajasthan",1962,107,3,"NATHDWARA","FATEH LAL",NA,"","","",NA,NA
"Rajasthan",1962,107,4,"NATHDWARA","CHHAGAN LAL",NA,"","","",NA,NA
"Rajasthan",1962,10,8,"SIKAR","MANIR KHAN",NA,"","","",NA,NA
"Rajasthan",1962,108,1,"UDAIPUR","MOHANLAL",NA,"1 BANIA/JAIN","UC","H",NA,NA
"Rajasthan",1962,108,2,"UDAIPUR","BHANU KUMAR",NA,"","","",NA,NA
"Rajasthan",1962,108,3,"UDAIPUR","HAQUIQATULLA KHAN",NA,"","","",NA,NA
"Rajasthan",1962,10,9,"SIKAR","SHIV BHAGWAN",NA,"","","",NA,NA
"Rajasthan",1962,109,1,"GIRWA","JODH SINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Rajasthan",1962,109,2,"GIRWA","ROSHAN LAL",NA,"","","",NA,NA
"Rajasthan",1962,109,3,"GIRWA","GORDHAN SINGH",NA,"","","",NA,NA
"Rajasthan",1962,109,4,"GIRWA","PRATAP SINGH",NA,"","","",NA,NA
"Rajasthan",1962,109,5,"GIRWA","BHIMA",NA,"","","",NA,NA
"Rajasthan",1962,1,1,"PILANI","HAJARI LAL",NA,"1 BRAHMIN","UC","H",NA,NA
"Rajasthan",1962,110,1,"SALUMBER","MAVA",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,110,2,"SALUMBER","SHIV RAM",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,110,3,"SALUMBER","NAWAL RAM",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,11,1,"SINGRAWAT","RAM DEO SINGH",NA,"ERR:512","","H",NA,NA
"Rajasthan",1962,111,1,"SARADA","DEVI LAL",NA,"5 MEENA","ST","H",NA,NA
"Rajasthan",1962,111,2,"SARADA","RAJENG",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,111,3,"SARADA","AMAR SINGH",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,111,4,"SARADA","LALU",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,11,2,"SINGRAWAT","GORDHARN SINGH",NA,"","","",NA,NA
"Rajasthan",1962,112,1,"PHALASIA","NANA",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,112,2,"PHALASIA","VIDYASAGAR",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,112,3,"PHALASIA","SOMESHWAR",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,11,3,"SINGRAWAT","KUMAR NARAIN",NA,"","","",NA,NA
"Rajasthan",1962,113,1,"GOGUNDA","LALIT MOHAN",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,113,2,"GOGUNDA","LAKHSAMAN",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,11,4,"SINGRAWAT","BHOPAL SINGH",NA,"","","",NA,NA
"Rajasthan",1962,114,1,"KUMBHALGARH","GOVIND SINGH",NA,"1 RAJPUT","UC","H",NA,NA
"Rajasthan",1962,114,2,"KUMBHALGARH","HIRALAL",NA,"","","",NA,NA
"Rajasthan",1962,114,3,"KUMBHALGARH","DHANRAJ",NA,"","","",NA,NA
"Rajasthan",1962,11,5,"SINGRAWAT","KUSHLA",NA,"","","",NA,NA
"Rajasthan",1962,115,1,"BHIM","LAKSHMI KUMARI",NA,"1 RAJPUT","UC","H",NA,NA
"Rajasthan",1962,115,2,"BHIM","SHANKER LAL",NA,"","","",NA,NA
"Rajasthan",1962,115,3,"BHIM","HARENDRA SINGH",NA,"","","",NA,NA
"Rajasthan",1962,115,4,"BHIM","DAGDU MAL",NA,"","","",NA,NA
"Rajasthan",1962,11,6,"SINGRAWAT","NATHA",NA,"","","",NA,NA
"Rajasthan",1962,116,1,"MANDAL","GOKUL PRASAD",NA,"1 BRAHMIN","UC","H",NA,NA
"Rajasthan",1962,116,2,"MANDAL","SHIV CHARAN DASS",NA,"","","",NA,NA
"Rajasthan",1962,116,3,"MANDAL","RAMA",NA,"","","",NA,NA
"Rajasthan",1962,116,4,"MANDAL","CHUNNI LAL",NA,"","","",NA,NA
"Rajasthan",1962,116,5,"MANDAL","SHAMBHU SINGH",NA,"","","",NA,NA
"Rajasthan",1962,116,6,"MANDAL","DWARKA PRASAD",NA,"","","",NA,NA
"Rajasthan",1962,116,7,"MANDAL","VIJAI SINGH",NA,"","","",NA,NA
"Rajasthan",1962,117,1,"SAHADA","DEVENDER KUMAR",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,117,2,"SAHADA","KISHANA",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,117,3,"SAHADA","NARAYAN",NA,"5 OTHERS","ST","H",NA,NA
"Rajasthan",1962,118,1,"BHILWARA","NIRMALA DEVI",NA,"1 BANIA/JAIN","UC","H",NA,NA
"Rajasthan",1962,118,2,"BHILWARA","BANSHI LAL",NA,"","","",NA,NA
"Rajasthan",1962,118,3,"BHILWARA","PARMANAND",NA,"","","",NA,NA
"Rajasthan",1962,118,4,"BHILWARA","HARI SHANKER",NA,"","","",NA,NA
"Rajasthan",1962,118,5,"BHILWARA","BRIJ NARAYAN",NA,"","","",NA,NA
"Rajasthan",1962,118,6,"BHILWARA","GOURI SHANKER",NA,"","","",NA,NA
"Rajasthan",1962,119,1,"MANDALGARH","GANPATI LAL",NA,"3 KURMI","OBC","H",NA,NA
"Rajasthan",1962,119,2,"MANDALGARH","CHANDRAVIR SINGH",NA,"","","",NA,NA
"Rajasthan",1962,119,3,"MANDALGARH","NAND LAL",NA,"","","",NA,NA
"Rajasthan",1962,119,4,"MANDALGARH","HAFIJ MOHAMMAD",NA,"","","",NA,NA
"Rajasthan",1962,1,2,"PILANI","HARLAL SINGH",NA,"","","",NA,NA
"Rajasthan",1962,120,1,"JAHAZPUR","RAM PRASAD LADHA",NA,"1 BANIA/JAIN","UC","H",NA,NA
"Rajasthan",1962,120,2,"JAHAZPUR","FATEH SINGH",NA,"","","",NA,NA
